22116,Y. Oyama
73401,Yoshinori Ojima
74151,Y. Ogawa
87964,Yoram Ofek
124733,Yoshihiro Oyama
139846,Y. Ohkawa
142353,Yoshi Okamoto
151348,Yuichi Omote
171216,Y. Okazaki
171738,Yew Soon Ong
182878,Y. Onuki
209934,Y. Oae
216458,Yaroslav Ostrovsky
233361,Y. Okano
234445,YUKI ONO
249048,Yoosoo Oh
253800,Y. Ohnuki
266615,Yuuichi Omori
278768,Yasuyo Okanoue
289604,Y. Ouchi
294745,Yoshio Oyanagi
303254,Yaw Opoku
329748,Yasushi Okuno
332979,Yoshiyuki Okada
353179,Yoshio Ohno
376228,Y. Ohtsuka
411633,Young mi Ohk
417853,Yoshio Oshita
419117,Yasuhisa Omura
440643,Y. Onozawa
464622,Yae L. Okuno
485823,Y. Ohkura
486306,Yoji Ochi
501824,Yasuo Ohsone
514340,Yasutoshi Okuno
515215,Yoichi Okabe
526206,Yuko Onoe
559595,Yusuf Ozturk
560937,Yann Orlarey
591836,Yu Yen Ou
594703,Yasuhiro Ohta
609413,Yuiko Ohta
619298,Y. Ogura
621280,Yew soon Ong
643081,Yoriko Ota
648918,Youssef Ounajjar
657156,Yukio Okano
680032,Yoshihiro Ogi
709129,Y. Ohtaguro
709689,Yasuhiro Okada
740079,Yasukuu Okamoto
785139,Yu. A. Ovchinnikov
822686,Yusuke Okaniwa
830984,Yumiko Oka
860636,Yuji Oda
862996,Yoshihiro Oka
868160,Y. Oikawa
873980,Y. Onuma
898459,Y. Onoda
899520,Yukihiro Ogawa
912698,Yanfeng Ouyang
913544,Yasutake Ohishi
941970,Y. P. Ostrovsky
943693,Yoshimichi Ohki
951129,Yoosoo Oh
1005921,Y. Ochiai
1038322,Y. Otobe
1046961,Yuta Okabe
1053581,Y. Ogata
1118358,Yoshinori Ohno
1138327,Yaw Obeng
1153551,Yoav Ossia
1169687,Yoshifumi Ooyama
1171163,Y. Ogimoto
1209817,Yoshitaka Ohiso
1267732,Yasutoshi Okuno
1287882,Yumu OHJI
1293105,Yuuichi Okuyama
1312269,Yukio Ohsawa
1334417,Yu. n. Ovchinnikov
1342839,Yoshikuni Onozato
1348744,Yanfeng Ouyang
1350438,Yoshiaki Okubo
1352353,Yuichiro Ohno
1380691,Y. Okumura
1403299,Yung hwan Oh
1450846,Yoshiki Ohshima
1452953,Yves Ousten
1460803,Y. Ohbayashi
1475707,Yutaka Ohno
1496955,Y. Ohura
1514737,Yuuichi Ono
1552789,Y. Okuda
1583573,Yen Jen Oyang
1599017,Yoosoo Oh
1627624,Y. Ohya
1686424,Yutaka Ohsawa
1687287,Yousef Al ohali
1690663,Yoshihiro Okada
1699377,Yaacov Hel or
1745780,Y. OHTOMO
1755102,Y. Ohdoi
1805516,Yoshimasa A. Ono
1813870,Y. Ohba
1853441,Yu. v. Orlov
1873871,Yoshihiko Ono
1890105,Young Seok Oh
1905177,Yuzi Okuto
1909750,Yu. S. Osipov
1935698,Yunsang Oh
2046129,Yasuo Ogasawa
2076874,Y. Ota
2104302,Y. Okumura
2129455,Yusuf Oysal
2134549,Young Jei Oh
2137359,Yacov Hel or
2138222,Yuri L. Orlov
2140818,Yasuaki Oishi
2175685,YUZO OHTA
2183499,Y. S. Ong
2237629,Yoshio Ohshita
2239413,Yukio Osawa
2251678,Yoshihiro Okuno
2268450,Yann Orlare
2271389,Yoshitaka Onaya
2274319,Yanay Ofran
