336,Halina Przymusinska
1209,H. L. Premaratne
7917,Hyung Rae Park
14556,H. Poincare
16673,Herschel S. Pilloff
30448,How To Label Accent Positio
35099,Hans Prydz
42794,Henri Prade
52555,Harshada Patel
54921,H. Pagels
58331,Henri Poincar?e
65871,Hr Parri
66580,Harriett Philipsen
69795,Hyung Chul Park
91838,Hans Ekkehard Plesser
108591,Harris Papadopoulos
109860,Helen Petrie
134253,HORACE POPS
135565,Hartmut Prautzsch
142665,Hsin Pan
149755,Hiren D. Patel
158975,Hsiao Tien Pao
162693,Helmut J. Pradlwarter
165537,Harry Printz
201925,Hartmut Prautzsch
202534,Huygens Property
214529,Hsiu Hsiang Pong
236536,H. G. Paap
237669,Henri Prade
251266,Hans Werner Pohl
256568,Huw Price
258755,High leverage Best Practices
269033,H. Plantinga
274511,Harvesting Idle Processor
282333,Hoon Park
298827,Hredge Pensions
301956,Hugo Ter Doest Parlevink
316709,Harry Edward Payne
317267,H. Pirahesh
318687,H. G. Pascalar
335097,H. Price
346334,Housing Past
353309,Hyung Kun Park
354020,H. Van Dyke Parunak
378621,Hemant Purohit
386492,H. W. Park
389725,Henriette Pilegaard
399095,Heiko Purnhagen
402072,Harold Vincent Poor
402335,High dimensional Data Petri
409735,Herbert Prahofer
415575,HARRY POLACHEK
430318,Hans W. Paerl
430889,Hnin Hnin Pyne
450938,Hsiang Chun Peng
457399,H. M. Penafiel
464010,Hong june Park
464306,H. Pao
464491,H. William Perlis
489543,Holger Pfeifer
490282,Helder Pinto
490523,H. M. Gustafson A. N. Pettitt
491891,Herbert Pohlai
497783,H. Van Dyke Parunak
502295,H. L. Penman
504582,Herbert D. Peckham
505308,Hartwig Plach
508612,H. Peng
512406,Hector Pomares
512712,Henry L. Phillips
514689,H. Pundt
526443,Hamed Pirsiavash
526539,Hewlett Packard
560394,Harry J. Ploehn
569468,HU Yu peng
570219,H. Sedaghat Pisheh
573128,Heather A. Piwowar
576209,Hanspeter Pircher
590490,Hriday R. Prasad
590576,Hee dong Park
594769,Heungsup Park
610539,H. O. Pollak
619473,Huel Peng
621236,Humberto Pinheiro
625369,Hoan H. Pham
632179,High Performance
637902,Handoff Performanc
645085,Haiganoush K. Preisler
651224,H. Palka
656583,Hyun soon Park
658568,H. L. Petresky
660358,H. V. Pipberger
662931,Herbjrn Nysveen Per
663324,Heather A. Piwowar
673877,Haim H. Permuter
674193,Hubert Pirkle
678671,H. Piei
678741,Hendrik Purwins
682063,Hee Chan Park
687306,H. Puder
699906,H. Pekau
705262,H. Philipps
715205,Hilary Putnam
726234,Howard R. Pollio
730843,H. Prigent
731377,Hyunjung Park
746159,Hugues Pothier
746701,H. Price
752418,Hyun chul Park
755723,H. Pietsch
760272,H. Pease
765085,Hourng Wern Perng
769512,Hans L. Peterse
771970,Hyun min Park
776324,Homer H. Pien
779642,Hwan chul Park
793195,Hye young Paik
794862,H. Paul
811406,Have Put
812874,Hung Keng Pung
814664,Harold Vincent Poor
822713,Helen M. Parke
861715,H. P. POLLARD
872267,H. Picard
872608,H. M. M. Peeters
875377,Horst Preier
877850,Holger Peterson
878496,Henri Prade
890761,H. J. Park
896179,Hashem Pesaran
901204,Hyewon Pyun
906479,Helmut Prodinger
911783,Hein Putter
914193,Human Auditory Perception
915133,Homer Papadopoulos
921392,H. Pouliquen
926258,Hector Posadas
926453,Hee Bok Park
927138,Henning Friis Poulsen
929381,Hans Rudiger Pfister
931058,Helen Pain
935914,High speed Applications Perry
936361,Hung Keng Pung
936561,Heung Won Park
939124,H. J. Pranger
941825,Hugh C. Pumphrey
945481,H. Peters
960674,Haifeng Pi
972128,H. La Poutre
972159,Heribert Pfefferle
973249,H. S. Parry
975428,H. C. Praddaude
978448,Hans jorg Pfleiderer
986171,Home Page
991620,H. N. Pishpareva
993053,Henri Porte
993934,Han Park
1004651,H. Van Dyke Parunak
1012087,H. Piquet
1013499,Helene Pigot
1014286,Ho jin Park
1017294,H. M. Polemarchakis
1017898,Hong bae Park
1022862,Henrik Gordon Petersen
1023590,Hilary Putnam
1037254,Heribert Popp
1044233,H. Pull
1046853,H. Probyn
1053406,H. K. Pedersen
1055486,H. Pang
1056695,Herbert Vinck Posada
1064837,Herbert Praehofer
1068539,H. Peri
1070880,How Americans Perceive
1080523,Henri Prade
1081616,Hillary D. Protas
1088742,Hyung ju Park
1089030,Hongjing Pan
1095244,H. Parzhuber
1100259,H. Pauwels
1101077,Henriette Pilegaard
1105393,Hojr Sedaghat Pisheh
1106513,Hans Christian Psterer
1109641,Holger Pedersen
1112452,Hans Polzer
1114421,H Peng
1119030,Helen Partridge
1122570,H. Preller
1131234,Helmut Prior
1134832,Higher Residues Published
1137774,Hsi Jen Pan
1161710,Harry Anthony Patrinos
1174001,Hideaki Page
1185140,Henry Plaessmann
1191552,Hyun jin Park
1199401,Hub Pr¨¹st
1203124,Himanshu Pant
1216847,H. P. Piepho
1241711,Helen Popper
1243487,H. Presting
1259077,Huanxu Pan
1260028,Hubert C. Pirkle
1269732,How Problem
1274405,Heather Powell
1275844,H. W. Pifer
1281794,H. K. Phan
1286948,Haplotyping As Perfect
1289353,Hj Purohit
1294199,H. Ptrahesh
1295682,H. Pattyn
1298871,Helen Parkinson
1309772,Hans Joachim Poethke
1313106,Hsiang hui Chang Shang ping
1336675,Helena Sofia Pinto
1353315,Herbert Petry
1353671,Hans W. Paerl
1356852,Heinz A. Preisig
1360766,Hampshire College Physical
1382406,HARIKRISHNA PATEL
1390955,Hyun Chul Peak
1391380,H. R. Postlethwaite
1399398,Helen Parker
1405624,Ho Chong Park
1416578,H. Pajander
1417997,Henri Penttinen
1448896,Hari Ponnekanti
1452121,Hsin Min Peng
1457610,Hannes Pirker
1460629,Herbert Vinck Posada
1466023,Helmut Podhaisky
1471224,H. M. Polemarchakis
1484538,Helen Pinto
1492870,Henry Petroski
1497853,Holger Papajewski
1499661,Henri Prade
1522540,Henna Pietilinen
1528499,Henry Prakken
1536558,Hyun Myung Pyo
1548184,Herve Perdry
1550002,Herve Platel
1552688,Hong Gyu Park
1566284,Hong Kyu Park
1569385,H. Bernhard Pogge
1575323,Hasso Plattner
1576067,H. Pape
1580803,Harald Pfänder
1582384,HRH Mensur Omerbashich PhD
1591250,How To Write A Protocol
1600660,H. Parzefall
1602015,Hava Peretz
1609053,H. Pursch
1611228,Han kyu Park
1622395,Herbert Praehofer
1627027,Hyuk Ro Park
1628078,Henri PradeY
1636904,Hannah Lui Park
1637900,H. M. Pask
1642237,HENRI PRADE
1643231,Henry W. E. Potts
1657354,H. Van Dyke Parunak
1659916,H. Van Der Ploeg
1695285,He Ping Pan
1699553,Hendrik Poorter
1702462,High Temperature Processing
1727178,Henk Polinder
1728582,Heon Chul Park
1730481,Hamed Pirsiavash
1734054,Hugh Powell
1734106,H. Pan
1735448,Hannah Lui Park
1760972,H. X. Phu
1777176,Henning Pagnia
1794895,Hakan Persson
1802570,H. von Philisborn
1808370,Henk J. Prins
1817123,Hae Jeong Park
1829384,Hagen Ploog
1837316,H. A. Post
1846309,Howard T. Powell
1852822,H. P. M. Pellemans
1855320,Hai Woong Park
1865683,Hongtu Pu
1876791,Howard A. Peelle
1878139,High Level Parallel
1896890,Harsha K. Pelimuhandiram
1901583,Henri Pradel
1908642,H. Pierreval
1919024,H. Van Dyke Parunak
1924553,Hongjing Pan
1929838,Hyun Ho Park
1930144,Hergen Pargmann
1935569,Hubert Preissl
1948536,Henri Prade
1960692,Hans jurgen Profitlich
1961540,Heuk Park
1974970,Hasan Padamsee
1992053,Hyonde Park
1993720,Haralabos C. Papadopoulos
1994651,Hee suk Pang
1997323,H. Papapoff
2008649,Haeseung Paik
2017825,Hamid Pirahesh
2023655,Hemant D. Pande
2025422,Hassan Peyravi
2027534,Horst Pichler
2030085,Hans W. Paerl
2031892,H. y Park
2034801,HYUN JUNG PARK
2040104,H. Pike
2052748,Herbert Vinck Posada
2053918,H. Petursson
2055708,H Plrahesh
2064448,Hee Jin Park
2065360,H. J. Paus
2081431,Herbert Vinck Posadaand
2085448,H. Mitchell Perry
2088846,H. Puig
2090588,Hilary Putnam
2092033,Hannu Peltonen
2106791,H. Pointcare
2107488,Hung Ta Pai
2108000,Hans Joerg Pfleiderer
2109292,H. Pritchard
2114445,H. Piharesh
2117672,H. Pressler
2123728,H. G. Pomp
2125309,Human Prcepfion Nd Performan
2129860,Halit Pinar
2132626,Henri Prade
2138893,Harri Posti
2139011,Hyun Wook Park
2143059,Henrik N. Poulsen
2147261,Hubert Preissl
2147589,H. Prakken
2150054,H. Patzelt
2152253,Harry Plantinga
