3466,I. Pulchaska
5644,In Mobile Peer to peer
21442,Igor Pes
30901,Ines Pietzonka
74859,Igor A. Podgorny
76565,Ios Press
83954,I. Pérez Pérez
84191,Including Photocopying
86420,Ioannis T. Pavlidis
99082,Irene L. Porro
110476,Ian S. Painter
111064,I. B. Puchalska
126602,Il yong Park
135603,Ion With Partially
157730,I. Paz
158451,Integrations Of Planetary
163470,I. Poirot
170199,Interrogatives En Persan
181277,I. Pong
182397,Ibo van de Poel
195433,Isabella Peters
203586,Irene Pollach
248047,Ir. A. Pras
260781,Itsik Pe’er
263449,Ishwar Puri
286264,Ivonne Peters
301747,I. Peterson
305734,Irene M. Pepperberg
306357,Imran A. Pirwani
335647,In Procs
343896,Ian Postlethwaite
347117,I. R. Paluch
349158,I ice seen Park
363127,I. P. L. Png
380493,I. Purkayastha
383679,In Refinement Planning
396532,I. Peron
406852,It. Peyton
436376,Inc. Plymouth
445967,I. Papadopoulos
448805,In Multilayer Perceptrons
460791,I. Petrovsky
463593,I. Pele
467392,Ioannis Papaefstathiou
475560,Interval Modulation Dh pim
483415,Is The Phonological
487343,I. A. Parinov
507574,I. Pollack
518680,Ivan Perelomov
523235,Igor Pusnik
523998,INFLUENCE FARM PRODUCTIVITY
524280,Ian Pulford
531364,Industria Nacional Del Papel
540190,Ion Petre
546226,Igor sunday Pandzic
560035,I. Perez
565031,Inductive Logic Programming
565852,Ishwar Purl
576201,Igor Popov
590065,Intel Corporation. Pentium
592440,In Vlsi Signal Processing
598072,Igor E. Paromtchik
598373,Ian Miles Parsons
600094,Ilona R. Posner
615266,I. Pereyra
626362,Inclusive Jet Productio
642297,Isabelle Petitbon
664108,Iraide Mardones perez
678339,Igor Sunday Pandzic
698308,Ivan B. Penkov
698321,Intellectual Property
703117,Ishwar K. Puri
716100,Ira Pramanick
719241,Impulse Radios Part
719368,Igor V. Pivkin
720056,Iman Poernomo
722537,I. Petras
732002,Igor Pechtchanski
734005,Ignacio Provencio
737634,Ian J. Pitt
746059,Ioannis Papadopoulos
814593,Isabelle Puaut
816350,Ioana Cleopatra Pau
826324,Ida M. Perrini
838065,I. Hausmanowa Petrusewicz
841554,Integrate Parts
844779,Ian Parberry
847426,Ivan Porres
851786,Ishwar K. Puri
852816,Incompressible Phas
866779,Ileana Popescu
870551,Ivan Panin
898049,Ilka Philippow
907440,Igor V. Pivkin
913339,Inc. Hewlett packard
918231,ILKA PINZ
929798,In sook Park
932900,Ian D. Phillips
934119,I. Parker
949095,I. Price
951584,Identification Chris Power
953503,Iraide Mardones Perez
954990,In Hospital Personnel
1004135,Igor Paunovic
1019551,I. Preece
1027169,Ian C. Pyle
1035506,Igor E. Pritsker
1041681,In Digest Of Technical Papers
1048713,Isabella Poggi
1052025,Iain Paterson
1056710,Iiodrag Popovid'i
1061021,Is An Accurate Predicto
1067628,IRENE POLLACH
1067949,Ivan P. L. Png
1070438,I. Page
1075734,Ivan Phillips
1092455,Igor Petrovski
1098959,I. Pen
1101071,Imke de Pater
1111384,Ivan Pesek
1121732,I. Platais
1129878,Ilia N. Ponomarenko
1130428,Ibm Field Developed Program
1132054,In Constraint Programming
1144887,I. Png
1158453,Ignacio M. Pelayo
1175640,Indrajit Poddar
1182770,Ivo Provaznik
1192354,In Structured Programming
1194525,Irene Pollach
1215367,In The Policing
1221613,I. Sarova pinhas
1227873,Ivan Petroff
1234392,Irit Peled
1234605,Ian C. Parmee
1242981,I. Papic
1252265,Interval Constraint Plottin
1267056,I. N. Poluyanova
1270842,Ian Pullen
1303550,Ioana Popescu
1309402,Igor Sunday P
1319912,IVICA PAVIC
1327414,I. Sh. Pinsker
1355565,Ivilina Popova
1355793,In Sa Paulo
1362167,I. B. Petrovskii
1368070,Insuk Park
1374801,Ioannis Partsakoulakis
1393570,Igor Ponomarev
1420364,Ingo Pietsch
1422440,Ist Rd Project
1425561,Ivan Perez
1430870,Ivan P. L. Png
1450066,In Logistics Problems
1452874,Isfried Petzenhauser
1456481,In Face Perception
1467073,I. Prario
1468550,I. G. Prokhorova
1471368,Indexing Of Paper
1474500,In Healthy Postmenopausal
1478074,Igor Pechtchanski
1478410,Intel Pentium
1488594,Ioannis Papagiannis
1514439,Igor A. Parshikov
1526984,Ian Porteous
1527661,Ian Perry
1534652,Integrated On Passive
1537181,Igor Podgorny
1554902,I. G. Prokopenko
1559622,I. Paradinas
1569566,Ignacio Provencio
1592663,Ioannis Patras
1602127,Ian Page
1604453,Irfan Pyarali
1604560,I. j. Park
1616668,I. Paul
1624341,Ian A. Pratt
1624904,Idar Petersen
1633512,Images D. L. Page
1644349,I. Di Piazza
1650439,Igor Prokhorenkov
1655821,Il Hwan Park
1660616,Ivan Plander
1661075,Ioannis Papadimitriou
1666281,I. Parry
1667641,Implications For Previous
1670536,Igor V. Pottosin
1676181,Issa M. S. Panahi
1678665,Ilia Polian
1687709,I. Peral
1690932,I. Pytharoulis
1711022,Ian D. Phillips
