55,Jose Pereira
2486,Jung hee Park
2931,Jon Pearce
6032,Jaakko Peltonen
6796,J. P. Ponthot
7292,Jacinthe Granger piche
8511,John S. Parkinson
9118,Jamie Price
12047,Jefferson Provost
17324,John Q. Patton
17553,Joseph J. Plecs
18135,Joachim Peinke
18772,J. M. Proud
18906,James A. Primbs
20316,J. Prince
20923,J. Peirs
21457,J. Ping
21701,Jonathan E Paddison
22223,Jorg Preussig
22284,J. Pribetich
23791,Jinsoo Park
24965,Janak H. Patel
26224,J. E. Parrott
27242,J. Persigpy
28853,John M. Prausnitz
31247,J. Potechin
33835,J. Perl
34798,J. Marino Protti
38465,Julien Prados
39858,Jean christophe R. Pazzaglia
41968,J. l. Pombo
42174,Janice M. Pogoda
42455,Jim Prentzas
43184,Jon M. Pearce
43435,Jan A. Persson
46422,John Hopcroft. Planning
50936,John H. Posenau
53005,Josep M. Porta
53570,Juha Plosila
56204,Jeremy M. Piger
58673,J. Plaza
58929,James B. Procter
59791,J. a. Piepmeier
60076,Julio C. Ponce
63719,José M. C. Pereira
64489,J. X. Pryzbysz
66134,Journal Of Physics
66712,James R. Pomerantz
67526,Josef Pochodzalla Max planck
69443,Judith Broady Preston
69507,John Purvis
69591,J. B. Pickens
69642,J. Plesnik
70152,Josep Pallares
70293,J. P Plumey
73810,Jan Prikryl
75767,J. T. Patzewitsch
76474,Jose L. Paredes
76934,Ja Payne
88810,J. L. Herrera Perez
89665,Julian Partyka
91199,John S. Pruitt
96170,J. A. Painter
100371,Jason X. Prochaska
100771,J. K. Pierson
103568,Judith Plümer
104283,Jean H. P. Paelinck
106042,Jaspreet Singh Pahwa
109749,J. E. Pin
109787,John Kangchun Perng
110068,J. A. Prentice
113673,John Propst
114315,John Pencavel
114764,JANA PARSONS
114911,J. Pleumann
117621,J. D. Porter
118664,Johann Packendorff
126189,J. Pfeffer
130998,J. Proffitt
131165,Jessica Pistole
135592,Joseph G. Peters
140269,J. Pond
145225,J. Plodzien
146908,J. Prowse
147985,Jun Min Park
