13717,K. N. Pantazopoulos
33934,K. Phol
44817,Konstantinos E. Parsopoulos
65209,K. S. Pradyot
65702,K. Pick
71442,Klaus R. Pawelzik
73509,Kenneth J. Perry
73527,Krishna G. Palepu
75720,K. H. Pan
77604,Kyung Wook Paik
83450,Kostas Pramataris
90212,Kay Phelps
91330,Kishan J. Pandya
96972,Kevin P. Pipe
98026,K. Pietsch
116747,Kannan Panchapakesan
123314,Kamen Penev
127081,Kimberly Pearson
128465,Katharina Porsch
137469,Karen L. Butler purry
141437,Kari Pihkala Pablo
141556,Kerry Pendergast
142938,Katherine L. Perdue
145520,Kruti Patel
158790,Karen L. Cropsey PsyD
159046,Keith K. Park
167120,Katharina Porsch
167976,Krzysztof Pietrusewicz
171489,Kalyan S. Perumalla
187935,Ketan N. Patel
196678,Kishore Potti
198760,K. Patel
207940,K. Plauger
216926,Kees Pleij
231029,Katharina Post
231780,K. Prazdny
243065,K. Pfaffenbach
251622,K. Primdahl
252206,Keshab K. Parhi
253022,Kevin D. Puterbaugh
258029,K. Palaniappan
261482,K. Poguntke
270635,Karl J. Puttlitz
271600,Kwang il Park
274699,Ken Pierce
277501,K. o. Papailiou
279270,K. K. Parhi
283163,Kai Puolam
287564,Kelvin F. Poole
290231,Kevin R. Parker
292344,Karali Patra
295954,K. Ploog
303932,Krishna C. Persaud
306894,K. G. Palepu
310031,Klaus Pommerening
310207,Kieran Parsons
313920,Karl Popp
323627,K. K. Primlani
331850,Krassimir P. Panajotov
338567,Kyu Sik Park
341188,Karl Polanyi
342609,K. Palanisamy
345008,Kyihwan Park
359483,Karel Poupeye
366352,Kuldip K. Paliwal
382986,Keith E. Price
398816,Kwang roh Park
398988,K. o. Papiliou
399006,K. Papaodysseus
402092,Keith Samuel Pennington
402505,Katharina Porsch
420525,Keith Popplewell
422494,K. Pollock
424602,K. Prajapati
425198,K. V. Petrides
427671,Katherine Prestridge
433439,K. D. Partain
447702,K. Y. Trudy Poon
453350,K. Pierce
453644,Kari Pihkala
466175,Kathryn H. Peddrew
469493,K. Pomeranz
481325,Kevin E. Plamondon
485065,Krishna M. Pasala
487864,K. Patel
490357,K. C. Posh
512328,K. Pence
526103,K. Pavitt
526138,Ki Punches
537367,K. Papworth
539381,Kay Peterson
541371,Karen E. Pettigrew
542944,Keywords Ai First person
554867,K. I. Perlman
571962,Kevin S. Paulson
573457,Kris Popat
575732,K. Y. Pin
575859,Katherine Pullen
581429,Kimberly A. Prather
592779,Karl Pearson
598909,Kenneth G. Paterson
600965,Kalanethee Paul
640613,Kirkwood A. Pritchard
641046,Karen K. H. Poon
644724,Kluwer Academic Pub
647236,Kyung Woo Park
662672,Krzysztof Prazmowski
664036,Konasale M. R. Prasad
671480,Kazimieras Pyragas
681511,Ketan D. Patel
696169,Keunseop Park
697165,K. Petty
699162,K. Polamo
700742,Kyle Powell
724655,Kenneth A. Parulski
727580,K. Pang
737131,K. Pardue
742498,K. Pechrach
762445,K. Perajarvi
763062,Kai Puolama¨ki
777431,K. Y. Pin
782378,K. Yu. Platov
793256,Kenneth L. Pon
796072,K. Pandji
802309,Karl E. Petersen
804837,K. Pittman
807222,K. Papaodysseus
807319,Kristin J. Pawlowski
808330,Kelvin Prosyk
827838,Konstadinos Politis
842321,K. Poulsen
860139,Kari Pehkonen
863166,Kerk L. Phillips
867551,Katie Price
875801,Karl Pearson
879339,Krzysztof Podgrski
897783,Kevin M. Potter
899388,Kusha Raj Panta
901664,Kyung Mi Park
905601,Kelly Pennock
914343,Kanti Pabbaraju
914713,Kai Puolamaki
916193,Kevin E. Parnell
927378,Karsten Petersen
932082,Krishna Suryanto Pribadi
932732,K. Venkata Parasuram
935332,K. Przybylski
941715,K. Venkatesh Prasad
