6649,Luciano Pandolfi
7900,Larry L. Pendergrass
13129,L. L. Pranevicius
23562,Luigi Pistaferri
34535,Linear Genetic Programming
35763,Lant H. Pritchett
38575,Luis Narvaez Porras
44294,Lawrie Phipps
52278,L. Peter
52536,Lexicons From Printed
56880,Lina Petrakieva
67295,LORENZO M. POLVANI
68324,Lazaros Papadopoulos
75192,Luke Pebody
76614,Lorraine Padden
79188,L. Pezzati
81667,L. Fuertes Prieto
84126,L. Pennel
90399,Lucie C. Plourde
100748,Lotte Bang Pedersen
104145,L. S. Pinsky
128043,Lalit M. Patnaik
129346,Leon Peeters
129519,Luis Augusto Perles
131924,L. Alan Prather
133622,L. Peach
137033,Luigi Ponti
141635,L. L. Pranevicius
141984,L. r. Paradowski
154468,Linda Pagli
155202,Laura Palagi
176264,Lisanne Palomar
185434,Lonneke Van Der Plas
187052,Lamont R. Poole
189423,Luca Pancioni
189744,Limin Peng
195446,L. Posadas
195604,Lawrence G. Palmer
197142,Liu Qing Pei
203550,Lant Pritchett
213888,Lesley M. Pickard
223892,Leonardo Bidese De Pinho
231114,Lawrence T. Pileggi
235568,Lester M. Petrie
236948,Lee B. Peters
238918,Luis Samblas Pena
239675,L. Pasquini
244115,Larry D. Paarmann
244834,Lorna Philip
257790,Leif E. Peterson
257889,Luis Villasenor Pineda
258112,L. D. Pustyl'nikov
259472,Lisa Peruski
263924,L. Pouly
273020,Lynne A. Price
281700,Lori Petrini
286001,Lluis Garcia Pueyo
286388,L. D. Poles
286742,Linda J. Larson Prior
288666,Luis Villasenor Pineda
317778,Lant Pritchett
337150,Lincoln F. Pratson
340124,Lev T. Perelman
342036,Leonard Parad
346936,Luis A. Perles
347960,Lars Winkler Pettersson
350848,Leiph Preston
350853,Lassi Päivärinta
358439,Lakshman Prasad
360914,LLC Pierre Perron
366688,Luis F. Portugal
379783,L. Popken
397053,L. Paulson
407707,Leon Petrosian
410224,Luis A. Plana
411495,Louis Putterman
412356,Larry D. Pyeatt
413805,Luc Piche
413956,Luke S. J. Peng
416117,Lehrstuhl Professor
421153,Lara Pajewski
421294,Leonid I. Perlovsky
428798,L. Pradelli
430290,L. Piazzo
433045,Ligang Lu William A. Pearlman
433750,Laurie Louise Parker
446953,Luciano Pietronero
460453,L. Polansky
461013,Laszlo Pap
461129,Laurette Pretorius
461947,Leonid Peshkin
475338,Larry Peterson
476032,L. Peyraque
480972,L. Prech
489127,L. g. Perez
494240,L. Pottier
494757,Laura Proctor
508356,L. Pophillat
512635,L. Pang
512872,Lin Padgham
524361,Louis Pouzin
528403,Lee A. Powell
533390,L. Pinkowitz
533393,L. Pfitzner
537479,Laura L. Pauley
538308,Larry Pezzaniti
542125,Lori Postner
543258,Louis A. Petingi
544869,Laurant Porkolap
547383,Luca Paolino
548860,Luciano Passador
551044,Loic Pauleve
564908,Luis F. Pacheco
573284,L. C. Pearson
574249,Laura Paterno
577679,Linen J. Pok
581317,Larry Ducharme Paul
589551,L. K. Patomaki
606119,Louis J. Pignataro
606416,Lawrence J. Pratt
608649,L. i. Parad
613142,Livio Paradiso
619533,Luiz Pessoa
621985,Liquidity Provision
625470,Lisa Pollack
627365,L i Ping
628424,Louis Putterman
630717,Liam Peyton
631137,L. V. Pienaar
631365,Lawrence Paulson
637416,Lisa A. Phifer
672857,Leon Pesotchinsky
673592,Laxmiprasad Putta
676898,Lucas Pelkmans
682752,L. Perez
684168,L. Popiel
689655,L. H. Philipson
691206,Lance Paine
694542,Leon Presser
699292,Leysia Palen
709376,L. Polanksy
713974,Li You Pan
717336,Laszlo Pyber
718947,Luiz Cludio Parzianello
719168,Longfa Pan
727626,Liudvikas Pranevicius
738078,L. H. Pelled
740049,Larry E. Penley
743125,Learning Perl
750122,LAWRENCE J. PELETZ
753744,Luc Piraux
755255,Laxs Pareto
764417,Luterano Palmas
768488,Liyang Pan
768910,Luisa Paoluzzi
772902,L. D. Paulson
775478,Lorenz Gauge Particles
792463,Lucas Pelkmans
795225,Laurent Perraudeau
795660,L. Pezzoni
800831,Luis Pinto
803589,L. Thorlund Petersen
806769,Lawrie Phipps
807636,Lesly A. Pearce
815641,Li Xiao Peng
816934,L. G. Prokopenko
823808,L. Presley
835598,L. Pfeifer
840986,L. Pardo
853362,Light emitting Diode Philip
857824,Luca Piras
862282,Lucio F. C. Pessoa
865729,L. L. Pranevicius
876228,L. S. Peak
884718,Lea Publishers
885630,Luiz S. Pires
887319,Lubos Pick
887857,L. f. Penin
889524,Lara E. Pereira
889784,L. C. Pitchford
894146,Lewis Graphics Primitives
894304,L. Philips
900561,L. A. Povinelli
910355,Lev T. Perelman
913193,L. P¨®sa
914284,Laurie L. Parker
915665,Lisa D. Pearce
923130,Luigi Pomante
923929,Laura A. Palmer
925966,Larisa A. Pozdnyakova
930439,L. Pettersson
930643,Lauren E. Pratt
933712,La Plata
937300,Leon Portman
940467,Luís Pinto
941572,L. Pivka
943673,Lae Jeong Park
952830,Luca F. Pavarino
952950,Leonard J. Popyack
959907,Lawrence D. Pohlmann
964205,Linh T. X. Phan
970038,Luis Villasenor Pineda
970310,Larry A. Peterson
974247,L. Pinnoo
974534,Luke Pebody
977578,Lina Paria
979830,Leslie Pereira
989799,Laxmi Parida
994069,Louis Putterman
994879,Luigia Petre
997356,Louis Perrochon
998195,Louis W. Pang
1015079,Laurent Pierrot
1016087,Linda Dailey Paulson
1025919,Laszlo Palla
1029742,Laurie L. Parker
1032207,Liam Pedersen
1032520,Lawrence K. L. Pun
1038368,L. A. Platenik
1052630,Louis C. W. Pols
1055691,LAWRENCE M. PARATZ
1065475,L. Phillips
1065893,Luis Miguel Pardo
1071439,L. Pap
1074791,Leslie A. Perlow
1078372,Leena Peltonen
1081603,Luiz Augusto Pizzato
1081733,Leslie A. Von Pischke
1089475,Lionel Paratte
1090603,L. Pekker
1093259,La Poutri
1105344,L. Polaski
1105804,LOLITA PENLAND
1106579,Lucas Parra
1110634,Leszek Pacholskit
1115043,Lori D. Paniak
1132233,Lluis Pradell
1140255,Louis Nicolas Paquin
1146023,Loic Pauleve
1151157,Luis Villasenor Pineda
1151564,Lasse H. Pettersson
1154656,Larry Press
1160658,Lokukaluge P. Perera
1165823,L. Denise Pinnel
1171937,Laurent Pierre
1176368,Lori Pratt
1182987,Luiz Giovani de Pellegrini
1184358,Leonard Piazzi
1197994,Lorenzo Pia
1201173,L Puglia
1230870,L. J. Peticolas
1245829,L. Pao
1266588,Luiz Augusto Sangoi Pizzato
1272368,Luis Paris
1272730,Luigi Pistaferri
1275588,L. Preuss
1276226,Lawrence H. Pinto
1276567,Lyndsey C. Pickup
1280803,Lyta Penna
1290690,Luis Miguel Pinho
1290699,Low Density Parity
1294896,L. GUSTAVO PEREIRA
1296157,Linda R. Petzold
1312263,Ljubivoje M. Popovic
1312589,Luis Placer Peralta
1315335,Lai man Po
1325361,Linda F. Perrett
1331396,Leonora Poljak
1337642,Lisa Payne
1338861,LEILA M. PORTER
1343475,L. Popyack
1346863,L. A. Palmaccio
1349600,Lawrence C. Pond
1351361,Luca Pireddu
1353867,Lori Phelps
1355201,Lisa A. Parr
1356789,Luiz Augusto Sangoi Pizzato
1356923,L. Palkuti
1364067,L. Padman
1365335,L. Pike
1370150,Lf Pau
1375445,L. Pomathiod
1377725,L. K. Putnam
1378422,Laszlo Pinter
1379205,Lynn Plouse
1400872,Leonard Rodriguez Pasion
1416009,Luca Paita
1420592,Li Er Ping
1421623,Luigi Pistaferri
1422724,L. Porcar
1423510,L. Pesando
1428777,Laurence D. Parnell
1433497,L. Pichler
1440704,Leszek Plaskota
1444770,Laurence H. Pearl
1444961,L. c. Potter
1452105,Laura S. Phieffer
1453862,Luciano Prandi
1467153,Lawrence H. Pinto
1469003,L. Pirozzi
1473037,Lisa Pritscher
1485370,Luca Pireddu
1486656,L. Pizzella
1491682,Lionel Perret
1495038,L. Puigjaner
1499692,Lars Henning Pedersen
1506334,Leland Emery Pierce
1507240,Lloyd E. Peppard
1512059,L. Powell
1521654,L. Piela
1522011,Lori Stefano Petrucci
1524104,L. Pope
1525638,Lotsee Patterson
1529124,Larry Prusak
1535035,Laura Purdy
1537021,L. Prevot
1544899,Lancelot Pecquet
1549531,Li Ai Ping
1552293,L. M. Parsons
1553316,L. Pazzaglia
1554524,Lant Pritchett
1557226,L. K. Pande
1562847,Lee D. Peterson
1574900,Lesley Podesta
1586516,Laurence Prusak
1592298,L. Pilla
1608984,Lawrence C. Paulson
1611753,Lucy A Suchman. Plans
1619335,L. Polwman
1620564,Luigi Petrone
1629125,Laurence Park
1639175,L. Preziosi
1652471,Laxmiprasad Putta
1656389,Laura S. Phieffer
1661093,L. Pantisano
1666040,Lucas Parra
1672353,L. S. C. Pingree
1674232,LEONID I. PITERBARG
1674963,Lung Han Peng
1676041,Leandro Lisboa Penz
1684657,L. s. Pritchard
1690880,Laurence H. Pearl
1701770,Leszek M. Pacholski
1706607,Lance Pompe
1707348,Lucia Pallottino
1715603,L. Prado
1716735,L. s. Powers
1717688,L. A. Pennacchio
1726857,Laura L. Pauley
1729492,Luisa Pugliese
1741371,Lawrence A. Pervin
1747807,L. Pedrotti
1748188,Lisa J. Porter
1749664,Lucy Y. Pao
1755124,Luca Pireddu
1755547,Luca Peliti
1771588,Larry Pinto
1775226,Lu¨ªs Miguel Pinho
1783888,Lutz Prechelt
1784787,Lucian Plesea
1785463,Leyuan Shi Phillip
1792107,Lars Eric Petersen
1796930,L. I. Ponomarev
1801220,Lorna J Philip
1802191,Lianne D. Postma
1805085,Louis G. Putterman
1805656,L Pizzamiglio
1806357,La Porta
1809807,L. Perniola
1812553,L. Pitti
1813265,Larry D. Pyeatt
