11207,Nicholas Lindman Port
12575,N. P. Papanikotopoulos
30684,N. Paulb
41756,N. Peyerimho
57880,N. Picard
58126,Nam Seog Park
60760,Nigel D. Paul
69486,Nikolaos Papandreou
74469,Nicholas Brierley Publishing
75637,Nico Poppelier
84867,Nicolae Coriolan Panoiu
93075,Nicholas M. Patrikalakis
94923,N. Kane M. C. Pitt
111622,Nikolaos P. Papanikolopoulos
135351,N Prentice
138684,Nathanael R Paul
149572,N. Pattabiraman
157084,Nuno Preguica
162604,N. Padilla
171368,Nick Palmer
173301,Nicolae C. Panoiu
178251,Nathalie Petit
205020,N. Powar
213299,Neoklis Polyzotis
218191,Nick E. Pears
219683,N. Politis
227677,Nir Peleg
228085,N. G. Pogosyan
230206,N. H. Patil
238274,Nicholas Palmer
249787,NTIA Publications
256167,Norman Powell
277835,N. C. Plumb
293985,Nianhua Peng
309109,N. Popovici
311871,Neelesh A. Patankar
324010,Nadine Peyrouze
331289,Niles A. Pierce
348096,Norman H. PACKARD
349484,Nicholas Pippenger
361287,Norbert Preining
370938,Nigel Phillips
370998,N. Papaghiuc
384821,Nir Piterman
391883,N. I. K. Pitteway
412369,N. Pakvasa
412419,Neil Peach
423000,Nicholas Petrick
426126,Neil Parker
430158,Nikos T. Patsis
430813,Nancy A. Pachana
441907,Ndltd Strategic Plan
445520,N. LeRoy Poff
448844,Norbert Pfeifer
454422,Neva Pis'utov'a
457069,Nilesh Patel
471844,N Athanael Paul
477238,N. Perrin
482851,N. Parker
483731,Nicholas C. Phillips
495953,Nikos Pappas
516773,Nektarios Papadakakis
522905,Nicolas B. Piller
526726,N. Persat
536981,Nicolas Padoy
537123,N. R. Porter
543021,Nikolaus Pfanner
554905,N PLAKS
559914,Nuno Preguica
560744,Niteen Patkar
566998,Nm Porter
568070,Nicholas J. PIPPENGER
570473,Nucl. Phys
571652,Nicholas M. K. Poon
603050,Nathalie Peyrard
610916,Nikos Paragios
623450,Nicolas Petrochilos
641170,Need For Policies
649907,Network Conrk Program
651511,Namkyu Park
652180,Namje Park
654941,Nam C. Phamdo
657670,Norman D. Papernick
669788,Natacha Portier
674292,Nimalsiri Pinnawala
674308,Nathalie Parlangeau
675240,Nan Phinney
677348,Ninan Sajeeth Philip
683091,N. Prechtel
691866,Nonhomogeneous Poisson Process
698951,Nico Pallamin
701973,Nicholas J. Provart
714256,N. Petersen
728601,Nikola Pekas
729049,Nicholas Papanikolaou
730033,Neelesh A. Patankar
736081,N. Kalyana Rama Prasad
738535,N. U. Prabhu
739291,Natthapol Pongthaipat
757065,Nathan Palumbo
763163,Noel Plouzeau
767607,Nj Pepperdine
769148,Nadipuram S. Prasad
771075,Nicholas A. Peppas
776674,N. Petrov
790946,Naveen Pandrangi
800670,Nicolae C. Panoiu
812287,Nicolas Pugeault
818410,Nigel Pain
839450,N. p. Padhy
841638,Natural Language Processing
842986,Nicodème Paul
846532,Nick Papadoglou
883541,Nicholas A. Peppas
884139,Ninan Sajeeth Philip
908404,N. X. Phuc
911967,Nelson Pires
909726,N. Pangos
915590,Nina Pavcnik
922391,Nine Best Practices
925028,Neil Phillips
925405,N. R. J. Poolton
929636,Nagpurnanand R. Prabhala
933145,Nicolas Parisey
935308,Nicola Cufaro Petroni
938398,Nir Polonsky
953693,N. Pahalawaththa
972727,Nicolas Prat
977827,Nc Popescu
988304,Nicholas F. Polys
996816,N. Y. Patt
1001665,Norman Paterson
1037651,Nickolas Papanikolaou
1038771,Nikos C. Petrellis
1041374,N. Pavón
1049812,Nikos Platis
1063290,Niels Provos
1065234,Nicolas Privault
1081556,Niels Pinkwart
1084703,Nuno Preguic?a
1090067,Nuno M. Preguiça
1098916,Natural Selection. Princeton
1102147,N. A. Patrin
1103412,Nicolas Pott
1109457,Nancy Pennington
1111244,N. Peila
1133052,Norman Paton
1137576,Niranjan Parajuli
1148287,Nicholas F. Polys
1152431,Nina Pavcnik
1156679,Norman W. Paton
1158106,Nicos G. Pavlidis
1161742,N. Anders Petersson
1179024,N. a. Papanicolaou
1182070,Nicholas Pippenger
1182859,Nihal Pekergin
1183232,N. Pugeault
1193419,N. F. Piland
1201607,Noncausal Prediction
1203066,Northwestern Polytechnical
1206588,Nikolaus Pfanner
1213983,Nicolas Pugeault
1227551,Networks Rezvan Pawlikowski
1244978,Nancy S. Pollard
1245096,NELSON G. PUBLICOVER
