1142,R. Pokorny
2850,Richard Purdy
6585,Regime R. Peng
11011,R. Vossy Max planck
11317,Ramprasad Polana
12453,R. Pesenti
14270,Robert A. Pollak
17036,Raffaele Pernice
19305,ROBERT POWER
19921,Richard Pannell
20618,Ronald D. Perkins
23718,R. Puglisi
25820,Richard L. Phillips
25999,Radek Pelanek
29642,Rohit Pasari
34622,R. Pulfrey
36448,Rob Powers
38795,R. Papoulis
39018,Russell C. Pain
40738,Rapha?l Poss
43377,Rebekah Pratt
45282,Rene Cumplido parra
46141,R. Patti
47285,R. Perichon
51982,Rema Padman
57463,Roberto Pallavicini
57510,R. M. Putnam
57752,R. Podhorodeski
59078,R. L. Petersen
66193,Rohit Pandey
71475,R. Adam Pease
73913,R. E. Pollock
76078,Rashmi Prasad
83048,Robin Pemantle
84877,Ricardo Garcia pelayo
86402,Ruth Prager
90457,R. A. Parekhji
92227,Russell C. Pepe
93205,Raj Patel
96772,R. H. Perrot
101593,Robert Palais
101849,R. Pereira
101989,Ralph S. Phillips
102094,Robert D. Putnam
103315,Russell M. Phelps
105542,R. H. Philpott
109620,R. Paknys
112229,Romain Peyrichou
115761,Rian H. Prinsloo
118327,R. a. Pearson
123311,R. A. Van Patten
123676,Related Plasma Phenomena
126869,ROBERT D. PEDEN
127819,Richard Platek
128633,R. Polastre
128673,Renaud Pawlak
131076,Rebecca J. Parsons
134186,R. Porath
137169,Roberto Paglino
138495,Robert Pettengill
140247,R. S. Piascik
140889,Raúl E. Valdes pérez
141436,Renato Pelessoni
149079,R. Pontier
149304,Richard W. Pastor
150224,Roger J. Pinnington
157810,R. w. Picard
158117,R. Philip
162323,R. d. Palmer
163706,R. Pelliconi
164454,Richard J. Petti
165660,Ronakkumar Patel
170344,Robert K. Prud'Homme
174264,Robert D. Plante
177741,Ricardo Jiménez Peris
178907,Ruud Pellikaan
179426,Richard Pavelle
179696,Renato Pelessoni
181739,Richard D. Palmiter
182041,Roberto Paroni
183217,Robin Passow
185277,Robert B. Pless
185472,Rui Prior
187209,Roberto De Prisco
188445,Ranjith Purushothaman
193568,Rohit S. Patwardhan
193722,Richard Penn
195194,Reinhard Posch
199843,Raphael Pfaff
201041,R. Paffrath
202296,R. Brad Perry
204848,Roman M. Palenichka
210446,Roger M. Prenger
213046,Ruchika Shaurya Prakash
215373,R. Putrus
215601,Rachel A. Peat
216037,Robert H. Pierce
217335,Radu Pantilie
218057,Random Processes
221011,R. p. Patterson
225624,R. P'erez Pinaya
230675,Robert R. Peterson
231317,R. F. Parodi
231496,Rosalind W. Picard
231993,R. A. Prosek
236171,Rodrigo Pinheiro
239471,Raja Peter
240922,Robert Noyce Scholar Program
243026,Rafael La Porta
243453,Ricardo Pires
245037,Rialette Pretorius
247623,R. Pio
249434,R. PURVES
249653,R. Platteborze
262970,Robert L. Popp
263536,Ravi Paul
264206,R. p. Patankar
267541,Rodrigo Paillacar
270601,Robert Pierce
271440,Ronald J. Prinz
271998,Roger M. A. Peel
274131,Roni Palmon
274633,Ruy M. O. Pauletti
276985,Rajitha Padakanti
278611,Robert Piche
278799,Robin S. Poston
282812,Roger A. Pearce
283197,Rick van der Ploeg
285019,Related Problems
291820,Robert Pajak
295391,R. n. Do Prado
298854,Richard D. Parlow
300315,Robert G. Parr
300874,Rumi Kato Price
302603,Rina Panigrahy
307627,Rodrigo Picos
308974,Robert H. Pollack
309990,Robert Pless
312747,Rossella Petreschi
314538,Rosa Candida Pinto
316205,Roberto Carlos Veloso Pita
318564,Rendering For Polygonal
319019,Rony Paz
319539,Richard P. Phelps
322525,Roland A. Puntigam
329756,Rajesh Parekh
331972,R. A. Pucel
335301,Richard Payne
336683,Roy van Pelt
336699,R. Peoples
340397,Roberto Pieraccini
350807,Richard Puerzer
352855,Raul Padron
357658,Robert Pfeiffer
357900,Rong Pan Balaji Prabhakar
359435,Robert S. Phillips
363986,R. P. Pitkin
369308,R. F. Pohl
377700,Reportrapport Proof
382957,Ratish J. Punnoose
383535,R. Petrocelli
385372,Raman B. Paranjape
386053,Robert R. Provine
386270,R. IAN PERRY
388986,R. Prakash
390447,Roger G Perkins
390896,Robert Palermo
391314,Riku Pirhonen
392424,Rao Ganti Prasada
399881,Roman A. Polyak
400586,Richard B. Pelz
400840,R. R. Patterson
403031,R. Palla
