5694,Sheetanshu L. Pandey
8093,Silvia Poles
10332,Stephane Perennes
14656,Shanup Peer
20297,Stanislav Popovych
20376,Shirish Hemant Phatak
21470,S. K. Park
23812,Sergey Piunikhin
25937,Sergei Prigarin
27167,Shyam Prabhakar
27696,S. Pulla
28085,S. Payette
29050,S. Prakash
29618,Santiago Pavon
30976,Stephen Wheatley Price
37390,Sun Hee Park
52265,S. Pocsai
52575,S. G. Podorov
53419,S. Papacharalambous
56247,Stefano Padilla
56354,S. Y. Poh
58950,Seoung hwan Park
60414,Shun Fu Pon
60893,Shiv Pillai
68105,Systems Lavindra Priyalal
73688,Stefan Pokorski
74266,Stephen M. Pizer
76260,S. g Park
77898,Steven Pemberton
81315,Santosh Pandey
83476,S. Pitroda
83641,Sue Pierson
84556,Stephen R. Pye
85639,S. G. Ponnambalam
88700,S. Patz
88776,Stephen R. Proulx
96239,Stefan Pollak
100841,Spiridon Pantelis
100944,Seppo Pynnonen
111151,Simon Perdrix
113592,Structural Properties Pawel
116943,Steven A. Przybylski
128835,Stefan Pollmann
130042,Svetozara I. Petrova
135772,S. G. Podorov
138347,Shankar Ponnekanti
143878,Sarah Pink
145266,Sung Ha Park
155503,S. j. Prouty
156413,Support Democracy Practices
159423,Slaven Peles
166728,Study On Plato's
167086,Stefan V. Pantazi
170171,Sebastian Paucha
170358,S. Pankanti
171200,Sakti Pramanik
177528,Seung Won Paek
178835,Silong Peng
179198,Solving Nonconvex Problem
182576,Sidney M. Petersen
185091,Sakti Pramanik
191068,Stanley B. Prusiner
198104,Stephanie L. Paquet
198429,Stephen J. Preece
207458,Stoylmina Popova
208055,Sara Rochelle Parsowith
209285,Speech Perception
209369,Si Pan
214068,S. Peris
214087,Service Guidance Package
214676,Sharran R. Parkinson
214856,Seong Jin Park
219430,S. Peter
222892,S. Parault
226721,S. L. Pimm
226846,Steven David Prestwich
227932,Satyamurthy Pullela
228610,Stefania Perrotta
229236,Samuli Pekkola
237182,Seung taek Park
237612,Statecharts To Promela
238742,Seung Chan Park
244937,Shrideep Pallickara
245462,Sangheon Pack
245503,Salvatore Pennisi
246375,Steve Pepper
247440,Sung ho Park
250801,Sariel Har Peled
252126,Sai wing Pun
255640,Shu Jun Pan
256054,Steven M. Pederson
259443,Steven S. Popovic
261703,Stephane Pitois
263443,Seung jong Park
264133,Steve Phelps
270904,Seong bae Park
275386,Simone Pribbenow
277475,Steffen Prohaska
284403,S. Poarch
291831,Soqa simpack Toolkit Patrick
296975,Steven D. Pekarek
298303,Sean G. Perrin
303274,S. Sandeep Pradhan
303773,Stephen M. Pollock
308836,Sassan Pejhan
310429,S. P¨a¨abo
313935,Serguei Primak
318532,Surekha Palreddy
319735,S. B. Premkumar
322185,Samuel T. Pfister
324720,Stelios E. Papadakis
326785,Seymour Papert
332120,Steven C. Parkhurst
334660,S. Patrissi
336313,Sensor Networks Praveen
337054,Shawn Phillips
337966,Shuangjie Peng
337982,S. M. Peirce
338538,Swierstra Pablo
338926,Stephan Poelmans
343590,S. Panigrahy
347923,Stuart Pook
350355,Sylvain Poussier
350549,S. Peng
353746,S. Prabhakararao
366374,S. Puri
372494,Spyros G. Pavlostathis
374563,Shana Poplack
