1076,Janet Rosenbaum
1273,Johan Van Rensbergen
3446,J. H. Rakels
6059,John F. Rembetski
9003,Josef P. Rauschecker
9678,John A. Reisner
13936,J. M. Rafi
17168,John Roche
17884,Jukka P. Riekki
18002,Jean jack M. Riethoven
20214,J. Rlssanen
32609,John Van Rosendale
36988,J. G. W. Raaijmakers
38655,J. L. Richier
43246,Johan Runeson
43908,Joseph Reiser
44939,James D. Ratcliffe
48426,John Rawls
49532,J. Rajen
51299,J. Royce Rose
52690,Juhani Rudanko
52814,Jennifer M Rohan
57089,Justin Read
58373,Judith Murray Rust
63341,John Rawls
64535,Jaime Barros Rios
66519,Jorge E Rabinovich
70808,Jennifer Rexford
71844,Janne Roos
72318,J. Rodriguez
72774,Jose Ragot
75285,J. Richman
80520,John Rasmussen
87502,J. Rung
87681,Jette Randlov
87834,Joseph Rosen
91322,Jan Rosinski
93419,Jan Rauch
97057,Jennifer M. Rothgeb
100390,Jacob Richman
101407,J. Rikabi
101488,John M. Royet
102321,Jason Remillard
103916,Jos Roerdink
104088,Joan Roehrig
109469,Jt Rasmussen
112218,Jan Recker
114891,Jeffery J. Roberts
115509,John Rodgers
118101,Julio J. Rotemberg
121029,J. M. Rosen
126958,J. G. Ratcliffe
127641,Joan B. Rose
129385,Jeha Ryu
129412,John L. Rubinstein
130782,J. B. Restorff
131106,John Rushby
131218,James R. Ralphs
132052,Janice Ryan
133859,James A. Rozum
136317,Java Core Reflection
138078,J. A. Romagnoli
140594,Jorge C. G. Ramirez
140857,Jukka T. Randell
146038,JAMES W. E. RUSH
146668,Jane Robinson
150289,Jan Rotmans
150744,John C. Raymond
151601,Joseph Harvey Rothweiler
151914,Jack Rehder
152532,Jelena Radovanovic
153347,Jens Reinbach
153739,Jan Rekers
153961,J. L. Roel
160324,Je Keun Rhee
163308,Janice Anne Rohn
164655,J. W. Reyn
165556,Jeremy Rouse
166315,Jose Antonio del Rio
166850,Jean Rohmer
166863,John T. Rotenberry
169646,John Riedi
169850,J. Rosenstrauch
170293,J. Ramanathan
171678,James F. Reid
173686,Juan Manuel Cigarran Recuero
174724,James Dennis Reimann
174817,Jan M. van Ruitenbeek
177717,Janina Reeder
180677,J. A. Roainson
181441,Jean pierre Richard
182864,Jeffrey Roller
187025,John F. Raffensperger
191703,J. Rosenkranz
195053,J. Richert
196177,James E. Rumbaugh
199860,J. s. Rogers
200831,Janne Ropponen
201674,Julie A. Rinaldi
201806,Jim Reese
203843,Julian Romero
204086,J. Rayport
204138,J. Ramanujan
206964,J. Righi
209421,J. Rastegar
212136,Jennifer S. Hartz Rubin
212404,J. Da Rocha
212985,Jean pierre Radoux
215873,J. L. Ryder
217416,James Rucker
218873,John F. Reintjes
219378,Jeffrey S. Reeve
219389,J. Ries
219508,James Ralston
220582,Jorg Rottl
221593,J. Rappaport
229784,Javier Rivera
229858,Jean Charles Rochet
232372,J. A. Refaee
233026,Jonathan Corson Rikert
238521,J. Andrew Roberts
240779,J. Randel
243592,Janet H. Randall
247179,Joseph Hellerstein Ryan
248169,Joel Rivat
249212,J. Ramsbacher
251148,Jacob Illum Rasmussen
251449,JAMES L. ROGERS
251538,James Reeves
253646,Jose L. Ruiz
254241,John M. Reising
255278,James Rinker
256498,Jan M. M. Rondeel
259032,James Rees
260215,Juan diego Zapata rivera
263881,Jonathan Le Roux
264208,Jose Manuel Riera
266284,John A. Reed
270192,Jens Riboe
279309,Jm Ramirez
284831,Jrgen F. Rler
288305,JOSEPH RIORDAN
289121,Jurgen Risau
290704,Jennifer F. Reinganum
292663,JOSEP ROCA
292984,J. Rezeppa
293277,Juliette Rouchier
295971,Jan K. Rainey
296229,J. Riom
299994,John F. Rudan
303689,Jochen Renz
306780,Jg Raven
307176,J. Risau
307398,Jean H. F. Ritzerfeld
308146,John P. Rickards
308208,J. Glatz Reichenbach
310808,Jean francois Ragot
314128,J. Rickford
317022,Jean Marc Robin
319947,Jenny Robins
321324,James Mahmud Rice
321863,J. T. Reed
326526,JACOB ROOTENBERG
330601,John D. Roberts
330898,Jerzy W. Rozenblit
331229,J. J. Janse van Rensburg
331771,JERRY B. RICHARDS
333801,J. R. Richmond
334444,Jos   e Ferreira de Rezende
335133,J. Ramanujam
336546,J. Des Rivi¨¨res
336839,J. Raiha
337330,Joe Ramsdell
339126,John Riedl
339601,John S. Rice
340238,J. Risnen
343009,J. S. Raichelen
344240,Jay Raja
344389,J. Von Reich
344497,Jim Ruppert
346158,Jun Rekimoto
350168,John Minor Ross
350858,JOHN E. ROSS
353178,John M. Lervik Tor A. Ramstad
353203,J. Reddy
361734,John Rawls
363839,J. L. Rubenstone
366412,Junghwan Rhee
367049,Juan Manuel Cigarran Recuero
370800,John Van Wicheren Reynders
371301,J. Roesler
376308,John Raiti
378031,J. M. Richard
378553,Jh Rothman
379468,John David R. Rocha
385513,J R?sch
388576,Jonathan Reeve
388695,J. Radecki
388721,Jeroen H. G. C. Rutten
390039,JOSE RIVERA
390281,Jean Paul Rudant
391322,Jim Rumbaugh
391570,J. Russell
391936,J RAMLET
400285,J. W. Ranney
401992,Jan Reimer
403725,Jane M. Rogers
403941,Joan Robinson
403984,J. I. Rodriguez
406332,Jorge Russo
406855,Jafar Rezaei
407373,J. R. Redmon
408720,John A. G. Roberts
409565,James R. Rice
409956,Jean Jacques Risler
413076,Jean marc Rousseau
413161,Jean Pierre Riba
413678,Joan Richardson
415427,James Ryan
415494,J. Represa
415893,John Ruch
417693,Jeremy Ramsden
417714,Jacques Retief
421489,J. o. Reese
422387,Jason T. Richards
422759,Jeff Racine
422921,John Robertson
423475,Jahmeilah Richardson
424285,Jeffrey S. Reeve
425253,J. Rosato
425878,John Rotondo
426720,Jean charles R¨|gin
427076,Joshua A. Redstone
428156,Joachim O. F. Reimann
427950,Jean yves Ramel
431885,John Reed
435448,Jennie Roux
435874,Jorg Rambau
437076,Ji Zhou Ren
437883,Jean christophe Routier
438751,John E. Roberts
441172,Jeyavijayan JV Rajendran
442092,Julian Rose
447142,Jarrett Rosenberg
448652,Jens Riesle
449721,J. l. Robertson
453000,Jorg Raisch
455583,J. F. Rayport
456648,John Reeves
457422,J. Rockway
459269,J. n. Ridley
460316,Juan Manuel Rosas
460764,Jon Reid
462404,Joseph W. Richardson
464015,James A. Rathkopf
468166,Julio J. Rotemberg
469786,João L. Rebola
470253,J. Rubin
472621,Jochen Rohrig
478885,JAMES C. ROBINSONy
485944,Joachim Rosenthal
489279,J. H. Ritskes
491314,Jang Roh Rhee
491357,J. D. Relich
497289,John M. Rushby
497845,J. Romero
498602,James A. Robinson
499022,J. Rieger
501482,Julien Reichel
502353,Jacques Richard
504922,Jeffrey J. RONNING
510573,J. Renaud
514278,John A. Rushing
519774,Jl Ringo
524571,John W. Ryder
526142,Juris Reinfelds
526802,J. Rodellar
528455,Jane Razumovskaya
530300,Jonathan Reeve
530341,J. J. ROBERTS
533269,J. Rittiger
534212,James F Reeve
534953,Jeffrey D. Richman
536548,Jennifer L. Rochlis
538202,Jean Christophe Routier
541468,Jesus Martinez del Rincon
544168,J. Raffaelli
546273,Jose Carlos Rodriguez rodriguez
546384,Joe Reimann
548527,Jesus Martinez del Rincon
551273,Judy Rathmell
551742,John J. Rieser
552546,J. Reid
554343,Jorge Rivera
557270,John R. Reynolds
557531,Jean Pierre Reveilles
558010,Jose C. Riquelme
558578,Joan Robinson
559713,Jason W. Roos
564855,Jon Rosdahl
565764,Julie J. C. H. Ryan
567947,J. J. Rice
569173,Juan Manuel Reyes
572769,Jerome Reecht
573530,John Rockey
574562,JEROME R. RAVETZ
579661,Jeffrey Rosenscheiny
582388,J. Robu
582826,Javier Ros
585089,Jeffrey Roth
586021,Jannick P. Roll
586686,Jochen Rohrig
588717,Joan Robinson
589218,John E. Roberts
589532,John D. Rockway
589715,Jose Luis Hernandez rebollar
589724,Jack G. Rudd
590001,John L. Rutledge
590075,John Michael Robson
591618,Johan Rathsman
592203,Joseph M. Romano
592626,J. P. Ragey
596026,J. Rusted
596796,Jiagang Ren
597484,J. Rizzo
598046,J. R. Rasure
598443,Jon D. Robertus
600557,J. T. Rahmeh
604104,J. E. Arias Rodriguez
605927,Jean Pierre Rossi
607309,Joel L. Ryan
607736,Jonathan D. Raff
610976,J. REICHEL
612895,John K. Reid
612957,J. s'anchez reyes
615384,Jonathan F. Raper
616864,J. Rayman
617431,Judy Robertson
617756,J. Ri
620288,Jeff S. Reeve
621510,J. r. Ribeiro
621511,J. Ringelstein
623092,J. S. Rosenschein
624466,Juan Manuel Rodriguez
628017,J. P. De Ruiter
628780,Jay R. Ritter
631155,J. i. Ronda
632307,Jennifer Robinson
634334,Jaime Ramos
637705,John A. Ratcliffe
641112,Jose luis Ruiz reina
643420,John Ruck
645791,Jong Seok Rho
646579,J. S. Risch
651510,J. M. Rohwer
655468,Joseph W. Rottman
658668,Jurg Rebsamen
660718,Jacques Robert
662045,Jose C. Riquelme
664683,Jan Rosell
667307,J. Radlow
669278,J. Ruml
672070,James Reynolds
673584,Joan M. Roemer
676727,Jacob Roll
677785,Jaennet A. C. V. Rens
681232,Juan Manuel Reyes
681508,Joyce Ray
681608,Joyce Rothermel
685360,J. H. Rawlings
685747,Januz Rajki
686543,J RAELIN
688038,J. e. Roy
688524,J. A. Ruppen
689430,J. Revenaugh
690277,James A. Rodger
691826,J. Ribeiro
691896,Jean Louis Rasolonjanahary
692281,J. T. Rowley
693476,Jens Ringling
694214,Joshua Raiff
694877,J. r. Rosen
695706,Jagdish Rai
700428,J. Ramik
701744,J. G. Rhode
704409,Jeffrey Richter
706696,Jishi Ren
709541,Jurgen Repp
710734,J. A. Rech
713928,Jacques Pasquier rocha
715636,Jesse E. Russell
721066,Jiirgen Rauscher
722364,Jim Des Rivieres
726191,J. Arias De Reyna
726259,J. S. Roger
730548,Jose Alberto Royo
731111,Jai Il Ryu
732410,J Rebecca
732514,Joost M. J. Rongen
733585,Jean pierre Van Riel
740112,Jerry W. Rudy
740750,Jorn Richts
742067,Jennifer E. Rowley
749091,Jereme Lovekin Robert
750045,James Rambo
753916,J. n. Rosenau
754725,José A. Hernández Reyes
757819,Janet D. Rowley
759108,Jeffrey J. Reimer
759218,Juan C. Rubio
759412,J. e. Roman
760076,Johannes Rudolph
761040,John W. Rosenthal
762081,John L. Rubinstein
763293,James Van Rudd
765814,John F. Roddick
766401,Jean Yves Roussey
767258,J. Rustique
770420,James M. Regh
770850,Jorge V. Perez Rodriguez
772125,John M. Regan
777144,J. Raittila
779767,Joao Batista Teixeira Rocha
780849,J. L. Rouyer
782842,Judith C. Russell
783248,Johannes R?hrich
783888,John P. Ralston
784324,J. L. Riley Bbc Rd
785635,J. Ambj Rn
793598,Jennings Nick R
793929,John D. Roberts
795801,James Reynolds
796595,James Rettig
796755,Julio D. Rossi
797679,Jack M. Rogers
798691,Jeremy Rowe
808147,J. Perez ruiz
811581,Jeffrey S. Russell
816744,J Redstrom
823513,John S. Conway Rutgers
826772,Jae Sung Roh
830289,J. D. Rose
833299,Jaime Ramos
834368,J. Ranta
836057,Jan Rotmans
839585,Jose Gabriel Zato Recellado
842628,Jean Paul Rieu
846027,John S. Robinson
846177,J. Richner
848786,Jeremy I Ross
852690,Judith Murray Rust
853162,Jennifer Ann Rode
853981,Jeffrey A. Roberts
857265,Joachim Reineke
858761,Jochen Rick
859348,Jonathan D. Raff
859875,J. J. Roechio
859986,J. F. De Rezende
860062,Jean Charles Rochet
862385,Jean Francois Rual
863163,JONAS RAPPE
865083,Jean pierre Reveilles
866422,Jose Rodriguez
868359,J. Reyneri
871806,John Alan Robinson
872987,Jorg Ritter
873375,Jeffery S. Reynolds
876181,Jackie Rees
876735,Jamshid Rahimi
877450,J. Philippe Rushton
877648,Jesus Rubio
879912,J. Ribelles
883880,John Ralph
884366,J. Riquelme
887681,James W. Roberts
887900,Jens Reynders
888764,J. j. m. Ruigrok
895552,James Ritchie
896571,Jenny C. A. Read
897436,J. V. Rajan
897936,Justin Rough
898140,John M. Regan
902076,John T. Rotenberry
904819,Joan V. Robinson
910239,J. Roche
911499,J. Raynauld
912868,Jean Francois Richard
914498,John David R. Rocha
917640,Joshua D. Rabinowitz
918210,John H. Roberts
918334,Judith L. Rapoport
922596,Jiirgen Reuter
923259,Julian Rathke
923549,Joanne Kathleen Rowling
925719,Jinchang Ren
926044,Jay R. Ritter
927055,Jesus Martinez del Rincon
929927,James Ronald
929991,James T. Ryaby
930013,J. Rossmann
930551,James J. Rosenberg
932430,Jean Roman
933038,J. Peng C. Roos
933168,Jean De Rumeur
939299,James Roberge
940617,J. Roeckner
940776,J. Ruela
942475,Jon R. Resar
942815,Janet Radcliffe
943049,Jizhou Ren
943802,Jane Reid
945290,Julio Rosenblatt
947662,J. M. Rebord?o
948341,Jacob Rael
948875,J. Rosiek
950631,Jean luc Remy
951276,JEFFREY L. RIGGS
952692,Joe Robinson
953483,Jeffrey Rosenschein
955001,Juan Raposo
955281,J. P. RANJEVA
955344,J. Rufenacht
956246,John Roumeliotis
960256,J. Robey
962468,Jayashree Ramakrishna
964770,Jacek Radajewski
964888,J. Roeser
967256,Jenna Rychert
970501,Jan Rotmans
970792,Jonathan Rose
973065,Jane A. Ruliffson
973761,James A. Robinson
973980,J. L. Ryner
974116,Jose Alejandro Hidalgo Rivas
974521,Jeff Rickel
977332,JAIME DE LA REE
978299,Jian Ren
978470,J. Ryynanen
981528,J. Mark Ramseyer
982020,Jamil Raza
985009,James Reisman
988454,Judith A. Ruffner
988489,Joseph Rosenzweig
989845,John V. Ringwood
993703,Jc Reed
995301,John K. Reid
997246,Jose Maria Ramos
1001424,Jacques Ravel
1002667,J. Rovnyak
1005015,Juliane Ramser
1006267,John D. Richardson
1006409,Jerzy Rozanski
1010371,Jan Ritchie
1011966,Janice Marchok Ryan
1012462,Jose Carlos Ramalho
1012676,Jorge Real
1013407,J. Ruf
1013734,John G. Riley
1014014,Jerónimo J. Rubio
1018268,J. Ru
1018434,J. C. Ross
1019742,J. Ripoche
1024489,J Rattenbury
1025043,Jose Ragot
1026157,John David Rocha
1033312,Julio D. Rossi
1034490,J. l. Martinez Ramos
1035959,Jeremie Roux
1036829,Johannes A. Roubos
1038001,J. a. Rowlands
1039790,Jungwoo Ryoo
1040130,Jose H. Rivas
1040341,J urgen Rehm
1041246,J. Rojas
1043793,Jan Rosseel
1043951,J. R. Rivas
1044271,Judith Murray Rust
1044725,Jacobus E. Rooda
1046011,J. d. Rhodes
1047380,J. A. Raring
1047885,Jonathan Rochez
1047978,Jorgen Rasmussen
1054442,Jan Rotmans
1055867,Jeffrey S. Rauch
1056421,JAN RATAJSKI
1056667,Jan Rexilius
1056968,J. m. Hernando Rabanos
1060510,James F. Reynolds
1060751,James Rice
1061017,James A. Reggia
1062441,Jennifer F. Reinganum
1063726,Jonathan D. Rogawski
1064164,J. Nelson Rushton
1065540,John Rissanen
1067852,Jan Radil
1071013,James M. Rochelle
1071630,Jun Rekimoto
1071702,Jonathan C. Roberts
1071807,J. Rieve
1073004,J. Rinehart
1073258,John paul Renno
1074614,John Rush
1080709,Jiann chyi Rau
1083204,J. c. Rasmussen
1084137,John H. Rust
1086545,J. s. h. Ross
1087938,J. F. Roos
1089254,John M. Rubin
1089427,J. Remmel
1091372,J. Raymond
1091639,Jenny C. A. Read
1093958,John C. Reed
1096515,J. HYAM RUBINSTEIN
1098696,Justine Roberts
1099470,Jos De Roo
1101810,Jose Renau
1101904,J. Rabbaey
1104365,John M. Rochford
1104887,J. R?thig
