1964,L. Rider
2929,L. I. P. Resende
10236,Lord Rayleigh
24488,Laboratoire De Recherche
30582,Luciano Ramos
30849,Luis Reynoso
33143,L. Roemer
41146,Leo Reyes
43140,Laurence Riddle
44769,Leszek Rutkowski
54811,Laci Roth
62900,Luca Roversi
74972,Lorna Rapoport
76859,Leslie A. Reith
78317,Labein Nick R
81956,Luis Rueda
90297,L. Ravazzi
92067,L. Revah
97181,Layali Rashid
110704,Luis Manuel De Leon Rodriguez
116218,Lu Rudolph
119835,Lus Rodrigues
122474,Layali Rashid
127124,Logic Simulation Randal
130862,Luis Rey
142645,Lyle Ramshaw
143674,Louis P. A. Robichaud
155779,Laurel Richardson
168226,L. Reynaud
182781,Leonie Rouleau
193148,Lali Rurua
194540,Loop Antenna Results
196679,L. Rebenfeld
202879,Linda Ridgeway
231751,Liu Lazar Rothfus
237968,L. M. Ramirez
242068,Louis C. Rose
242467,Leon Root
244860,Laurence Rackham
252872,L. Jackson Roberts
265795,Logic Programs Ferri ram
266898,Luis Francisco revilla
276158,Labor Regulations
282639,L. E. RickardPetersson
285646,Lawrence C. Rafsky
286475,Lemonia Ragia
300607,L Revsine
306327,Local Macroeconomic Risk
308764,L. Rong
315538,L. Reed
327766,L. David Ritchie
329051,Lecturer Satish Rao
335900,Lev Ryashko
357770,Lani Ritter
357849,Leonid Roytman
360646,Leonard Rexberg
360755,Luis Gustavo Varges Resende
373344,Laura M. Roth
375974,Laurie J. Rolston
378368,L. Savoldi Richard
380626,Liu Richardson
382079,Lawrence M. Rudner
400662,Lorente De Nó R
401032,Long Terminal Repeats
403426,Lawrence A. Rowe
405219,L. Ribeiro
424993,L. G. Roussel
428413,Louis Rivest
431073,Luisella Romeo
434053,L. I. Rozonoer
438077,Lars Risbo
440165,Laurent Romary
443259,Linda M. Richter
444727,Luigi Rizzo
447365,Larry A. Rendell
450915,L. Royakkers
452329,Lutfor Rahman
452670,Leonardo Maria Reyneri
459967,Leslie A. Real
460738,Ludmila Rivkind
472426,Lukasz Rauch
473210,Lars Rudolf
491180,L. r. Rajagopal
507810,Le Reste
517312,Leszek Rutkowski
521269,Leonardo Ribeiro
523367,Laurent Raynal
537303,Lawrence F. Reardon
538109,Lauren V. Riters
542460,Lawrence Rabiner
543394,Lidia Ruiz
548816,Loreta Rasteniene
549279,Luis Felipe Romero
550807,L. J. Rosenkrantz
550929,Lawrence Rabiner
551045,Louise Barcia Ramos Reis
551725,L. Salamanca Riba
553055,Luigi Raganella
557859,Leonid I. Rudin
560933,Linda A. Raubeson
571885,Leiv Rieger
580121,Lana C. Rutherford
586399,Lamia Romdhani
587659,Lothar Reichel
591972,Loren H. Rieseberg
594251,L. Reichel
594792,L. Rebouta
597541,L. Rickard
598110,Lee A. Rubel
616404,Lisa Rein
626248,Leonid Ryzhyk
630809,Laura S. Robertson
641152,L Rifkin
652686,Luc Robert
654846,Laura Elena Raileanu
659334,Louise M. Ryan
661624,Linguistics Burghard Rieger
664639,L. A. Riggs
667058,Lynne M. Reder
672844,Lisa Randall
675406,L. Del Re
676356,Lucio Carlo Rodoni
690635,L. w. Rutledge
690675,Louis Rosenfeld
708903,L. RENEGARCIA
718928,L. Rotenberg
726799,Leslie J. Gonzalez Rothi
729920,Leon Root
730303,L. Gerville Reache
732756,Lars peter Riishjgarrd
752595,Lloyd Rutledge
760778,Liliana Rojas
766947,L. Raffaelli
776811,L. F. Reznik
777458,L. P. Reis
779655,Luiz Renato
780919,Lorenz Risch
790802,Leonardo Rodriguez
792596,Laurence Roy
797554,Luis Arevalo Rosado
802842,L. P. G. Ribeiro
812954,Lars Reichert
813697,L. M. Rucker
818457,Larry Ruzzo
820459,Leonie Rouleau
823318,Lorenzo A. Rossi
823390,L. Robertson
823912,Liu Guo rong
834131,L. Rikus
834205,L. Rayadurg
846498,Leonid Rusin
853918,Lorenzo Repetto
855604,Lars Rasmussen
856156,Ludovic Rousseau
870085,Leslie Roberts
873689,L. Raynaud
874630,Lynn J. Romrell
876074,Lutz Rapp
877529,Luca Rossi
881324,L. Ray
891056,Leading The Revolution
893858,L. Rennie
905627,Lucas Reader
908663,Laura B. Rawlings
918265,L. W. Roeland
923063,Lily Riggs
923881,L. Robicheaux
924071,Leonie Rouleau
936000,L. d. Reynolds
936295,Leonid L. Rubchinsky
939185,L. Robitaille
948306,Licinio Roque
957358,Li Cheng ren
969629,Lupicinio Iniguez Rueda
971025,Luisa Roncali
980257,L. P. Rees
991019,L. Ramesh
991738,L. M. Roylance
992781,Lance J. Rips
996493,L. P. Romanyuk
1001651,Leonardo Andrade Ribeiro
1002596,Luca Rondi
1004161,L. J. ROUSE
1015830,L. Roberts
1016831,Lindsey Engle Richland
1021155,Lesley A. Rex
1025472,L. RAMUNNO
1044991,Lifted Quadratic Residue
1046453,Leo Radom
1047421,Lucas Roh
1051373,Lydia Ray
1059349,Logical Relations
1064642,Larry Rice
1067186,Llewelyn Roos
1068153,Leonid Jose Tineo Rodriguez
1072148,Ludovic Roux
1080292,Luis C. Rabelo
1080632,L J van Ruyven
1088744,Lucrezia Reichlin
1093669,Leslie Ann Rusch
1117834,L. Root
1120958,Laurent Romary
1132843,L. Risch
1143153,Luis Javier Rodriguez
1149968,Leon Raif
1159593,Leigh Rankin
1160024,Laura Gillim Ross
1161140,L. M. Rux
1164507,Leonid Ya. Rosenblum
1166878,Lakshmish Ramaswamy
1171721,L. Ropes
1175384,Leo Radom
1183190,Lucia Riggio
1186030,L. Reveillere
1196788,Leonid Jose Tineo Rodriguez
1199675,L. R. Rabiner
1206037,Lord Rayleigh
1210200,Leiv Rieger
1214928,L. REICH
1221361,L. Risch
1231530,Lord Rayleigh
1234699,Leo Rader
1241315,Leif Bloch Rasmussen
1242227,Light Rail
1243382,L. Rago
1246554,L. s. Resende
1261723,L. Ross
1265274,L. RESTA
1268757,L. Romero
1270334,Luis Redondo
1273027,L. H. Royden
1276546,Lothar Rostek
1302808,L. Ruston
