2749,Robert Redlich
7087,Russell Revlis
10630,Russel J. Reiter
12650,Rabie Abd El Tawab Ramadan
12917,Roger A. Rulifson
15611,R. Reynaud
20420,ROUBEN ROSTAMIAN
23402,R. P. H. Rettschnick
29198,Robert L. Rodnitzky
32317,R. Ragona
36785,R. Remmert
37822,Robin D. Rogers
38317,R. Rhea
39152,R. D. Russel
39356,Robert L. Ruberg
44373,Richard D. Robinson
46814,R. Radhakrishna
47207,Rudiger Rudolf
48359,Ravi Ramsamooj
48428,Richard Redl
50717,Rodrigo Ramos
52626,R. k. Reich
52987,R. Rogers
55377,R. Rongo
55829,Ramaswamy Ramaswamy
64078,Ravinder Krishen Raina
65527,ROLF RUTISHAUSER
67809,R. Rajagopalan
70998,Rez Munue Ra
72478,Richard Roll
74082,R. A. Roberton
74427,Robert V. Rubin
74638,Rg Robertson
76262,Richard A. Richards
77109,Richard M. Robinson
77896,R. Rogez
85147,R. C. Roistacher
87200,R. Wesley Rose
89859,Rudiger Ruediger Georg Rentsch
91727,R. Sacks Davis RMIT
101476,Roberto A. Rocha
102672,Raymond J. Rajotte
110805,Roger C. Raphael
110826,Robert A. Rimmer
111698,Rick Rashid
112249,Robert W. Reeder
113011,Richard Rinewalt
113736,Rajkumar Roy
114448,R. Racz
119805,R. L. Ratliff
123869,Rahul Roy
126675,R. P. Redwine
130752,Ron J. Roedel
131157,Robert A. Rivers
132917,Rex R. Robison
134106,Rosemary Russell
139180,R. Ravishankar
141278,Raimond B. G. Ravelli
144028,R. Rodenberg
146224,R. C. Rudduck
147305,R. Rodila
147348,Richard Rogerson
152247,R. Reeve
152511,Rami Rautkorpi
152627,R. V. Ramasesh
154641,Roger William Romani
154867,Ralf Rittner
155237,R. Rentsch
155800,R. G. Rossing
156877,Rudy J. Richardson
158331,R. Renoharboesorensen
157538,Robert Goldstone Rgoldsto
160808,R. C. Redfield
162607,Rao Naveed Bin Rais
163044,R. J. Roark
163717,R. Rosenberg
171560,Rs Reneman
173942,R. J. Richeda
180155,Ryan T. Ratliff
182069,R. S. Reeve
185947,Robert M. Raphael
188088,Roman Rosipal
189369,Rodolfo F. Resende
191429,Robert L. Rodnitzky
192274,R. A. Raff
193234,Robin D. Rogers
197268,Ricardo Taborda rios
197360,Robert D. Ryne
198273,Rogerio Rosenfeld
199152,Ruud C. H. De Rooij
205943,Rocio Ribero
207648,R. Richards
209020,R. M. Rose
211837,Roy R. Rezac
212440,Robert A. Reckhow
215814,R Rafal
216103,Ravi Rangara
222683,R. Reininger
223245,Ralf Lmmel Universitt Rostock
224716,R. a. Re
