3784,Uh Chan Ryu
23066,U. Reininghaus
89191,Ulka Ranadive
115488,Using Markov Random
135887,Ursula Robers
200827,Using Compile time Reflection
225087,U. R?osler
234871,Ulrich Roth
241988,Uwe Rauschenbach
247592,Using Pattern Recognition
266348,Uday S. Rao
266766,Uwe Roth
280022,Ulrich Reitebuch
296845,Using The Auto regressive
299339,Ulrich Reimer
376974,U. Rosler
423023,Ulrich Johannes Ruede
433775,Ulrich Ruhrmair
484239,UINTELA DEL RIO
494799,Ueli Rutishauser
510923,Uwe Radelof
512439,Ute Richter
590610,Urmie Ray
644364,Uwe Radetzki
645711,Using Point based Rendering
685430,Unix System V Release
722339,U. Rencuzogullari
800383,Université de Rennes
807785,Usha Rao
817420,Umberto Ravaioli
840951,Uh Gang ryung
845135,Under Review
876102,Uwe Rau
902967,Ulla Ruotsalainen
910484,U Rude
921943,U. D. Reips
957797,Using Lattice basis Reduction
971655,Ulrich Rembold
989151,Uwe Reichel
1050748,U. Neuschaefer rube
1103982,U. R. Rengel
1109695,Ulrich Reimann
1154494,U. Ringel
1183604,ULRIKE REICHENBACH
1248157,Uday Rajan
1260183,U. Roll
1276755,Using Parallel Replications
1290185,Uwe Roehm
1297316,University Of Rostock
1299445,U. Regenberger
1302578,Using Generalized Reliability
1314199,University Of Reggio
1320718,U. Rueckert
1341690,U. Ringertz
1449230,U. Srinivasa Rangan
1484330,Umberto Ravaioli
1493433,Ulrich Raape
1538433,Ulrich Raape
1541337,U. Roy
1640952,Urs Ribary
1644390,Udi Rotics
1654890,U R Sci C Us U I Rsi
1661602,U. Ramer
1717041,U. Rozmus
1762400,U. Ramakrishna
1811714,Ulrich Ruckert
1815473,Under Multiple Replications
1930292,Uwe E. Reinhardt
1941669,Uwe Rohm
1950356,Ulrich Ruhrmair
2035221,U. k. Rudge
2046967,Umberto Ravaioli
2057159,U. Ruckert
2062829,U. Reuther
2067116,Ulrich Raber
2076473,U. L. Rohde
2084589,Ulf Dietrich Reips
2089851,Ulrich Ruede
2099913,Umberto Ravaioli
2117318,Uwe R?hm
2120908,U. Ranft
2131298,U. Robert
2147951,Uday S. Reddy
2151566,Umberto G. Rossi
2193920,Uwe Rosler
2217563,Using Two stage Recognizer
2259275,Undiscounted Average Reward
