24154,Y. Rutitskii
89325,Yeonseung Ryu
106753,Yves Raynaud
111906,Yoel Rephaeli
124097,Y. Raghu Reddy
241929,Yvan P. Rochon
255397,Y. Ruan
279404,Ypma Reliabilit
334433,Yu. Rogov
374591,Yann Remond
426572,Yidan Rogers
429929,Yves Roos
460452,Y. g. Rapoport
482296,Yassine Aziz Rekik
505805,Y. V. Ramana Reddy
512640,Yoram Reichy
560574,Yves Rubin
581807,Yu. V. Ralchenko
598195,Y. S. Roh
627624,Yumie Rhee
635229,Yun Jiang Rao
646118,York. Abdul razaq
659794,Yacine Rezgui
669665,Yves F. Rubin
698289,Young U. Ryu
710417,Yung Rwh
715182,Yoomi Rho
717185,Yair Rosenthal
720249,YRJO H. ROOS
733643,Y. Romem
745051,Yuriy A. Reznik
766650,Yuri Rzhanov
777552,Yu. G. Reshetnyak
796777,Yoram N. Rubin
825855,Yi Rao
827329,Yang wai Chow Ronald
843024,Y. Roy
909290,Y. Radenac
913389,Yonina Rosen
916400,Y. Rodeh
939505,Yuri Rabinovich
951605,Young Suk Roh
983162,Yen kuang Chen Rainer
1002026,Y. Randle
1061532,Yves Rochat
1152784,Yrjo H. Roos
1181776,Y. Ryabov
1210691,Y. Rabin
1299961,Y. Ra
1374554,Yx Ren
1384879,Yisrael Radai
1415429,Yu. P. Raizer
1528632,Yenteshwar Ram
1547740,Year Project Report
1560555,Yuriy A. Reznik
1583958,Yves Robert
1607973,Y. v. c. Rao
1642304,Y. V. Ramana Rao
1676320,Y. Ruichek
1687459,Y. Fagot Revurat
1689907,Yves Roos
1697967,Yves Roudier
1700189,Yakov Rekhter
1702317,Yasser Ragab
1728273,Y. Raz
1891502,Yiming Rong
1913178,Yacine Rezgui
1928786,Y. P. Razmyslov
1933666,Yong Kyu Roh
2034383,Yuriy Reznik
2045559,Yi Rao
2058516,Yu. G. Rapoport
2071473,Yannick Remion
2110588,Yong Ren
2121521,Yodthong Rodkaew
2137759,Yitshak M. Ram
2150281,Yves Rozenholc
2169056,Y. n. Rosenvasser
2174281,Yves Rollot
2217221,Y. Campos Roca
2236086,Y. S. Rickard
2291237,Ylinen Sik Bragin Reference
