175,Anneke A. Sohoone
745,Alexander V. Soldatov
795,Anthony J. Saliba
1030,Anirvan Sengupta
1326,A. H. Schainblatt
3607,Antonia Sinachopoulos
4004,A. Spiegl
4181,A. A. Spiridonov
4500,Anne Morgan Spalter
5610,ALEXANDER STANOYEVITCH
5833,Ann K. Sakai
7367,An Evolution Strategy
7947,Ariel Sepulveda
8147,Assaf Shacham
8564,A Proposed Draft Standard
9280,Abraham Schultz
9307,Accommodate Dynamism Sarita
9862,A. Satpathy
10635,Argument Structure
10777,Amit Singer
14731,Alicia M. Soderberg
15294,Amitabha Sanyal
15542,Aaron F. Schiff
16067,Anja Simma
16375,Arvind Sinha
16391,A. Schone
18475,Alexander Sennst
19355,Andrew J. Schmit
19680,Andrei Semenov
20843,A. Sohmer
21352,Alexandr Savinov
22756,A. Striegler
23294,A. k. Salkinzis
24790,Ahmad Shakerardekani
25280,Ashwin Sridharan
26572,Andrew W. Smyth
27599,A. St?hl
27822,Ali Shojai
28717,Alan P. Schaum
29022,Ayda Saidane
29180,A. Schutz
29569,Af Smeaton
29976,Alan V. Sahakian
32101,Andre Schulz
33477,Amarjit Singh
33486,Alexander Samarov
33867,Alan A. Stocker
35278,Alexander K. Schmig
35311,Amit P Sheth
36038,Adrian Spinei
36782,Andrew W. Smyth
37143,Asuman Sunbul
39984,Andrzej Szczepa'nski
41045,Approximate Counting Scheme
42865,Alexandre Satrapinski
44744,Alain Sigayret
44763,Arthur Y. Sakakura
44770,Anurag Sharma
47608,Achint Saxena
50504,Alexander Schlaefer
50830,Armin Seyfried
51101,Axel Schoft
53991,Andrew I. Su
54994,Aaron Schutz
57290,Anthony Karel Seda
59515,Alexander Strohmaier
60786,A. P. Savikin
63043,Allen W. Song
63539,Arantza Diaz De Ilarraza Sanchez
64871,Alberto Sanfeliu
69381,A. L. Sales
70797,Academia Verlag Sankt
71479,A. Sklensky
71989,Andrew Simon
72147,Academia Sinica
72805,A. Scholz Und B. Schoeneberg
73419,Anil K. Seth
73570,Arun K. Sood
74191,A. Sevdinoglou
75848,Abigail A. Salyers
76945,Andre Luis M. Santos
77838,Andrew C. Singer
78371,Anthony Steed
79509,Arthur L. Smirl
79659,Andrea Serino
80884,Arrvindh Shriraman
81016,Arno Siebes
82283,Adam Sweet
83356,A. Schmaier
83906,Amsterdam Stanford
84075,Alvin Seiff
89124,A. Sweedler
89266,Ahamed Saleem
90651,A. W. Appel. A Runtime System
92282,Avi Shama
97467,Ashwin Sampath
97516,Amit Shalit
97831,Andrew M. See
99604,Andrey S. Shaw
101110,A. N Sarkovskii
101514,A. Schwartz
101831,A. M. SIDDIQUI
101957,Anthony Spencer
102218,Andreea Sterian
114594,Aleksey N. Slivin
114726,Anna maria Schoeller
115221,A. L. Swiffin
115515,Ali Devin Sezer
115813,A. Lawrence Spitz
116030,Adriana Maluf Elias Sallum
117022,A. Sommariva
117143,Azzam Sleit
118016,Anupam Singh
122315,Alexander Simampo
123520,Andre Simpson
124988,Akira Sasano
125074,Achim Schweikard
126959,A. L. Stumpf
129484,Andrea Selinger
130890,Amelia Soriano
132233,Amy Swartzl
134757,Ag Sanfey
135479,Adam Sulmicki
135504,Aaron A. Sorensen
137423,A Gentle Introduction To Sgml
138012,Antti Salovaara
138510,Andr¨?s Seb?
139297,Angela J. Da Silva
140066,Antonio Siconolfi
142596,Antti Saarela
143048,Axel Schneider
143372,Alexander W. Skaburskis
143771,Azad Siahmakoun
145054,A. Sosso
146667,A. S. Sato
147327,Andy C. Stirling
148434,Alireza Seyedi
148734,A. Siegman
