633,Computer Science
1905,Chris T. Sennett
2248,CARLO SCARATI
3656,Closed Form Solutions
4149,Charles Steinfield
7137,C. P. G. Schrauwen
8878,Chris Smaill
11123,Catherine C. SANTINI
13437,Chandrasekar Subramaniam
24584,Ce kuen Shieh
26371,Carlo SCAGLIOLA
27475,Containing Fire Suppressants
29235,Costas Saravanos
36578,Caroline A. Sullivan
37009,Christopher J. STAIGER
39961,Ching tzong Su
40319,Category No Structural
41604,Chris Stevenson
44121,Carlos Ortiz de Solorzano
44490,Claude Elwood Shannon
45256,C. Eugene Steuerle
45765,C. F. Schmidt
47052,Chi sheng Shih
47839,Caroline A. Sullivan
48245,Carsten Schroeder
50235,Ci wen SHA
52273,Christopher A. Sims
55711,C. A. S. Santos
57541,Chalermchon Satirapod
58346,C. F. Schmidt
59798,Chad Steele
61689,Cardoso de Souza
65264,C. Schroeder
68169,Carlos E. Saavedra
70907,Carole Salis
71035,Current Status
71496,Christoph Schneider
73686,Cornelius W. Sullivan
73887,Conditions The Southwest
76366,C. De Renna E Souza
77934,C. M. Solomonides
79424,C. Sporrer
84404,Csaba Szepesvari
85915,Constantine F. Soras
88041,C. Y. Shaw
90739,Carla Seatzu
90990,Ca Michel Bilello Stanford
95535,Choi Pheng Soo
97156,Charles R. Schnitzlein
98189,Chung Kun Song
98397,C. N. Srinivasiengar
99814,C. Stamatis
99943,Circulating In Storage
101104,Ch. J. Schmidt
101836,Chittoor B. Sai Sudhakar
102936,Chen Yi Su
103766,C. Straehey
104175,Christian Skalka
107153,Chia Wei Sun
109427,Christian Steinmann
113169,Cathy A. Stallings
113926,C. Stancampiano
113968,Cheong boon Soh
117704,Charles M. Shub
121573,Craig Swanson
122177,Charles Selvidge
122884,C. M. K. Starbuck
124234,Chris Stiles
127222,Chris Sinha
127939,Chicago Linguistic Society
130727,Christer Sandberg
132778,C. Stockinger
135262,Christian L. Schutz
135918,Caroline Simard
138278,C. Sttachey
140832,Charalampos (Babis) Samios
145387,Claude Shannon
145400,Christof Schulz
145833,Complex valued Sources Simone
146387,Clayton Shepard
149603,Catherine Mary Schooling
149697,Christian Seeling
151171,College Station
152329,Craig I. Schlenoff
152724,Chiaki Sakama
152912,Clay D. Spence
156121,C. W. Shih
157569,C. Sinthanayothin
157584,C. l. Stani
163377,Ching Y. Suen
165737,Christopher J. Seysener
170037,C. Sgnchez
172365,CHRISTINE E. SEIDLITZ
177996,Camille Salinesi
178627,Carsten Sachse
179139,Christopher M. Sassetti
179476,Chen Yu shu
179623,Christophe Schlick
180160,C. Stricker
180232,Claudio Tavares Sacchi
180285,C. Schlegal
180453,Cecil Huang Sectio
183057,Chang sup Sung
188986,Crypto graphic Security
189911,Chris Sheedy
191144,Constructive Action Semantics
195663,Christopher R. Scheidel
196210,Caesar Sengupta
197051,C. Shaffer
202244,C. r. Sullivan
202560,Carlo Sequin
204005,C. L. Sibbald
204713,Carsten Schneider
204731,C. A. Schippers
205278,Carsten Ludwig Schmidt
209825,Computer Systems Security
212948,C. Richard Shumway
215019,Christofer Silfvenius
217580,C. Water In Wood Skaar
217676,Carsten Schneider
218642,Chi Ren Shyu
218704,CAMILLA SORENSEN
220277,Combinational Logic Synthesis
220833,Chris Hill September
221960,C. Salomon
223018,Cambridge Systematics
225827,Christoph Georg Schwab
227888,C. h. Sow
233967,C. N. Stefanis
237551,Chunhua Sheng
239186,Caroline Series
242104,Costas Stamataris
242246,Cora Ann Schoenenberger
244633,C. T. Sennett
245719,Carsten Sorensen
246796,Changhong Shen
249272,C. Stamatopoulos
250690,Carlos E. Soliverez
251934,Christina M. Stam
251969,Crystian Sheila
252352,Carsten Schiers
254545,Chris Sennett
254738,Cristina Cerschi Seceleanu
255485,Carl W. Schmid
257745,Cees F. M. Sier
258618,Craig D. Smith
261021,Christophe Samson
261469,Colin M. Sayers
261997,Charles Stormon
265101,Chris J. Ho Stuart
265352,Christopher Strachey
266351,C. Seoighe
268515,C. R. Spooner
269207,Communication Skills
274590,Clayton Springer
274608,Computer Staff
275762,C Fl Ellen Spertus
277073,Charles S. Saxon
280041,Carlos H. Salinas
280446,C. Sanjeevakumar
283015,Chengzheng Sun
284589,C. Schow
287776,Csaba Szepesvari
289361,C. R. Subramanian
291076,Chris Speirs
294940,Cheryl Smart
296886,Chungsik Song
300190,Claude Sammut
300609,Christopher D. Salthouse
301846,Carol A. Shearer
302006,Chaudhuri Surajit
303212,Chris Strickland
303367,C. Shu
304163,C. Chau shen
304730,Christian Schluter
305465,Claudio R. M. Silva
305672,Carlito Lopes Nascimento Sobrinho
305888,Catherine A. Schevon
306313,Clarisse Sieckenius De Souza
309810,Cristian Schivo
310228,C. L. Stewart
311094,C. Stanton
311472,Charles Scott
315459,C. Y. Soh
318939,C. T. Swain
322057,C. L. Sassen
322058,Cheryl Denise Seals
324095,C. G. P. H. Schroen
325519,Classitier Systems
329348,Christopher Strachey
329928,C. Sorenson
330098,C. Matthew Sundling
330880,Chunhua Weng M. s
331803,Carlos Alberto Alonso Sanches
332397,Christina Sormani
341869,Christina De Simone
343147,Cassandra L. Smith
343967,Called Signed
344632,Correction In Spoken
345624,Claire H. Salmond
347459,Constantin R. Simovski
348769,Chittoor Bhaskar Sai Sudhakar
348929,C. Simonsen
350347,Carlo Steiner
350693,Charles Schnetzler
353165,Cynthia A. Sikora
355184,C. M. Rocco S
355238,Christine Smith
358349,C. Shumin
358686,Cassio Souza Dos Santos
359790,Cristina Siegerist
360199,Christian M¨¹ller schloer
361344,C. Christopher Smart
363729,Ch Schmoeger
364032,Cliff C. N. Sze
365051,Colin Shearer
365389,Claudia Linhares Sales
366635,Christopher Southan
368925,Claude Sammut
372070,Christoph Schwindt
372439,Christopher Smyth
376910,Carl Staelin
377430,Courtney Schumacher
377980,Chin B. Su
381543,C. W. Starkweather
381787,Claudia Steghuis
381793,Christopher Summerfield
387673,Carlo Savy
390700,Clemens Schnurr
392576,Clarence W. De Silva
394732,Comparison With Its Sibling
394833,Christian Sandvig
396848,C. Schn¨orr
397385,C. P. SIMMONS
397672,Christos Stathis
398970,Chun Yi Shi
402259,Carsten Steger
403672,Caterina De Simone
403821,Chittur P. Subbaraman
406645,C. Linhares Sales
406781,Christian andreas Schumann
408663,Conference On Simulation
414752,C. A. Shively
415357,Carsten Sorensenab
426019,Craig Standing
426760,Conferencing Service
428944,Content based Image Search
430563,Chang Hwan Son
430682,Changlin Sun
436266,Christian Siehs
437705,Chang Sub
437870,Chris Sander
438007,Candida Nunes Da Silva
438581,Claude Sardet
444118,C. R. Stratton
444817,Chr Schr?der
448008,C. J. Schrijver
449389,Christopher Schmandt
451344,Charles T. Scialfa
452223,C. m. See
453471,Chaman Lal Sabharwal
455540,Chandan K. Saikia
455974,Chantal E. Stern
457448,Claudia Salani
458499,Carys E. Siemieniuch
459331,Carsten Srensen
461296,Cass R. Sunstein
461342,Catarina Svensson
461372,Christine Solnon
462762,Christian Schmitt
464707,Charles B. Stabell
465216,Case Study
468198,C. S. Sloane
468886,C. E. Sampaio
472796,Changhe Tu Shandong
475879,Cleo Sgouropoulou
476000,Christopher M. Skinner
476697,Constance M. Schober
478440,Christian Honer zu Siederdissen
480564,Content Extraction Suhit
481524,Carl W. Steidley
488943,Calcolo Scientifico Swiss
489022,Chuen tsai Sun
490736,Csaba Simon
492408,Carolyn Snyder
492891,Carmine Sellitto
493384,Charles D. Schewe
496384,C Streffer
498748,Charles H. Sides
503653,C. Strouthopoulos
505247,Csaba Szepesv¨?ri
511205,Cj Snider
512506,Charlotte Steinmeier
513495,Ching Kuang Shene
513561,Christian Schubert
516504,CLEMENT W. SKORUPKA
517126,Chris Seher
520944,Conference On Systems
522584,Christian H. Stork
524042,Christrophe Salzmann
524821,Christian R. Schneider
525193,Curtis A. Suttle
525400,Christos Stergiou
528454,Cache Sizes
529443,C. W. Swonger
534815,Charles G. Speziale
538811,Chen Hung shing
541698,Craig D. Silverstein
542607,C. Sawio
542912,C. s. Smidts
543883,C. Sundermeier
544041,Chieko Shirai
544926,Centro Di Sonologia
545541,Chrysostomos D. Stylios
549026,Claudio O. Stockle
549858,Christian Stock
551485,Christopher S. Stevenson
553471,Christian Scheidler
556377,Christine M. Stockert
557300,Ching Y. Suend
558599,C. Simonneau
562121,Chang Hwan Son
563419,Chinese Wall Securitypolicy
564236,C. H. Sampson
564484,Colin Smith
565042,Chihming Shen
565661,C. Setterlind
566418,C. Siperko
568975,Christopher J. Staiger
571157,Clifford S. Stein
571274,Christoph Schmitz
574565,Cliff Shaw
575019,Chinawong Sringam
575622,Cristina Serban
576576,Carina Ong Scutchings
577963,Charles S. Swartz
580645,Cheng lung Sung
581356,C. Skrzypczak
582109,CHARLES F. STROMEYER
584659,C. Schmuland
585979,C. H. Sellers
590183,C. Semenza
591031,Clara Smith
592186,Claudio Da Silva
592303,Chuck Silvers
594009,Clara Segura
594372,Cornelia Schwarz
596002,Chad Syverson
596778,Craig W. Senders
598876,C. Siller
600099,Charles W. Steinfield
604572,Claude E. Shannon
605387,Craig P. Sayers
608726,C. Sidlo
610608,C. Sheu
610746,Chris Scott
610983,Clifford F. Sweet
612094,Confluence Of Supervised
613041,Chan Hung Su
614875,C. Shieh
621513,Christian Sternitzke
623608,Christopher W. Smelser
627457,Claus Grn Srensen
627519,Compliance Assistance Shawn
628519,C. S. Spetzler
629821,Carl H. Smith
633468,Carsten Sch¨urmann
636104,Ch. A. Swanson
641971,Charles W. Schmidt
642641,Convolutive Environment Shlomo
645907,Csaba Szepesvari
648080,Control Sector Samsung
650055,Cecilia Magnusson Sj?berg
650702,C. Salles
652493,C. Sanchez
654817,Christian Seidl
655031,Claus Skaanning
656933,C. Gardner. Swain
659659,Craig A. Smith
661933,C. Stasz
662606,Cycle Of Size
663765,C. F. K. Siu
664481,Catalina Sbert
665926,Chr. Schindelhauer
667948,Cristina Savin
668567,Chih Yuan Sung
669245,Champskud J. Skrepth
670818,C. Summers
673906,Charles E. Smith
676917,Christoph Schutz
681379,Chanan Singh
683465,C. Stoll
684111,Corne Schutte
684299,Chih pin Su
685115,Cormac J. Sreenan
686167,C. M. Shetty
686678,Christopher R. Sasso
688554,C. Murillo sanchez
690809,Cid Carvalho de Souza
692528,C. R. B. De Souza
694452,Ch Strauss
695114,Csaba Szepesvari
695649,Charles Semple
695654,C. Sages
698082,Colin Sumners
706504,C. b. Schrader
706789,C. Stifling
708196,Carl J. Schmidt
709773,C. Stockwell
711526,Computer Sciences
714087,C. a. Stafford
714526,Colin AM Semple
714711,Changyong Shin
715574,Cynthia E. Sellinger
716256,Case Study Stephen
717744,Carlito Lopes Nascimento Sobrinho
718711,Christine Tomlinson Sun
723334,Cullen Schaffer
