2177,Gudrun Strauss
5352,G Stefanidou
8015,G. G. Schaber
8367,Gianmario Sambuceti
8398,Gans Joshua S
8970,Gunnar Seemann
10103,Go Shibata
11396,Giovanna Di Marzo Serugendo
13380,Gerardo Reyes Salgado
17016,G. s. Sagoo
18751,Gregory C. Sharp
21172,Guentcho Skordev
22134,Gill Shepherd
22464,Gene Shuman
22563,GEORGE SWALLOW
30284,G. S. Sheaffer
32377,G. A. Sitton
34863,Galen SS
38121,G. Spafford
39627,George W. Sioles
42348,G. R. Swenson
43160,GENNADY SHTIRMER
43633,Gunter Schmer
46381,Greig Scott
47994,George D. Skidmore
49451,George Davey Smith
50387,Gerald Schubert
51301,Giuseppe Sanfilippo
57186,Golam Sorwar
58355,Gary T. Smith
62178,Ganesh Sankaranarayanan
65571,G. Sigillo
67439,Gunnar Sjodin
71348,Giovanni Samaey
71506,G. Secondo
72532,Gerald A. Spivak
80670,G. Stillman
82216,G. E. Sharpe
85839,Gar Nkel Simson
87073,Giorgos Stoilos
89263,Giovanni Sparano
90057,Guy Shechter
94767,G. Stoilos
97816,G. d. Shen
98873,G. Sansoni
100065,Gregory P. Starr
102373,G. Sudha Sadasivam
109497,Gerik Scheuermann
110970,G. Ch. Sirakoulis
112086,Gurudas Somadder
114100,Gisbert Stoyan
115466,G. Scarano
115495,Gail Weinstein shr
115795,G. j. Spuhler
116870,G. Shou
118959,George B. Segel
118444,Giuseppe Scarpa
123651,Gerard J. Sullivan
125283,Graeme Smith
131267,Goran Svensson
138412,G. Smolinsky
143513,G. Schlesinger
154958,Gieri Simonett
156317,GARY A. SMITH
159905,Gordon J. Stacey
161029,Guang Yu Shi
161434,Genevieve Sauv
161568,Graph Algorithms Sami
169030,Gabriele Schneidereit
170296,Gandhi Sivakumar
170693,Gustavo Antonio de Souza
172977,Gmd September
173684,Gaussier P. Zrehen S
174408,Glen Shires
176050,Gregory T. Sullivan
177013,Gerry Stahl
177879,Gunther Schmaus
179801,George B. Segel
181403,George Shen
182909,G. A. Shultz
185627,G. a. Sanders
185642,Gary R. Sager
186036,G. Stamon
188499,Gloria H. del Solar
188739,Grant Schindler
193243,Gban Skugge
193780,Gill Sugden
193863,Gordon A. Sick
194174,G. Sullivan
197951,G. Shirakawa
198351,Greg Stitt
198435,G. Schultes
201553,Gennady N. Smirnov
203029,Gonzalo Seco
204814,Gargi Sur
206821,Gadde Swarup
207150,G Szatkowski
210157,G. Sergey
212689,Gavriel Salvendy
214286,Guy P. Seeley
217587,Goran Senjanovic
