1290,Mukhtiar A. Shaikh
1465,Mehmet Turan Soylemez
1773,M. Spathopoulos
1919,Muhammad E. Shaaban
2536,M. e. Shaposhnikov
4113,Maosong Sun
4432,Marcos Antonio Vaz Salles
4601,Michael Samidi
4922,Martin Straka
6327,Mark R. Schoeberl
6487,Meiming Shen
6874,Mohammed Abdel Megeed Mohammed Salem
7272,Manfred Schliwa
8071,Mordechay Schneider
8246,Mohammad Reza Sirouspour
9313,Mitsuyoshi Shirasaka
9315,M. I. Guardiola Savall
10171,Michael N. Shadlen
11162,Migrate Web Services
12427,Manuela Sang
12676,Max Sutherland
13262,Mayank Saksena
13918,Margot Shields
13977,Marvin Oliver Schneider
14262,Melvyn Lionel Smith
17891,Molly M. Stevens
18818,Malcolm Sellars
19092,Mesons Christoph Straßburger
19127,Martin Stacey
19279,Marek Syrzycki
19327,M. w. Schulz
19559,M. A. Stefien
19696,Michael G. Safonov
19882,Marta Sabou
22300,M. Sone
27375,M. M. Stanisic
27390,Mitra Subhasish
28384,Marc W. Slutzky
30948,Matthew J. Saderholm
31646,Mark R. Shavers
32298,M. Aater Suleman
32673,M. Salehmohamed
34052,M. Suchea
34043,Max E. Sime
35649,Michael A. Sutton
36504,M. R. Sultan
36984,Michaell Saks
38303,Meurig Sage
40575,Matthew Schmid
42668,Michael W. Snyder
43522,Michael Eyal Sharon
44247,M. Asce Louisiana State
45671,Mike Stewart
46593,M. Wayne Shiveley
47948,M. Schaefer
51391,Mihaela van der Schaara
52511,Mahendra Sekaran
53272,Mehdi Sedighi
53390,Mark Stupeck
54022,Mario A. Santoro
54149,Monk T. H. Search
58951,Mohammad Mehdi Shahsavari
58976,Martin Strohbach
59019,Manami Sasaki
59821,Mark Stickel
60264,M. A. Shinaishin
60497,MARK STRITE
60819,M. Shinohara
63438,Mariana Casella Dos Santos
63824,Mesut Sackes
64320,Masami Shishibori
69037,Muffy E. A. Siegel
69106,M Sancho
69756,Matthew T. Stahl
69968,Mary Shepherd
72171,M. Shashi
72755,Michael D. Ernst Su
74960,M. s. Sawan
76835,Martin Scharlemann
78016,Maarten Sierhuis
80077,Mel Suffet
81309,Mark S. Springer
82819,Mubarak Shah
83236,Major Sponsors
84485,Manfred J. Sippl
85336,Mybrid Spalding
85863,M. Fran Smith
86950,Megan Nichole Stampfli
89637,Maysam Sodagari
90942,Matti Saarela
91229,M. S. Sklansky
92359,Michael G. Sowa
94282,Manjeet Singh
95383,Malgorzata Stawiska
95857,Michael Sintek
97359,Marcel Samek
97416,Matthew Smillie
98360,Morris A. Swertz
98886,Mohamed A. El Sharkawi
99714,M. s. Dan Stoianovici
101527,Michelle A. Sargent
102251,Mohammad Gorji Sefidmazgi
102863,Milo Schield
104006,Maria Alicia Vicencio Silva
106121,Maria A. Nieto santisteban
106242,Margaret S. Stockdale
106407,Marvin Shinbrot
106468,Michael Stoecker
108129,Murray D. Silverstone
108724,Mattie Sim
110457,Michelle Sakamoto
110871,Mesut Sackes
112301,Martin Streng
112569,Maria do Rosário Stotz
113973,Marc Sequeira
116129,Marina Tolou Shams
116746,M. E. Stickney
117169,Marc Schoenauer
117612,Michael S. Smotherman
118486,M. Spetch
118501,Mario Szeged
119237,Massimo Sgaravatto
119257,Maha Y. Sallam
119326,Martin Bowen Short
120306,Motoshi Saeki
120370,Masaru Suzuki
121593,Monica Stanciu
122113,Markets Computer Science
122526,M Skliar
122754,MALCOLM J. SMALE
124032,M. S. Sucy
124078,Matthias Sutter
124692,Meng Sun
124771,Muhammad Ali Shamim
126211,Michelle Sibilla
126859,Merrill I. Skolnik
126864,Matsui Siqueira
129566,Michael J. Spier
131402,M. C. Sullivan
133003,Martin Ostoja Starzewski
133280,Markus Scheidgen
134962,Matthias Staudacher
136580,M. Sumiya
137479,M. Seethalakshmi
140504,Michail I. Schlesinger
140553,M. Skoglund
144444,M. Sidman
144534,Michael Schmid
145375,Marcelo Spohn
147972,Marc Soret
147996,Marcelo Schiffer
148261,Mercedita Agcaoili Sombilla
148432,Malcolm J. A. Strens
148546,Milutin Stanacevic
150769,M. Sicot
151049,Marc Streit
151536,Melbourne Scop
151561,Markku juhani Olavi Saarinen
151787,M. Shah
153094,Mu chun Su
153921,Makoto Shimojo
155353,M. Splain
156712,Mikkel Heide Schierup
157046,M. Stannett
159191,M. Ajtai. S
159315,Marc M. Sebrechts
159763,Michael Spica
160606,Michael C. Silva
161133,Mitsuhiko Shionoya
163660,M. Richard Sayen
165605,Maria Smolarova
165661,Mariana Sharp
165966,Matei Socoteanu
166114,M. D. Scheemaecker
166868,Michael A. Saunders
167127,Michael T. Swanston
167622,Micheł Scholl
168355,Mobile Video Server
168848,Marcel K. Sucheston
169337,Martin G. Schultz
170189,Matthew Sodano
170241,Mohamed Nabil Sabry
170753,Masato Suzuki
171969,Michael Siff
172309,Marc Spielmann
177090,Mark Staples
177567,Mahdi Soltanolkotabi
178048,Michael D. Symans
181729,Mike P. Staines
181884,Marina Tolou Shams
182752,Mohamed El sharkawy
182898,M. Seiden
184860,Masami Suzuki
185462,Maureen J. Simmonds
186772,Mari Sako
187317,Michel Soto
188331,Mark R. Schure
188837,M. Santini
190312,Michael D. Smith
191953,Michael W. Schmitt
192653,M. Shamsuzzoha
193972,Michael K. Skrehot
194235,Mace M. Schuurmans
194573,Matilde Pilar S
197097,Masami Sekita
197176,Markus SCHUNCK
197442,Michalis Sfakakis
198135,Marshall D. Stern
198337,M. I. Tercedor Sanchez
200739,M. I. K. Santala
201138,Marco Spini
201985,Matej Sprogar
202240,M. S. Suresh
202266,M. Goncalves Soares
202540,Marie Sjolinder
202836,Marc C. Steinbach
204400,M. Seidenberg
205205,Martin Shubik
205571,Marios Savvides
205646,Mehran Sahami
209308,Mario Sanchez
209748,Marina V. Sokolova
211164,Martin E. Schimpf
211189,M. Szalewski
212405,Manfred Stadler
212614,Majid Sarrafzadehzz
215923,M. Suvakov
216241,Markus Strassler
216362,Malte Schwoon
217931,Mildly Context Sensitive
219289,M. t. m. Silva
221356,Multiprocessor Scheduling
221534,Md Sherar
222981,Michael Sakellariou
223109,Malte Schwoon
223500,Mario Schmidt
223521,Mark Skipper
225314,Mark Stephen
227681,M. Schkoinick
227998,Masataka Sassa
229234,Michael Schlenker
231199,Melvin R. Spencer
232158,Michael Seger
232755,Mathias Siems
232762,Manabu Sassano
233519,Marion Schreinemachers
233738,M. Shirakata
233983,Mark K. Smotherman
235900,Markus W. Schaffter
238528,M. E. SORRELLS
239235,M. F. Stringfellow
239573,Mark J. Schnitzer
239608,M. P. Srinivasan
239638,Matti Sillanpaa
242842,Mark A. Smith
242903,Meiyappan Solaiyappan
242921,Manish Kumar Shukla
243578,Monica Sebillo
243613,Mary Sheeran
244356,Massimo Strambini
244875,Martin Andreas Styner
245535,M. j. Schmitt
248334,M. Soha
248370,Martin Schader
248391,Malgorzata Sterna
248942,Michael S. Schlansker
250280,Mark S. Springer
250615,M. Suchea
251437,M Salz
251535,Mamoru Shoji
251606,Maarten Steen
253624,Mark Staley
256267,Michael A. Swartwout
256484,MITSUHIKO SANO
258383,M. A. Shibib
261514,Miaosen Shen
262495,Marc B. Schenker
266031,Michael Anthony Steel
267956,M. Solak
269251,Minoru Shikada
271584,MARIANE M. A. STEFANI
275844,Morten Sorensen
276603,Miguel Santana
277067,Maciej Suchomski
278810,Michael Schumacher
279033,Michael J. E. Sternberg
279066,Mauricio Sansano
279944,Marc Stamminger
279950,M. Sosa
281622,M. Stix
282079,Mohamed Sahmoudi
283825,Mathew F. Smidt
284620,Ming Chou Shih
284777,Md. Sumon Shahriar
288795,M. Stehlih
290939,Mike Smith
291388,Mike W. Shields
291880,M. Sandler
293501,Michael A. Schuette
294610,M. Zubair Shafiq
294738,Mikhail Shnaider
295560,M. Skolnick
296649,M. G. Salameh
297084,M. G. Santoro
298417,Magdalena Slawinska
299882,Mikko Salo
300109,Mamoru Saito
300671,Matthew Stone
301216,Maria M. Santore
301273,M. d. Shinn
302872,Morris A Swertz
303132,Mahiko Suzuki
303732,Martin Speicher
303915,M. Straka
305421,Mark P. Stoykovich
305669,Miguel Lino Silva
306184,M. Staubach
306255,Michael Seltser
306381,Michael Stillger
306386,M. L. Shapiro
306813,MARK A. SEGRAVES
307685,Mark A. Musen Sectio
310406,Marcus Schmitz
310528,Martin P. Smith
311148,Mahdad Sadeghi
311927,M. Shafik
313161,M. I. Santori
313308,Mar ıa Julia Silla
313774,Michael David Stiber
314397,Mit Computer Science
314409,Mohammad Shojafar
314543,Martin Stumpf
315015,Mark S. Stensvold
315398,Michel Sortais
315488,Mark D. Skowronski
315495,M. m. Silva
315761,Michael Silverstein
316210,M. Selvin
316424,Marco Schaerf
319979,Mert R. Sabuncu
320244,Murray N. Schnare
321437,Matches For Schema
324228,Michael S. Shur
324440,MALCOLM STREETON
325385,Mark S. Seasholes
326347,Masashi Shimizu
328523,Motaz El Saban
331093,M. m. Salomea
331298,Michael Anthony Stanton
332645,Mario T. Schlosser
332902,Marc Schirski
333477,Miroslaw J. Skibniewski
335002,Matthias F. M. Stallmann
336445,Mark A. Shayman
336682,M Att Stoelting
339067,M. C. Espirito Santo
339169,Mandyam D. Srinath
341029,Malcolm A. Sabin
342342,M. M. Stuppi
342769,M. Schaller
342936,Michael Smyth
343158,Mandapati Saraswathi
343969,M. S. N. Sdid
344458,Merav Socolovsky
344566,Matej Stehlik
345518,Mohamed Ibrahim Saleh
346957,Michael Steurer
347328,Mark A. Sturtevant
347839,Mattheus J. N. van Stralen
348317,Mark A. Shannon
348844,Miyoung Shin
351653,Mark J. Schnitzeryz
352915,Mike Stannett
