1247,Norm C. Strole
3575,N. Stiawalt
4919,Nato Asi Series
11544,Nicholas Paul Sheppard
13837,Nambi Seshadri
24493,Nikita Schmidt
27003,Neelima Sehgal
27962,Nino Stocchetti
29052,Nikolay V. Shabanov
29539,N. Simonovski
31203,Nathan Sheldon
33409,Naresh R. Shanbhag
37996,NELSON J. SCHUCH
38458,N. Soda
55513,Nigel R. Seel
58026,Nicolae Santean
58173,Noboru Sugimoto
68795,Nir A. Sochen
70387,N. Strecker
70418,Normann Strack
75353,Nobuyuki Sugii
79857,Nanako Shigesada
81504,Nishant Sinha
86778,Neil R. Smalheiser
90657,Nadine B. Sarter
90713,N. Sales
90794,Nina R. Salama
95288,N. Sugiyama
100141,Nelson S. Saks
102882,N. Seiberg
110157,Naveen Sivadasan
127605,N. Schaller
151802,Nuclear Power Safety
164366,N. Seraku
167885,Nasser Saleh
173567,Nobuyuki Shiraga
181494,Nelido Gonzalez Segredo
182308,Nour El Houda Saadani
182723,Nunzio Salerno
191652,Nobuo Sawada
193565,Naruhiko Sahara
194413,Nermin Sarajlic
203322,Ng Serena
203826,N. Sivashankar
205845,Nigel Snoad
206364,Neil Douglas Strachan
218562,Nagendra Singh
221005,N. Eugene Savin
226467,Nick Schurch
228406,Nicolas Spyratos
229417,Niyazi Serdar Sariciftci
230262,Nan C. Shu
232479,Nicholas D. Sidiropoulos
233772,N. V. SIDGWICK
235533,Neil Bergmann Space
236668,Nick Swarup
242014,N. Iwan Santoso
246450,Natasha Sharygina
252725,Nora Szasz
253760,Nahum Sonenberg
257995,Narendran Sachindran
260904,N. Sultana
261259,Naser Safaie
263411,N. Sarukura
264250,Nicholas C. Strugnell
267349,Neil Storey
269204,N. C. Shee
269688,Nadine Caissie M. Sc
271199,Nikola G. Shakev
273320,Niall Sclater
279201,N. S. Soeiro
282884,N. M. Stivala
285135,N. Spies
289640,Nancy C. Shaw
291652,Naveen Naz Syed
291836,N. Sneeuw
295672,Nikolai A. Svakhine
296294,Networks On Silicon
298219,N. Clayton Silver
303300,Nihar Sheth
305115,Nathanael Scharli
306091,Nicolas Schweighofer
308495,Ness Shroff
313694,N. Luke Seed
314244,N. Shirai
319284,N. Saiwaki
325050,Noah A. Smith
340677,Nameeta Shah
340096,Nandini Shrinidhi
344575,Nathan R. Soderborg
348068,N. Sammut
349406,Nanako Shigesadaa
355138,Norbert Stolte
355889,Nelson Sadowski
363644,N. C. Simpson
370071,Naveen Srinivasan
372072,N. W. Scheffner
373131,N. X. Shen
378938,Nimish R. Shah
379608,Nicola Fuchs Schundeln
381691,Nils Peter Skoruppa
381727,N. V. Smith
383720,Netcraft Web Server Survey
383867,N. Spector
389608,N. SRIMANI
393689,National Accounts Statistics
397716,Nick Soveiko
398055,Nikolaos Skarmeas
400686,Norman Sheppard
406313,N. Su
419664,Nosir Shukurov
420753,Narumi Sakashita
422038,Nikolaos D. Sidiropoulos
423854,Neil G. Shephard
428602,Norman Makoto Su
435589,N. Singpurwalla
439009,N. A. Stravropoulos
439805,Nicoletta Sacchi
451405,N. R Smalheiser
460553,Nestor Sanchez
466219,N. O. Schiller
473489,Nick Shopland
473841,Nicolas Stier
475443,N. L. Spruill
480709,N. N. Smirnoff
482906,N. Sarap
483065,N. Sinnadurai
483526,Nora Sleumer
486898,N. Sadat Shami
487267,Nipun J Soni
487501,Nineteenth Annual Symposium
489007,Narendar Shankar
492220,NORMAN S. SEGALOWITZ
494039,Neil Shephard
498036,Noam Sobel
501774,Nikko Strom
503217,Nicola Stanhope
508453,Nadja Steiner
508589,N. Sathiananthan
509482,Naveed A. Sherwani
511449,Neha Singh
512336,Norbert Schorghofer
512693,Nikolas V. Stylianides
517864,Nigel Stevenson
