3526,Robert C. Stalnaker
3726,Ryan P. Scott
4246,R. S. Shenoy
5331,R. Steimetz
6913,R. Shiavi
7109,Roulette Wm. Smith
8691,Reijo Shosta Sulonen
8973,R. C. Salvarezza
10313,R. M. Seibert
11245,Richard P. Stanley
12350,Robert Earl Stake
14453,Rob Seymour
15266,R. L. Shoemaker
17359,R. John Simes
19427,Reiner Schätzle
20163,Rajesh Subbiah
23663,Ruggero Scorcioni
25957,Robert Szalapski
26840,Rex Sallade
27527,Ryan Shaw
27617,Robert Szewczyk
29147,Ramjee P. Swaminathan
32695,R. Schneyer
34896,R. Seibel
35610,Robert C. Stalnaker
36292,Rudolf Schreiner
36444,R. E. Kurt Stirewalt
38342,R. S. Shinde
42066,Radu State
42429,Raul K. Suarez
44936,Robert M. Szabo
46257,R. Szupiluk
46364,Roger Smeaton
49927,Reinhard Keil slawik
50310,Roger C. Schank
50632,Robert W. Sebesta
51505,Ricardo Sousa Silvestre
56254,Richard Startz
58170,R. Spencer
58779,Ronald A. Siegel
58927,Rick Stevensabc
59642,Rudolph E. Seviora
62749,Ralf Stiebe
65270,R. F. Schiferl
65682,Renata Smolkov
66183,Richard W. Steketee
66922,Robert Suen
69603,Reiko Sadamoto
71108,Russell J. Sims
72938,Richard F. Sincovec
76073,R. Strong
77579,Roberto Lo Savio
77836,Roger C. Schank
80295,Rudiger Stephan
81576,Ross E. Staffeldt
84999,Richard G. Sloan
85571,Ronald Smith
85713,R. K. Shyamasundar
86697,Romeo Sanchez
88282,Riaz Siushansian
90501,Ralph R. Swick
92925,R. A. Snowden
94288,Rivi Sherman
94949,R. Snelsire
97021,R. Sadr
97531,Richard L. Schmalensee
98945,Roland Schwanzl
100401,Rene Paul Salathe
102518,Robert Sims
103303,Radan Sedlacek
103360,Randall L. Schultz
104523,Ramesh R. Sarukkai
105367,Rainer Schubert
106933,Russell D. Shilling
108159,R. Sugino
108883,RANDALL M. SUMMERS
110642,Randy Stiles
110950,Rishabh Singh
111138,R. A. W. Smith
111209,Robert A. Skipper
114812,Ross T. Smith
116433,Ralf Sasse
117324,Richard J. Saykally
117401,Reinhard Schinke
121872,Robert G. Swartz
125273,Rupam Sinha
126227,Recent Newsweek Cover Story
127856,Robert W. Stephenson
129159,Richard Smith
131889,R. Schlaifer
132889,R. w. Sprague
136796,Riste Skrekovski
139222,Reza Olfati Saber
139507,R. Scaglion
141164,Robert L. Starbird
144302,Robert L. Strausberg
144807,Rolf Snedsböl
147721,R. Sridharan
150799,R. Sobicsiak
151797,Ronald A. Siegela
153661,Reza Olfati Saber
153726,R. K. Swihart
155536,Rory Stuart
155693,Robert J. Semper
156074,Robert D. Sebesta
158393,Robert J. Simcoe
