5936,U. Saranli
24193,Uzi Shvadron
27535,Ulrich S. Schubertb
33363,Uli Schafer
52916,Udo Schumacher
53003,Uwe Schwabe
56228,Ulrich Schwanecke
65000,U. Peter Svensson
73444,U. Surana
81618,Unstable Periodic Systems
97360,U. Sennhauser
98278,Using Java Shervin
99760,Ursula M. Schwuttke
113829,Using Application Signatures
123469,Ulrich Sch¨afer
129512,Uday P. Sukhatme
137827,Umberto Soverini
159822,Uma Reddy Sappidi
178451,Ugur O Sezerman
215408,Uta Storl
229977,U. Schulz
233454,Uncertainty Using Log spectral
242699,Ulrich S. Schubert
243702,U. Still
246022,Uri Shani
251634,U. Schiefele
277763,Uli Steinmetz
277805,Ulrich Schmidt
290613,U. Schurmans
305563,Uwe Stilla
314241,Upendra Shardanand
325709,U. Staufer
334578,Ulf peter Schroeder
340027,Ulrich Schimschal
370930,Uri Segal
372624,U. Sjobring
399531,U STEIGENBERGER
403003,Ulrich Schumann
403008,Undergraduate Science
417368,Univ. Paris Sud
425037,U. s. Dod Scientists
425658,U. Schlichtmann
436417,Uma N Srivatsa
436524,Uk. Summary
436758,Ulrike Spierling
443068,U. m. Al saggaf
444773,Utilizing Centralized Storage
445252,Ulrich S. Schubert
445886,Using A Fuzzy Superviso
450603,Uday R. Savagaonkar
482204,Uri Shimony
486355,Uri Shaft
488864,Upendra Shevade
496588,Uwe Schnell
498074,Ulrike Haas Spohn
520697,Using Em Radar Signals
523854,U. Strom
533161,U. Spohr
536426,Undeniable Signatures
545812,Ulf Speer
551834,Upul J. Sonnadara
564214,U. Schlafer
576305,Ulisse Stefanelli
579155,Ute Schmid
588054,U. Seeger
625074,Using The Dempster shafer
629673,Ulrike Stege
642824,U. M. Staudinger
667553,Uma Narasimhan Srivatsa
669542,Unification Of Some
676315,U. R. Siddiqi
686410,Uml Profile For Schedulability
685761,Urban Seger
695025,Uwe A. Schneider
715447,Uli Sauerland
716021,Ulrich S. Schubertt
722034,Umberto Straccia
738316,Uwe Stilla
762187,Uri Shumlak
762537,Ulysses Sakellaridis
765067,Ulrich Stadtmller
766436,Uwe Schindler
768936,Ulrich Schotterer
772402,U. Stottelder
783550,Unsupervised Segmentation
784374,Using Large Scale
798872,Uwe A. Schneider
837187,Urban Studies
840051,Ulrich Friedrich Schafer
848139,Urs Schoop
850215,Ugur Sezerman
869805,U. Sauer
884180,Ulrich S. Schubert
899540,Uriel N. Safriel
900691,Umair Siddique
902775,Using Lexical Stress
924745,Ullrich Scheunert
925216,Udo Steinberg
949199,Uwe Schoning
957327,Ulrike Scheerer
963354,U. Schoening
964864,U. Stehr
967006,U. C. Singh
968450,Ulrich S. Schubert
974265,Ugur Sezermanz
984718,Ulrike Schwall
998476,Utpal Sharma
999313,Ujwal P. Shinde
1018529,Ute Schiffel
1018646,U. Sridhar
1039359,Uwe Stillab
1054967,U. W. Stockburger
1054986,Uwe Schimpf
1056645,Umberto Straccia
1065151,Universit'e De Paris sud
1068619,Ulrich E. Schaible
1081991,Udo van Slooten
1089006,Ulises Cort'es Secci'o
1106023,Using The Sum
1112100,U. Siegner
1127481,Ueli Schibler
1179265,Upender R. Sandadi
1184588,Universita Di Roma La Sapienza
1194235,U. Stuhler
1202771,Uwe Schwiegelshohn
1214606,Uninterpreted Functions Sumit
1216399,Using Clustering Shin
1223582,U. Schoen
1250279,Ulf Soderman
1253147,U. Strönisch
1288573,Uma T. Shankavaram
1292437,Using Version Space
1309824,Uri Suissa
1329477,Universit'e Paul Sabatier
1340029,Usc Information Sciences
1347125,Ulf Schwane
1367412,UDIGER STAUBERT
1374346,Uli Sauerland
1425694,U. Sekaran
1429352,Umar Saif
1430010,Us Geological Survey
1436773,U. Stenram
1453614,Ulrich S. Schubertbc
1467861,Ulrich Schmid
1469169,U. Stilla
1473779,Ute E. Simon
1494985,U. S?dermann
1501176,Ulrike Schultze
1513326,U. Smith
1534290,Umberto Spagnolini
1544335,Ulrich Schmucker
