5659,Yoichi Sato
7547,Yoshiaki Shindo
11661,Y Sagav
19254,Y. Saygin
21881,Yogendra Singh
30250,YOSHIMASA SHIROSAKI
41618,Y. M. Shtar`kov
58897,Yasuo Sugiyama
59932,Y. v. Shkvarko
62924,Yeong Rak Seong
66021,Yuriy S. Shmaliy
71678,Y. Saeki
73408,Yoash Shapira
78611,Yusak O. Susilo
79453,Yeong Gil Shin
80021,Yingying She
80459,Yair Y. Shaki
87590,Yrjö Solantausta
97813,Yang Shao
100465,Y. v. Shestopalov
101601,Yong Ling Song
106519,Young Joo Song
112867,Yap Kioe Sheng
119736,Yasushi Shinjo
129406,Yuanchun Shi
136354,Yoshiki Saito
140442,Yoshifumi Shiraki
142080,Yigong Shi
147190,Yudhapoom Srisukh
148743,Y. Su
150455,Yen Sheng Su
153116,Yvonne Schols
153525,Yong Ho Shin
154994,Yiannis Stavroulas
157785,Yong Liu Harel Shouval
159861,York Yih Sun
162333,Young Hun Song
169820,Yassen S. Stanev
175940,Yu. Shkvarko
177026,Y. Shimojo
180738,Y. Sakabe
181305,Yim Tong Szeto
185390,Yoshito Seiwa
185616,Yogesh L. Simmhan
186244,Youcef Saad
187313,Yuji Shinano
193029,Yong Shi
200693,Yahya Rahmat Samii
201281,Yasumasa Suzak
201721,Yuji Satoh
203578,Yung C. Shin
205543,Y. Shimeki
206210,Yousef Saad
209708,Yakov M. Shafransky
209983,Ying Hua Sun
209993,Ya. G. Sinai
213332,Yeali Sun
218665,Y. Shimose
218801,Yutaka Shikano
226797,Y. Sane
227384,Yu. A. Shishov
234569,Yorihiro Sakashita
237074,YOSHIYUKI SHINOYA
242314,Yuichi Sugiki
256479,Yuehjen E. Shao
261903,Y. p. Sever
262230,Yi Jun Sun
263684,Yash Shrivastava
270742,Yaoming Shi
272887,Yasuyuki Sasaki
277448,Yim Tong Szeto
277675,Yosi Shani
283454,Yan Ping Sheng
294994,Young joo Suh
302319,Yasuhiro Sugiyama
304338,Yigong Shi
307588,Yong Meng Sua
309170,Yigong Shi
309464,Yuri Suhov
313190,Yong Hua Song
315809,Yuh Pyng Shieh
325376,Yi Hua Sheng
336802,Y. Saito
348619,You Jin Song
351158,Yehoshua Sagiv
352321,Y. E. Sel?uk
352613,Yi Ming Sun
374235,Yair Sigad
374307,Ynte H Schukken
375761,Ying Shan
377105,Yoshihiro Saito
381683,Y. S. Sekhar
383896,Yusak O. Susilo
388366,Yukio Sato
388653,Yegor D. Smurnyy
389194,Youngsang Shin
391129,Yahya Rahmat Samii
395421,Yuri N. Sotskov
415774,Young min Shin
418435,Yongjoon Lee Sun
444341,Yalin Xiong Steven A. Shafer
462929,Yatin P. Saraiya
463942,Yoshinari Shirai
466074,Yutaka Satou
469025,Yoshinori SHIOZAWA
472525,Yoji Shimizu
473991,Yoshiro Sadamoto
479934,Y. Shigetoku
483893,Y. s. Seol
486443,Yimei Sun
488253,Y. E. Sunwoo
496519,Yoshiaki Shirai
497029,Youl moon Sung
510070,Y. Shimura
514683,Yan Kui Sun
519044,Yu. E. Sizov
521595,Yoshinari Suzuki
527614,Yann Secq
528209,Yuh Sun
538609,Y. Stephanedes
549565,Ying Ling Sun
549844,Yasuyuki Sumi
551503,Y. V. Shirokaya
557875,Y. N. Srikant
560767,Yun Shao
564814,YURIY S. SHINAKOV
585991,Yuji Y. Sugimoto
589694,Yair Shoham
593326,Yinshui Shi
599977,Yu. Severgin
600629,Yair Shimshoni
606710,YAEL SHARAN
610881,Y. H. Shin
620315,Yi Shang
621884,Yeong SM
623857,Yahya Rahmat Samiit
628204,Yoshifumi Shiraki
632676,Yuriy S. Shmaliy
642606,Yu Tao Shenzhen
644397,Yaakov Shevy
650164,Yi Su
651444,Y. Sawayama
654262,Y. Sugimori
656420,Yu Su
656551,Yaolin Shi
660267,Yonghang Shen
661054,Y. Shibahata
663123,Yoichi Sato
663372,Yeng Chui Soh
672725,Yang Shiren
673368,Y. L. Smuljan
679080,Yutaka Sugita
679388,Yu. G. Stoyan
683940,Yongwei Song
685153,Yongjiang Shi
689571,Yu Huai Shao
699432,Yuval Shahar
699757,Yasumasa Shigemoto
710893,Y. Sakamoto
711146,Yangren Sun
714599,Young Jae Song
716036,Yankui Sun
725796,Ye Shun Shen
729312,Youcef Saad
732705,Yin Tzer Shih
733930,Yongqiang Shi
734121,Yohei Shinozuka
734351,Yuh Ming Shyy
738987,Yi Guo Su
755893,Yu shan Shih
767562,Y. Sambonsugi
767594,Yoshiyasu Sugiyama
768812,Yaakov Bar Shalom
771510,Yoichi Sato
774116,Y. Secq
778020,Yoshihisa Shirakabe
779428,Yitzhak Simon
779733,Yuka Sasaki
780035,Yvon Siret
789925,Yihong Sui
790389,Yi Haur Shiau
795807,Yuh Sheng Su
796683,Yatindra Nath Singh
806338,Yasuaki Sugihara
812312,Yijuan Shi
817057,Yashioki Shirai
825189,Yaakov Bar Shalom
832419,Yvonne A. W. Slangen
832785,Y. Sudo
833420,Young soo Shin
843372,Y. Sanuki
846025,Yahya Rahmat Samii
859915,Yang Seck Seo
860942,Y. Sakagami
867596,Y. Salazar
871677,Yongjiang Shi
875672,Y. K. Shetty
882949,Yeong je Sun
884953,Y. Shirakawabe
885524,Y. j. Shin
886430,Yasuo Shibata
891241,Yonglak Sohn
892148,Yu. Senatskii
893427,Y. s. Shany
896004,Yung Sung Son
896541,Y. Suga
898988,Yoshinori Suzuki
899664,Yoshiki Shimomura
917407,Yuxiang Shao Sanadidi
919192,Yuri Shirman
923837,Yigong Shi
930297,Yun Shao
935194,Y. Shishikui
936032,Yoav Sasson
938663,Yim Tong Szeto
941099,Yoshito Sakurai
944430,Yosio Edemir Shimabukuro
945084,Y. Sohn
946703,Y. S?vik
948724,Yuji Sugiyama
952285,Yoichi Sutoh
955651,Yanko Sheiretov
956695,Yasser El sonbaty
956837,Yoichi Seki
964616,Y. Sadanaga
991676,Y. Shiraky
992571,Y. Seki
1003001,Yu. L. Sachkov
1005512,Yves henri Sanejou
1006049,Y. K. Shin
1008985,Yoshio Sone
1014339,Yoshihide Sunada
1017654,Young Jun Song
1026455,Yamato Shiraishi
1037741,Yasuo Shibata
1039340,Yakov G. Sinai
1043234,You Xian Sun
1043798,Y. Sumiya
1052351,Yosef A. Solewicz
