9549,Babs G. Taal
20558,Bhavani Thuraisingham
31398,Brian W. Thomson
39216,Bruce T. Tsurutanil
63526,Benjamin Taton
66563,Building Trees
76706,Brian R Tunstall
98366,B. S. Thorrold
128254,B. D. Thackray
133914,Beata Trawi'nski
161863,Bipolar Integrated Technology
168037,Beatrice Simondi Teisseire
175259,Barbara J. Trask
203052,Benedetto Terracini
205392,Bernard Testa
213271,Bernard Tourancheau
218880,B. L. A. Van Thielen
230313,Benno Torgler
231082,B. Craig Taverner
236696,B. B. Tharp
249645,Bj Turner
269239,B. Tavh
273576,Ben Zhong Tang
283066,Bruno Thedrez
312490,Brian L. Tierney
313703,Barry M. Trager
326754,Beeta Tarokh
332482,Brinch Tlansen
335531,Bernd Teufel
336905,Bernhardt L. Trout
342567,Brody Todd
344605,B. Thompson
361978,Blas Torrecillas
375567,Bill Tomlinson
379533,Brian A. Telfer
385074,Bl Turner
407237,Bullseye Testing Technology
420493,Berthold Thoma
424182,Binhua Tang
434280,Bernard Y. Tao
437673,Brian Trotter
440617,Bernd F. Tomandl
442406,Bruce C. Teeter
444120,Bimanual Haptic Telepresence
447817,Bosman Dirk Thierens
453821,B. L. Tait
465193,Boningari Thirupathi
467467,Bosco S. Tjan
473298,BRYAN THWAITES
477170,Benno Torgler
478317,B. Y. Tsaur
483311,Benjamin Temko
541449,Bryan B. Thompson
556079,B. The Testcross
557227,Bjorn Tiemann
557792,B. Tabor
567563,Bálint Toth
569725,Boonchai Techaumant
570055,B. Toubbe
592271,Belinda Thom
597433,B. Tan
598532,B. J. Tjaden
598991,Bernard Tenbroek
602651,Bernard V. Tew
622438,Benkui Tan
635667,Bob Todd
670885,B. A. Trent
672672,Book Value To
682884,B. T. Turko
689362,B. Trummer
695549,Bruce E. Trumbo
699201,Bianca Truthe
716301,Baldeo K. Taneja
727691,British Telecom
739875,Bing Yue Tsui
749747,B. STEIPE TEIPE
769947,Bharat Thakrar
771741,Barry M. Trost
791053,B. C. Tremintin
797121,Boris S. Tsybakov
801481,B. Torralba
807250,Bruce Tannenbaum
811336,Brian Tierney
821144,Brad Topol
833597,Barry T. Thomas
835253,Bertjan Teunissen
841977,Basic Simple Type Theory
850711,B. J. Turner
854661,B. Tian
855763,Benjamin Turnbull
872306,Benjamin D. Thorson
876965,Bliss Tvp
891568,Brian Totty
902021,Brent Townshend
906525,Brent C. Taylor
906789,Bonnie Tenenbaum
909413,Bernhardt L. Trout
929239,B. D. Tapley
938945,Bruce E. Tonn
942615,Benjamin K. Tsou
955806,Bianca Toltz
956443,B. WIENEKE TOUTAOUI
959671,B. T. Truong
973662,Bruce T. Tsurutani
981331,B. Tantichukeitkul
985453,Brian C. Tom
986395,Bruce R. Tripp
994272,Bruce B. Tesar
