1656,Dominique Thers
2013,Diane Tang
2394,Dean R. Tolan
4441,David Toebaerta
8044,Daniel Bar Tal
11283,D. Towsley
13425,David Thibault
17033,Dale E. Tronrud
18292,Dos Santos Theodonio
30768,Daniel R. Tretter
31219,David Truffet
35812,D. Tillett
41699,Daniel Tihelka
44682,Domenico Talia
46863,Dah Lain Tang
48779,Dmitri Timasov
50125,DON H. TUCKER
54227,Doina Tatar
55892,D. J. Twitchen
57402,David P. Torma
59621,Danny Hin Kwok Tsang
70443,Didier Theron
78073,Darryl G. Thelen
79824,D. Tyrie
80417,David W. Treat
91852,D. H. Y. Teng
96257,D. Tupper
106179,Danny S. P. To
116057,Daniela Thoma
116704,David Rogers Tilley
119768,Darrel Tenney
122514,D. Theil
122925,Dirk Oliver Theis
123292,Delfim F. M. Torres
124140,David P. Tegarden
126587,Daniel R. Tufano
127611,David Trastour
132746,Dilek Hakkani Tur
134617,D. t. Tompkins
135571,D. R. Fraser Taylor
136563,Dimitris K. Tasoulis
142844,David C. Teller
144159,Deborah Anne Trytten
148270,Dinesh Thirumurthy
149510,Daryl Van Tongeren
177218,David T. Talkin
181833,Dragos Truscan
187812,Dennis J. Tyner
191063,Don Turnbull
197014,Dilek Hakkani Tur
202006,D. Touretsky
214452,D. G. Therault
214872,D. Peter Tieleman
215686,Don T. Towsley
220854,D. I. Trudnowski
221299,D. Telford
224866,D. T. Tice
225434,Dimitrios Thanassas
228508,Daniel E. Turk
228633,David G. Madland Theoretical
229041,Donald G. Truhlar
237945,Dimitry V. Tunitsky
238561,David Padua. The Lrpd Test
249466,DINA TSIRELSON
250633,D. Tronc
250712,Daniel L. Thornton
256423,Don Towsley
258329,Dana J. Taipale
259507,DANG DUC TRONG
262821,Douglas Edward Turner
273019,Deependra Talla
280953,Dani Tost
286964,D. Titterington
291886,Dinh Khang Tran
296027,D. Tian
297625,Dl Tucci
302173,David Tricker
306953,David A. Tyfa
307354,Daniel L. Thornton
311936,Dana J. Thygesen
313284,Daniela Tulone
317890,Dinu stefan Teodorescu
320007,David A Wood. Tempest
321711,Dennie Van Tassel
321834,D. Teirlinck
329086,D. Lorne Tyrrell
332528,Der Technischen
345320,D. J. Thielman
366075,Doug Tody
367432,Djamel Tandjaoui
367802,Doerthe Tetzlaff
369139,David Tarrant
372815,D. Hakkani tur
376617,Dennis F. Thompson
380282,Don Turnbull
384265,D. Tirnrnermann
389462,De Waal T
390593,D. O'shaughnessy Inrs tel
394805,D. c. Thomas
397459,Douglas Talbott
403215,Dependent Triangulations
403850,D. Tsaptsinos
406011,Deron Tinsley
416992,D. H. Tchrakiany
417677,David L. Trotman
421676,Dmitri V. Truhachev
425438,Darrin Taylor
436991,Darryl G. Thelen
437513,Danielle C. Tarraf
440001,Di Yuan Tzeng
441616,D. Tsiang
443173,D. A. Tsyrkunov
444964,D. Andrew Trivett
446233,D. H. Temme
450863,Dirk Thien
452209,Darius Tanksalvala
458175,Digital Typography
463554,Daryl M. Treger
463971,D. Trager
469842,Debra Tang
474539,D. R. Turner
480951,D C Tmchrttzm
493078,D. Teklenburg
493259,D. Totaro
495538,Diepchi T. Tran
503264,D. Terpstra
517217,D. Treistman
522176,Daniel Tuyttens
523588,D. S. Thomson
525040,Daniel Q. Tran
528615,D. B. Trizna
529875,Domenico Tegolo
536934,Departamento De Fisica Teorica
538839,Dihong Dihong Tian
548539,Doru Tanasa
551726,David A. Talmage
561156,DEJAN TODOROVIC
573680,D. Tytler
577509,D. b. Thomasson
578269,D. J. Theis
578948,Daniele Tarchi
583480,David Twyver
586837,Dong Ling Tsay
592477,Dean Tullsen
603531,Dan Tidhar
615961,D. Terzopoulos
619665,David Tarrant
621348,Dan Tiba
628504,Dilek Hakkani Tur
633590,D. Ticoll
634986,David Thomson
635966,Duncan C. Thomas
641372,D. J. Thomsen
641821,Desney Tan
645768,Daniel A. Tortorelli
648414,D. W. Tu
648574,Dirk Teufel
651140,D. Thiel
655326,D. c. Turne
660514,D. C. Tsichritizis
664388,D. H. C. A. Sunshine Thompson
665618,D. Treheux
668657,Dekel Tsur
670456,D. Tarchi
672260,D. Prof Tt
674900,Dang Tran
682948,Dilek Hakkani Ttir
689689,Danielle C. Tarraf
691118,Darryl G. Thelen
694629,Dimiter I. Tchernev
703363,David Tuch
705084,D. J. Tait
705184,David A. Trace
708994,Design Tactics
713173,D. p. Triantis
713460,Douglas J. Tobias
715478,Dong Ling Tong
717269,Daniel Thalmann
718569,David A. Trautman
718815,D. Gnanaraj Thomas
722860,D. B. Tatham
739909,David G. Thaler
746320,David R. Traum
746447,David Till
750345,Div Of Building Technology
750784,Dian Min Tong
751824,Daniel Tobin
760099,Daniel Thornton
764377,David S. Touretzky
768646,D. Tsang
770308,D. W. De Temple
772407,Data Distribution The
773066,Data Structures Thomas
774424,Didier Tanre
776164,David Travis
779844,Domenico Tegolo
785946,Daniele Turi
793062,David R. Taylor
798242,D. Targett
799669,Duane P. Truex
806942,Dina Tsirelson
808700,David. J. Teece
815921,Denny Duan lee Tang
819011,De Todd
820183,David Tock
821633,Douglass Turner
833862,Doerthe Tetzlaff
835597,D. m. Tan
845409,Dirk Thorleuchter
851917,Deborah L. Thurston
852347,Donald Tanguay
859597,Dm Tartakovsky
860960,D. G. T. Thomas
861001,Dhiah El Diehn I. Abou tair
871827,D. Taback
873442,D. Tseng
874134,Delaunay Triangulations
875513,D. Turrioni
882856,Daniele Theseider
884949,D. L. Tunnicliffe
886357,Dimensional Torus
888619,Dekel Tsur
895171,D. Tosun
898239,D. B. Tran Thoai
901574,Desney S. Tan
927669,Denis Talay
934394,D. Terzopoulos
938978,D. Tringali
943013,D. Talia
944458,Dustin J. Tyler
945189,D. m. Topkis
954342,D. Gnanaraj Thomas
956582,Dwight Tuinstral
960540,Donald E. Thomas
964441,D. A. Treacy
966105,Dominique Tande
967174,Dylan Thurston
975873,Darboux Transformation
988227,D. M. Tate
1001209,David C. Torney
1001766,David R. Tryon
1010610,D. Tanaka
1015998,Denis Therien
1021045,D. A Tsyrkunov
1028536,Donald W. Thomas
1031864,David J. Thomson
1042131,D. Takashima
1042752,Dhiah el Diehn I. Abou Tair
1044705,D. Thirumalai
1054626,Distributed Real time
1059127,D. Tampakis
1063502,Dilek Hakkini T
1067129,DIMITRIS P. TSAKIRIS
1067547,Daniel Thalmann
1068626,Denis R. Towill
1070192,Daigo Taguchi
1076664,Douglas A. Teeter
1078188,Dietmar Trummer
1084731,Damian A. Tamburri
1086110,D. L. THACKER
1088583,D. Hakkani Tur
1088616,D. G. Triantafyllidis
1092485,David N. c. Tse
1096476,Daniel B. Thornton
1098231,David N. Tse
1099379,Debra Thompson
1099466,D. Tambakis
1106938,Daryl R. Van Tongeren
1108504,D. Trayner
1109186,Discussion Of Theories
1110152,Dsun Chie Twu
1111143,D. Testard
1113428,Donald F. Towsley
1115213,Durga Toshniwal
1118884,Dongrui Wu Woei Wan Tan
1121919,D. H. Thompson
1126889,Domenico Talia
1139143,David K. Tam
1143307,Demetri Terzopoulos
1145087,Don Thomas
1145848,Dirk Timmerman
1155974,Di Torino
1170851,D. G. Tilley
1177312,Don Tapscott
1183859,Dao Trinh
1200900,Dirk Trossen
1201261,Devansu S. Tewari
1204249,David L. Tschirley
1206599,D. Thissen
1214863,D. L. A. Tjaden
1215568,Duncan Thomas
1218928,D. R. Tailor
1219787,D. Thymian
1221445,David L. Tabb
1229274,Djordje I. Tomasevic
1230480,Dennis J. Thiele
1234414,D. K. Taniguchi
1235889,D. Torrents
1237043,Dat T. Tran
1245588,David Toebaert
1247326,D. N. Truong
1247524,D. Trowbridge
1251305,David Tritchler
1254574,David Tarditi
1258343,Dixon Thompson
1259966,D. TRAMBUSTI
1261509,D. Tolani
1276791,Dimitris P. Tsakiris
1277498,D. m. Tu
1281607,Davis A. Thurman
1290108,Dennis Turner
1290483,David L. Tilbrook
1291215,Dalmas A. Taylor
1293868,D. Takahara
1306979,D. TanlaKishani
1310007,Dan Tufis
1322171,Danielle C. Tarraf
1322669,Deborah G. Tatar
1336125,Distributed Hard Real time
1339631,Dmitry V. Treschev
1343514,Dominique Tournier
1343861,Dilek Z. Hakkani tr
1346685,Dian Min Tong
1348631,D. Mike Titterington
1353488,D. Ton
1356481,Deborah G. Tatar
1360671,Deloitte Touche
1362046,Delbert Tesar
1373357,Douglas S. Tudhope
1374063,D. H. Tulley
1378139,D. Tufis?
1379404,Dominic M. Di Toro
1382261,D. Target
1383429,D. R. Tovey
1385937,Danny H. K. Tsangz
1387972,Daisuke Tatsum
1392270,D J. Ternet
1392887,David A. Thurman
1397918,Dirk Oliver Theis
1402060,D. A. Tong
1419482,D. Teibel
1431273,Dirk Tenne
1432649,David E. Thompson
1437855,David Torres
1441289,Delfim F. M. Torres
1441805,D. E. Thaler
1450981,D. Trudeau
1460337,Daisuke Takeuchi
1465251,Daniel A. Tortorelli
1465580,Daniel S. Tilley
1470747,David J Toebaert
1480850,Dan Tufis?
1483353,Dov Te'eni
1487515,D. Tychtl
1490619,David Tolliver
1508682,Dynamic Linear Time
1509030,Dennis Thom
1513680,Dhiah el Diehn I. Abou Tair
1516040,Daniel A. Tietze
1524022,Dennis Traylor
1526137,D. E. Gonzalez Trotter
1532997,David S. Thaler
1533589,D. j. Treadwell
1535034,DAG TJOSTHEIM
1535051,D. Thorleuchter
1536775,D. Thayer
1538868,D. Tapscott
1540349,Daniel Thalmann
1544943,D. B. TAYLOR
1561109,D. F. Todd
