5108,Francois Taiani
13444,F. Hosseini Teherani
27596,Francesco Tenore
41156,F. Tourassi
45874,F. S. C. Tan
45998,Fuyuhiko Tamanoi
63018,F. N. Timofeev
63293,Fbenko. tamas
70237,Filomena Tanzariello
73660,Fabrice Touzain
102442,Folkert Tangerman
102705,Fabrice Tchakountio
112277,Fuyuhiko Tamanoi
116630,F. Tennigkeit
135954,Firat Tekiner
138553,F. Tanaka
146464,Frank Thuijsman
162113,FUNAN TI
162192,Fleischer Tamas
165342,Ferenc Szeifer T
170440,Frank Terpstra
171930,Fumiaki Tomita
189348,Francois P. De Troch
194223,Fredrik Tufvesson
211729,Final Report To
218886,Farzad Tahmourpour
225345,Finding Threshold
229874,For New Technologies
230042,Floyd J. Trefny
233456,Fan Chung Tseng
238692,F. Torelli
248492,F. D. Tamas
248895,Federico Thomas
286510,For Segmenting Japanese Terms
291314,Francesco De Tomasi
296282,François Taddei
299392,Firat Y. Testik
318719,F. A. T
322249,Francesco Tiezzi
331531,Fredi Tr
340854,Ferry N. Toth
342781,F. Tspfer
356329,Fabien Torre
362878,Franco Tecchia
391030,FRANCOIS TAILLIET
415990,Florentin Wo¨ Rgo¨ Tt
432715,Francesco Taglino
438636,F. Tamanini
442816,Fumihiko Takeuchi
453617,Farhad Taghibakhsh
466450,Fang biao Tao
485841,F. Tisseur
500099,Francois P. De Troch
505717,Francis Turjman
509609,Francis X. Timmes
514639,F. Tsuneda
514656,Fritsch K. Tutschku
514816,F. Tourkhani
519792,F. j. Torrealdea
528336,F. Tarkoy
535244,Fardin Akhlaghian Tab
535448,F. Takahashi
541476,Faisal Tariq
544912,F. Javier Thayer
552007,F. Tisseur
559317,Functions In Terms
562392,Francisco Ayuga Tellez
566146,Frank R. Thrash
588811,F. B. Thompson
591958,Frederich N. Tou
602102,For Partial Tracking
604888,F. Theeuwes
621966,Fumio Takaesu
622645,FABIANA SALDANHA TAMIOSSO
630883,Franco Toto
634578,Francky Trichet
642020,Frederic Thiesse
647621,Fegyo Tibor
648046,Francoise Tort
649903,F. Javier Toledo
