12465,George W. Turner
15762,G. r. Tassotto
16185,Gigaspaces Technologies
16664,G. H. Toulmin
16700,Guido H. M. van Tartwijk
18018,Ghazali Talbi
18162,George Tsibouris
32005,George W. Turner
38287,Guido Tack
40964,Giuseppe Trautteur
50918,Gamze Tunali
60756,Gordon Y. N. Tang
63010,Gene Tsudik
64425,G. Tzanakos
64486,G. A. Tammann
76563,G. Testa
79708,Georgos Tzanetakis
85648,George H. Tompkins
87682,George Tsebelis
102686,Gökhan Tür
106170,Goichi Tanioka
108377,George Tsironis
125557,Greg Taylor
129508,G Thompson
136721,Gabriele Toietta
143819,Gianni Toniolo
148129,Grigorios Tsoumakas
150295,Giuseppe Tomasino
166602,G. Ta
168130,Giancarlo Ferrari trecate
184610,Guo Fang Tu
193866,Greg Taylor
200246,Gabriele A. TARTARI
212917,Gheorghe Tecuci
215881,George S. Taylor
219073,George M. Turkiyyah
239344,Guillaume Thibault
272644,G. Tomlinson
277794,G. Tunstall
284290,Gerard Triqueneaux
299625,G THALER
306708,G. Tselioudis
308190,Gareth Taylor
312937,G. P. Tandon
313224,Gilles Trombettoni
320548,Geert F. Thiers
322186,G. A. Thiele
335146,G. I. Taylor
337886,Graham Tallis
357277,Gudlaugur Thorbergsson
361747,Gautam H. Thaker
371550,G. Trinchieri
374933,George H. Thomas
381919,Gareth E. Thomas
391996,Gary L. Troyer
396335,George A. Triantafyllidis
401155,Giri Tiruvuri
402042,Gareth J. Treharne
406282,G. Tsiang
409358,G. Tzeremes
413637,Gabriel Tsechpenakis
415048,G. H. Teepe
426939,Geza Toth
443324,GERALD TESCHL
446140,Gregory Tassey
447088,G LENN YU GEN TSOU
454475,Gilles Pokam Tientcheu
460471,G. Cavalleri E. Tonni
468803,G. M. Trout
471926,G. Tsudi
485034,G. M. Tharakan
538741,General Video Tracking
553173,G. B. Tardic
561635,G. Tamburelli
563857,Gary Soon Huat Tan
591899,Gene Tsudikand
593653,Gregory E. Tucker
600119,G Turner
611786,G. Taskale
615254,Guillaume C. Thonier
642007,Gareth Thomas
642315,Gilles Teyssi
643652,G. B. Thompson
650766,George Tagaras
650865,G. Tsang
653247,G. E. Tupholme
665205,G. Tamulaitis
670827,Geoffrey Ingram Taylor
672269,G. Taylor
697956,Gstreamer Team
700450,Galya Tcharny
701777,Gintautas Tamulaitis
706138,G. Tokol
707108,Gloria Torralba
711466,Gary L. Tuttle
713798,Gyanendra Tripathi
714500,Gerhard Troster
721747,G. Tadmor
723059,George Thomas
726068,G. Tumblin
728174,Geoffrey Taylor
