5919,Pekka J. Toivanen
8229,Probabilistic Polynomial Time
11014,Peter J. Turner
20871,Pavel Traubner
23803,P. Taaghol
24423,Pasi Tarvainen
32245,Polychronis Tzerefos
35620,Pierrick Tranouez
40759,Paul Tukey
57045,Panayotis Tsanakas
58521,Pierre Yves Le Traon
60691,Paul Turan
73751,Pablo G. Tahoces
74630,Ph. d. Engineering Technology
78096,Philip H. S. Torr
79577,Paul K. Townsendand
89411,P. Tatem
90589,Primality Testing
93166,Peter Tschudin
94603,Po Hsuan Tseng
94962,P. Taylor
97611,Peter Thanisch
99157,Pankaj M. Tolani
102034,Pablo P. Trabado
108628,Peter E. Trapa
108630,Petr Tu
121765,P. Garcıa Tello
126193,P. Tresadern
128543,P. Tatjewski
128785,Patrick Hang Hui Then
138477,Paul Tseng
140138,Pim Tuyls
140533,Periklis Tsingotjidis
156813,Paul L. Tanaka
161526,P. Tognon
166580,Paul Townsend
172629,P. Trochet
173520,Peter Tarasewich
175674,Paola Tortori
180573,P. Tharning
182031,Paul Tompkins
183555,P. w. m. Tsang
185781,P. Tomasin
193698,Peter H. Tu
203392,Paul J. Thadikaran
204414,Peter Tihanyi
204962,P. M. Talaia
206048,Paul F. Tsuchiya
208330,Parsoon Tawiri
215922,P. Tsiatsos
216464,P. Tollver
223107,Paulo Tabuada
230716,Personal Technologies
240444,Pter Tth
251811,P. Tu?ffery
252688,Patrick Le Tallec
257735,Petri Toronen
260423,P. a. Thaler
261168,Paul Tucker
261880,Pedro M. Tapia
263643,Peter A. Troch
277748,Ping Tak Peter Tang
283715,Piero Tartaglia
299352,Peter Thomas
305637,Pierre Fernand Tiako
307542,Pb Tomlinson
315351,Pablo Tamayo
316662,P. T. P. Tang
319036,PAUL TRUMMEL
319774,Philip L. Tilker
326083,Pasi Tiitinen
327934,Prasoon Tiwari
341012,Petar Topalov
344089,P. Tham
348973,Partha Tirumalai
365005,Patrick Thaddeus
367359,P. Tekiel
368902,Paul K. Townsendy
380050,Pamela Troendle
383233,Piter V. Trifonov
385261,Peter D. Taylor
388318,P. Tcheng
394010,Philip R. Thrift
396252,Puzicha Thomas
396418,Peivand F. Tehrani
402234,Paul B. Thistlewaite
409072,P. L. Timar
411799,Peri L. Tart
418037,Peter H. Titus
423834,Posix Is Trademark
425094,P. Tondeur
436026,Philip R. Troyk
439478,Po Hsiang Tsai
440285,P. Truffer
454052,Prianggada Indra Tanaya
462656,Pieter Thysebaert
464227,Peter Majlender Turku
477014,P. Turnois
477914,P. Turkes
484983,Pradip A. Thaker
485721,Panagiotis Trakadas
488957,Prabharan Thanikasalam
493245,Panayiotis Tsanakas
493671,P. N. Tudor
495544,Products Of Transition
499026,Pierre Trudeau
500650,P. Takahashi
505367,Pedro Tarazona
506677,Pekka Tiilikka
508152,Peter Thiemann
519537,Paolo Toth
524408,Ping Tang
530586,P. D. Tsanakas
534270,P. Toschek
538177,PAUL F. TITCHENER
557708,P Teo
560648,Panagiotis Tsakalides
565904,Programming Languages Their
570289,Piper Treuting
580623,Philip A. Trostel
583755,Peter Trpfner
595092,P. C. Teh
604882,P. Tschumi
613427,Pham Van Trinh
642436,Peter Tarjan
643694,P. A. Turbin
651491,Peter A. Tass
658118,P. Tirumalai
663612,Program Transformation
664324,Paolo Tosolini
677059,Pham Dinh Tuan
682457,Pai Tang
684095,P. j. Tanzi
685223,Peter C. Tay
693971,Panagiota Tsompanopoulou
702837,Pascal Touzet
716708,P. Thiebaud
719169,P. J. Torvik
720164,Peter Thomas
727739,P. C. Tai
728768,Pascal Touzet
736634,Paul K. Townsend
738948,Potjo Tsoene
739349,Peter Tittmann
743329,Pasi Tyrvinen
750680,Please Send Technical
753487,P. Testoni
763786,Peter Tandler
764098,Projective Transformation
769902,P. N. Turcu
774463,Patricia A. Thompson
784661,Philippe L. Toint
786880,Population From Text
793762,P. Thouvenin
802438,Parallel Concatenated Trellis
810564,Peter G. Toumanoff
820990,Petros Tsonis
822695,Pradeep Tumati
825428,Pierre Tremblay
827591,Patricia J. Teller
834811,P. C. Thum
853028,P. A. Turski
856531,Part Standard Triangulations
858303,Peter Thieberger
868830,Philip Topham
871237,Pallavi Y. Tambay
897572,Pr Thiel
899611,Pieter P. Tans
902054,P. Tkac
911231,Pieter Jelle Toussaint
920511,Paul K. Townsend
939616,P. Tsaregradsky
941076,P. Trébuche
942841,P. Thijs
944178,Philip A. Tresadern
949081,Paul K. Townsend
950497,Philippe L. Toint
951853,P. Tabbara
960360,P. j. Taylor
962327,Panagiotis Tsiamyrtzis
964931,Peter Testa
967758,P. Trinks
967922,P. L. Tryack
971103,Pedro E. Lopez de teruel
971596,Philip W. Trinder
972591,Pertti Nuutila Nokia Tel
974610,P. Teertstra
980450,Paolo Torroni
985093,P. t. Tracy
986105,Pamela J. Thompson
991714,Pham Huu Tiep
1007445,Paul W. Turner
1011492,Ph. Trystram
1014252,Peter A. Thomas
1015421,Preeti Thakur
1023069,Panagiotis Tsanakas
1025834,P. Tu
1029399,Proc Testing
1031505,Paolo di Trapani
1034447,Peter A. Todd
1037445,Pascale Termont
