14455,Viktor Ivanov Yuri Tvalodze
35100,Vello Tougu
40478,Vladislav B. Tadi
44313,Vivek Tandon
48012,Valerie Elaine Taylor
104053,Vassilis Tsoumas
105408,Vladimir Eftim Trajkovski
123033,Valery Telnov
123269,Volker Tresp
125808,Vassilios D. Tourassis
133154,Viggo Tvergaard
142916,VALERIO TALARICO
162614,Virongrong Tesprasit
165752,V. A. Turkin
171055,Vanessa Teague
184368,Vivek B. Tawde
186106,Viktor Tryba
215699,Valerie Tardif
227110,Vincent Trussart
235312,Vladimir G. Tkachev
252859,Van Emde Boas Trees
254007,Vladimiro Toschi
260070,Vicraj T. Thomas
267182,Vasily E. Tarasov
275029,V TOUGU
288188,Vassilis Tzouvaras
288766,Vikrant Singh Tomar
291021,Valery Terekhov
296880,Von Thunen
309349,Vladimir G. Turaev
313681,Vinod Thomas
318881,Vrizlynn L. L. Thing
323440,Vladimir Tolstykh
348122,V. Trichur
354438,Vadim G. Timkovsky
376834,Vladimir E. Tretyakov
407418,V. Tkachuk
473662,Varodom Toochinda
481551,Viktor Tsyrennikov
512392,Vanish Talwar
516400,Valter Tandoi
524313,V. G. Tsybulin
534242,V. V. Tsegel’nik
537937,VMH Turjanmaa
541281,Vandana Thadani
564101,Victor I. Tsvetkov
596062,V. Trusca
607873,V. D. Tourassis
634058,Varun Talwar
658273,Vassilis Tsaoussidis
678487,V. Thottuvelil
698939,Van Anh Truong
701203,Vittorio Di Tomaso
707916,Vikram Soni Theory
716853,Vijay Tewari
719788,V. Toumazou E. Traviesas
765902,Virginia W. Tsai
776181,Vincent Toumazou
782992,Various Scan Techniques
808374,Vladimir Tosic
817230,V. Tatmen
841188,Vello Tougu
864719,V. Tuulos
879787,Virginia Teller
881799,V. Triem
905698,V. Trnkov'a
909222,V. Tzerpos
915016,V. Tancorre
931748,VICTOR C. W. TSANG
938316,V. Z. Tronciu
943346,V. Tatay
949000,Vicraj Thomas
968059,V. V. Tammen
973475,Vinh Tran
984985,Vassilis J. Tsotras
990012,V. N. Tskhai
1030448,V. Tabatabavakili
1044249,Viktor Tsyrennikov
1047042,Vida Tigrani
1056569,V. h. Truong
1073597,Vasilis Theoharakis
1108130,Vladimr Toncar
1111718,Valery I. Tolstikhin
1124013,Vincent Tixier
1124065,V. Timm
1140685,Ville Turunen
1152423,Viet Trinh
1164364,Valeria Teloni
1174982,V. M. Turkowski
1227014,Vlsi Technology
1269705,Vicen Torra
1280152,V. Tsioukas
1287979,Various A. U. Thors
1298592,Vahid Tarokh
1300593,V. K. Tripp
1308182,V. A. Troitskaya
1335575,Valerie J. Trifts
1338664,Vasconcelos V. Core tyco
1342681,Vipul L. Tanna
1389912,Varvarigou Theodora
1395293,Vito Tanzi
1405627,V. J. Tombs
1418620,Vicenc Torra
1419412,Vance Tyree
1438255,Vivian Tsang
1464688,Viktor I. Turchaninov
1465299,Victor E. Turchin
1517833,Vitaly Telerman
1539960,V. L. Topunov
1550742,Vs Apl For Vspc Terminal
1557893,Vladimir G. Tkachev
1561120,V. V. Tsegel'nik
1580477,Vincent Tao
1583190,V. A. K. Temple
1630136,Vassilis Tsaoussidis
1633227,Vinh Tran
1645821,Vitor Duarte Teodoro
1653275,Vladimir A. Tcheverda
1661418,Vincenzo Tucci
1686160,Visual Thinking
1696878,Vladimir D. Tonchev
1719706,Vincenzo Tagliasco
1727324,Virginia Tsai
1742538,V. M. Tihomirov
1744447,Vo Van Toi
1747379,Vello Tougu
1766732,Vitaly Tarasov
1767347,Vladica M. Trenkic
1783032,Vadim Teverovsky
1791159,V. Javier Traver
1793504,Vasil S. Tiberkevich
1806165,V. J. Torczoit
1828817,V. Thayananthan
1831963,Victor T. Tom
1839548,Victoria Tsiriga
1859764,Volker Turau
1865809,V. Turchenko
1870229,Vassilka Tsaneva
1878325,Van Thong
1880827,Vladimir R. Tuz
1903145,Vassileios Tsetsos
1934855,Vincent C. Tao
1941829,Valsamakis Thanassis
1964101,Vasco Tesi
1980376,V. m. Tjomkin
1989244,V. M. Tikhomirov
2014761,Victor Tyan
2019447,V. Torre
2022117,V. Tassetti
2024788,Vagan Y. Terziyan
2041656,V. L. Talrose
2048596,Vladimir G. Tkachev
2048642,Vesa Torvinen
2077386,Venkat Thanvantri
2082221,V. V. Tstelin
2087040,V. V. Tantillo
2094698,Vassilios D. Tsiantos
2109031,Vladimir S. Timofeev
2124835,V. Thomas
2130561,Valerie Thouvenin
2136542,V. Turkot
2165308,V. Tjoy
2172296,Vinayak Tripathi
2176445,Vasily Titov
2192493,Vladimir R. Tuz
2197453,V. Tassielli
2221766,V. Toth
2236056,Visual Thinkers
2254149,Viktoria Temesvary
2256124,Vladislav B. Tadic
2261836,Vladimir R. Tuz
2273225,Vivek Tiwari
2274820,V. D. Tourassis
2284305,V. G. Tkachev
2287451,Vassilis J. Tsotras
2290313,Vadim V. Tilzo
