11226,Dolph Ulrich
26488,D. W. Upmal
43801,Domenico Ursino
57108,Didem Ucok
66526,Dominic Upton
67360,D. Uhrlandt
132003,David G. Ullman
133251,Dennis J. Underwood
136980,Darrin R. Uecker
138988,D. Umstadter
163127,Development Steps Using
175278,David Urting
213533,Dietmar Uhlenbrock
235459,D. Z UPANSKI
279016,Dan Ryder Unc
292152,Duke Univ
385179,Dirk Uffmann
393601,D. Umstadter
413685,D. Uttamchandani
421636,D. Uhde
428027,D. Ung
481450,Daniel Ueltschi
482936,Dean Uyeno
507645,D. Unrau
512518,Deborah Najee ullah
658689,D. Kr ¨ Uerke
669658,D. Ullman
751367,Disambiguation Alfonso Ure
762120,D. Urbig
904370,Dennis Urban
911217,D. B. Uskov
1041215,Dan Usher
1089247,Dirk D ¨ Ullmann
1252423,D. A. Unger
1295891,D. E. Uitdenbogerd
1301531,David Basin Universi
1359865,DIETER UHL
1405100,Donald C. Uber
1406488,Dong Hoon Van Uytsel
1443880,Darrell R. Ulm
1477780,Dominique Unruh
1477838,Deriving Upwinding
1504787,D. Uche
1604578,D. Thorborg Vrije Universiteit
1612416,David Michael Ungax
1633485,David Wayne Ussery
1690289,Describing Users
1696442,D. Uptegrove
1725184,Donald P. Umstadter
1822526,Dietrich B Usching
1933815,D. Gr¨ Unbaum
1961168,David Ungar
2065695,Dominique Unruh
2280067,Denis B. Uglov
2283506,Dorin Ungureanu
