41943,Jeffrey W. Umland
80654,J. N. Ulm
92558,J. Ursic
101812,J. Ueda
105197,Job Ubbink
146911,John C. Haws Miroslav T Uma
182518,Jorge Uribe
207645,Jörg Ueberla
209096,J. L. Upshaw
239309,J. Compilers Principles Ullman
245387,J. Bl Umlein
296614,James R. Usherwood
360242,Jung Ho Um
369945,J. D. Unman
395225,Joachim Utans
402711,J. Urst
420364,Jens Ulstrup
454836,JEFFREY D. ULLMANO
455870,Josh Underwood
474181,Julián Urbano
483541,Jaroslaw Uher
534616,John S. Underkoffler
572735,J Ean philippe Uzan
619971,John Urquhart
656212,Jinny Uppal
661389,J. D. Ullman
668218,J. m. Urrutia
692946,Job Ubbink
706472,Jacek Ulanski
716873,Jonathan Unger
730839,Jeffrey D. Uuman
744017,J. D. Ulman
750597,Jean philippe Urban
759356,J. T. Udding
775700,Jeffrey Undercoffer
776380,Jung Ho Um
788945,Julio Usaola
793704,Jeffery M. Usher
810632,Jose Manuel Urquiza
835045,Jeffrey Uppington
839902,John Paul Urbanski
872713,J. D. Ullman
878300,Joseba Urzelai
891923,Jonathan Ultis
904394,J. Umemura
930397,J. A. Umina
944280,Jana Uher
962142,Junji Urakawa
974008,J. Uhlig
998257,J. Upatnieks
1009279,Jennifer C. Utting
1039002,Jun ichi Uegaki
1084141,Jeffrey Uppington
1084286,Josh Underwood
1100379,Josu Uusitalo
1114257,John Unsworth
1140441,Jos Unk
1144472,J. Dubel Unne
1181483,John R. Underhill
1183341,Joseph S. Ullian
1189393,Jon Umerez
1197268,Jiangxin Chen Urbashi
1206583,J. m. Ulloa
1226936,Joao Baptista T. Yabu uti
1236269,J. Uhl
1236494,Jorge Urzua
1279371,James S. Ulvestad
1284517,J. Richard Udry
1293907,Juan Uriagereka
1315712,J Undercofier
1318222,J. Uglum
1348689,Jean pierre M Uller
1360312,J.   F. M ¨ uller
1391690,J. Unruh
1422032,J. M. Utterback
1425623,Julio Urbina
1483127,J. V. Ungerleider
1502838,J. M. Ulijn
1522038,Joshua Leon Underwood
1542014,Jean Utke
1567496,J. Ung
1590650,John Undrill
1632490,Jonathan Unger
1652338,J. Ullmann
1661851,Julio Cesar Urresty
1662659,Jonathan M. Unger
1707339,J. Uicker
1719007,J. Unternahrer
1733255,Jack J. Utano
1761623,J. D. Ullman
1791362,J. Urbanek
1798390,J. D. Uiiman
1802895,John S. Usher
1812314,Julio Cesar Urresty
1813482,Jeroen R. Uittenbogaart
1815366,J. Urayam
1829508,Jeffrey D. Ullman
1843611,Juliati Utami
1848767,Johannes Gutenberg Universitat
1861420,J. Ulrich
1863534,Jeffrey D. Ullman
1879582,J. M. Usoff
1897682,J. Unrue
1912594,J. Richard Udry
1926351,Jun Umezu
1938264,Jens M. Unger
1982366,Jeffrey D. Ullman
1982994,Job Ubbink
2067754,John Long Ucl
2220123,Jesus Urena
2243404,Jose Armando Ulloa
2246786,J. M. Urena
2283134,J. p. M Ucket
