7984,Anders Vahlin
10429,Alfredo Alvarez Valdivia
10737,Alessandro E. P. Villa
13735,A. j. Vernon
14352,Antti Vanne
16873,Anca Vasilescu
19209,Apostol T. Vassilev
27683,A. Vaseashta
32328,Ali Vahdati
34665,Avni Vora
36189,Alex Vinokur
38384,Amrisha Vaish
40972,A. h. Vermeulen
43589,Alberto L. Sangiovanni vincentelli
45075,Aniruddha S. Vaidya
47380,A. M. Viano
48307,A. Venne
50147,Alberto Vanzo
52268,A. Valente
53006,Ashok Veeraraghavan
56913,A. Vourdas
60143,A. Varri
64574,A. Vuckovic
66154,A. L. Vereshagin
74207,Andrew J. Vickers
91638,Alexander Vilenkin
107082,Andre Vasconcelos
109410,Ana Rosa Viguera
110075,Alex Warn varnas
113211,Adrian VanDeemen
114498,Alexandros G. Valarakos
114713,Alberto Sangiovanni Vincentelli
121234,Anna Vari
125199,Alberto Sangiovanni Vincent
128546,Adam Rotaru varga
130030,Arlette Vercammen
133472,Anthony Vetro
136668,Arjen Vollebregt
149235,Andréa M. P. Valli
149949,Alex Villaz
172257,A. Viviani
174470,A. Verbruggen
174707,Aad Vanballegooijen
175016,Andries Van Der Vaart
175331,A. H. de Vreede
180756,Armando Vieira
184787,Audrey M. Viterbi
196151,A Personal Vie
198018,A. Vladimirescu
207086,Alfons GJ Voragen
218788,Alessandro E. P. Villa
219682,Alessandro Vezzani
224142,Alfredo Vagati
225915,A. C. Verschueren
230654,Alex Vasenkov
233227,Alberto Vanzo
237376,A Varade
238248,A. V. Vecchia
247564,Alberto Vailati
266716,A. Vargas
282328,A. f. Vanderstappen
288569,Alphons G. J. Voragen
290824,Anastasios N. Venetsanopoulos
295592,Alexandre M. Vinogradov
296601,A. Valenzano
303482,Alessandro Vinay
307736,Alexander Yu. Vlasov
308838,Arkady Vaintrob
321572,Ana Viseu
328834,Alexei V. Vertiatchikh
339494,A. Valenzuela
340953,Alexander Vishik
341608,A. Varanaviiuset
345416,A. Valembois
348365,A. L. Vereshchagin
353513,A. k. Vorobi
353967,Adrian De Vivo
354072,Alvise Vidolin
354614,Adrian Vetta
357743,Arya Vijay
363261,Ardie G. W. Venes
365760,Attila Vidacs
367304,A. L. Vereschagin
368823,ANTONIS I. G. VARDULAKIS
373793,A. Marie Vans
374219,Akshat Verma
374693,Anatoliy V. Volkov
377571,Angi Voss
386425,Alberto Sangiovanni Vincentelli
388694,A VELDKAMP
399297,Alain Vighetto
399937,A. L. Vikharev
408496,Antony Vignier
427819,AKSHAY VENKATESH
