4070,Floor Verdenius
29425,Fernanda B. Viegas
49158,F. Vallee
52317,Franck Vigneron
70388,F VANDELFT
78050,Fred Vermolen
84272,F. Verhelst
90093,F. A. Valentine
111079,Frank Vanclay
118066,Fred A. Voorhorst
136400,Finding Facts Vs
142923,Frank Vetere
143423,F. Venneri
152647,F. X. VOIROL
183229,Francisco Vasques
196550,Fernando Vilari?o
232206,Francesco Vasc
237047,Frederic G. C. Valentin
244879,F. Vendrell
248967,F. Veillon
306577,F. R. Vellutino
308299,Fabio Vena
323783,F. Vestman
326121,Francesco Vivarelli
337488,F. c. t. Vanderhelm
338622,F. J. Garcia Vidal
338763,Folkert de Vriend
350877,F. Vargiu
352858,Francisco Vaz
374704,Francisco M. De La Vega
403082,Fernanda Viegas
412226,F. Verde
425623,F. Vog
432767,Ferdinand Verhulst
445742,F. van Voorst Vader
445911,Francisco P. J. Valero
476926,Fabian Luis Vargas
480914,Frank Vavak
487966,Fabrice Valois
501200,Frank E. van Vliet
516628,Frederic Marimon Viadiu
524372,Frank Verboven
566741,F. E. Volz
567584,Fernando J. Vittes
577417,Fernando Rosa Velardo
578243,Frederik P. J. Vandecasteele
581366,F. Vogel
582944,Frits Vaandrager
584259,Frank M. Vanclay
600388,F. Vivien
613684,F. Vial
614038,Francisco M. Veloso
614411,Francis G. Vella
614786,Francesco Vitobello
618737,Frederic Vachier
631615,Ferenc Varadi
640280,Frank Vetere
654677,Fernando Pardo Manuel de Villena
664005,Francesc Planas Vilanova
690495,Frank M. Vanclay
693459,Fernando E. Vega
709280,F. C. Voogt
734063,Frank Verbiest
760628,Frederic Vexo
763688,Fons G. J. Voragen
766949,Frederik Van Voorst Vader
796532,F. Viegas
808847,F. Vanderhaegen
846156,F. Verhelle
899547,F. Villata
901344,Frederik A. M. Verdonck
919288,Fernando Rodriguez Villegas
937421,Florian Vollmer
959969,Frederic Vachier
977579,For Structural Vector
983961,For Real time Verification
993820,F. van Voorst Vader
1008704,Fernando J. Velez
1009694,Frederic Mariron Viadiu
1028881,Fernando Vidal verdu
1030440,Fernando Rosa Velardo
1079232,Felisa Verdejo
1114111,Fancesco Voci
1129056,F. Vivien
1150292,F. Varoll
1155339,Flows By Vyacheslav
1215867,Farrokh Vatan
1218280,F. Van Voorst Vader
1286323,Fabrizio Vacca
1321367,Filippos I. Vokolos
1346692,F. H. Vogt
1365751,Fernando Pardo Manuel de Villena
1378713,Ferenc Varadi
1388568,Ferenc Varadi
1398821,Fernando Rosa Velardo
1448900,Fritz Vogl
1450427,F VANDELFT
1457069,FERNANDO VENTURA
1459152,Francisco Velasco
1471080,F. Verplaetsen
1493227,Frank Vogt
1496586,Francesco VINCELLI
1503833,Fabricio Thiengo Vieira
1519459,FLAVIE VANLERBERGHE
1526151,Fernando Rosa Velardo
1542984,Fevrier Valdez
1549881,Francois J. G. Vingerhoets
1560414,Flavio Miguel Varejao
1568421,For Particular Values
1572741,Fabio Violaro
1659659,Francisco J. Varela
1677312,F. Veghini
1680983,Francis J. Villante
1686215,Ferenc Vajda
1715363,Fran?cois Vi`ete
1732396,Fj Varela
1746886,F. Valente
1750662,F VANDELFT
1754956,Fabio Villone
1768931,Frank Vanclay
1785475,Friedrich H. Vogt
1802690,Ferdinand Vollei
1811143,Frederik Vercauteren
1819998,F. David Van Voorhees
1839820,Fons A. G. J. Voragen
1840269,F. Verheest
1854583,Francisco Jose Valle
1859756,F. van Voorst Vader
1873987,F. M. Vanclay
1884241,F. Vrins
1919216,Francisco Valdes
1922687,F. W. Voltmer
1936071,F. Victor
1961335,F. Rogier M. Vidrascu
1967365,Franz Vojik
1977227,Frederic Marimon Viadiu
1988334,Frans A. J. Verstraten
1991335,Fabio Ventrone
2035776,F E Xternal Force Vector
2046302,Fer Jan de Vries
2047018,Frits W. Vaandrager
2052365,F. w. m. Vanhelmont
2055750,Fons Voragen
2067282,F. J. Verbeek
2072606,Frederic Valette
2076647,F. Vernadat
2080372,Francesca Villoresi
2087388,Florian De Vuyst
2111196,Francisco Vasque
2145910,F. Varnum
2145939,Fernando Rosa Velardo
2168479,Frederick W. Vook
2199362,Floris H. P. van Velden
2201327,Frederic D. Vernier
2243725,F. L. J. Verweijen
2259983,F. Villard
2285471,Francisco Luis Gutierrez Vela
