49613,I. Vincueria
60900,Ignacio B. Vivancos
100795,Iakovos S. Venieris
121983,Interface Circuits For Vlsi
126901,Industriales Valladolid
145323,In Advanced Research In Vlsi
195975,I. Vukovic
236717,I. Verstijnen
260654,Inka Heidi Vilpola
342041,I. Del Villar
372338,I. Valade
402898,I. Vila
411179,Izu Vaisman
421015,Images Into Virtual
499073,In Jan Vitek
557469,Isidro Irala Veloso
566771,Isabelle Vernier
579439,Isabelle Vautier
614342,I. Vorobyov
634065,I. Vajda
650753,Ingrid Van De Voorde
665221,I. M. Vitebskii
718473,Ilya Vorobeichik
737517,Ioannis P. Vlahavas
826699,Imrich Vrt’o
835949,I. D. E. Videlo
856077,I. Viikki
889160,Ioannis A. Vetsikas
891190,Ignacio Gomez Vinagre
902815,Ilya A. Vakser
954696,I. Vajda
987626,Ivan Jose Varzinczak
1041686,Inconsistency Protected Values
1076440,I. D. Voitovich
1106576,Indira Venkatesan
1163736,Ingo Viering
1222621,I Met Vasilii Vasil'evich
1240737,I. Vajda
1241783,Ismael Garcia varea
1260065,Ibm Virtural
1269400,I. P. Volubujev
1363746,Incline Village
1388839,Irina Voiculescu
1415177,I. Verhauwhede
1452532,Ingo Valgma
1454949,I. v. Vasil'ev
1478047,Ivan Vorobjev
1490021,Iosif I. Vaisman
1533518,Is Highly Valued
1657938,Ivan Veselic
1665704,Ignacio Dario Viglizzo
1682114,Ingo Valgma
1704698,Inc Versata
1711145,Ivan Viola
1727476,Ioana Voiculescu
1746762,Interannual Variabilit
1760232,Immd Viii
1782322,Inc. Mountain View
1795607,Ignacio Darío Viglizzo
1817502,Imre Varga
1860184,Isabella M. Venter
1878146,Ihor M. Vitkovitsky
1879790,Ivana Veljkovic
1891080,Isaac B. Vasserman
1916792,Ignace Vergote
1945312,Ivan Vila
1960109,I. Vanenkov
1965905,I. S. Venleris
1978024,Ivan Volkov
2007236,I. Vogel
2075123,Ivan Vila
2078468,Ioannis Viniotis
2258097,Ingmar Visser
2259269,I. M. Vinogradov
2276309,i dati dell'indagine di vitti
