13819,Luciano Vanzo
24632,L. Verw
28455,Loreto Valenzuela
47092,Lars Vikberg
50638,Laura Viana
57740,Laurent Vercouter
100817,Lindsay Venables
123025,Luc Vangool
165180,Linda Vincent
199744,L. Ventura
203241,L. Vygotsky
263140,Laurence Vignal
276514,Leandro A. Villas
284975,L. Vygotsky
291425,Leonid B. Volfson
292492,L. M. J. Vries
314236,L. Venkatraman
318354,Leandro A. Villas
339622,Luca Vignaroli
348483,Lucia M. Vaina
363015,L. Venturino
365154,Luis Veiga
378831,Luis Vergara
408828,Luisa Verde
415833,Lennaert van Veen
432475,L. Valcarenghi
460034,Luca Veltri
471113,L. Verri
478015,Luca Vignaroli
526642,Lucas J. Van Vliet
530243,Luis Garcia De Vicuna
532802,Laurence Vanhelsuwe
549946,Luis Valledor
553164,L. Valentini
568858,Lvaro Villegas
572710,Ligia Vasconcellos
587404,L. M. Vassiliev
601318,Luca De Vito
615942,Luc Vandendorpe
633413,Laurent Vanderputten
679851,Ljubo B. Vlacic
692084,Laurent Viguier
695476,Luminita A. Vesez
698906,L. Verdeyen
699268,Lieven Vandenberghe
708971,Lorenzo Vandoni
745427,LIESBETH VOGEL
745858,L. Vanneste
752352,Luis Valledor
758106,L. Valent
766279,L. C. Vanrijn
777535,Lev Vozovoi
784467,L. Gonzalez vega
787948,Loukas Vlahos
792695,Louis Gerard Vuurpijl
818086,L. Vicci
824063,Louis S. VanSlyck
865768,Lelia A. Vazquez
877942,L. Valle
926999,Lode K. J. Vandamme
938797,Lawrence Vance
940482,Luis Guillermo Villanueva
978365,LUC VRANCKEN
988160,L. Vigilant
1017535,L. Vadasz
1019601,Linda A. Volonino
1037062,Lionel Valet
1043126,Laurent Vinet
1059332,Leonard S. Voelker
1061714,Luis Vel'azquez
1064767,L. M. Verpooten
1078151,L. A. Valdes
1080314,Luminita A. Vese
1080428,Louis Vaillant
1094406,L. Vapillon
1112296,La Valeur
1186373,Laurent Vigneron
1201439,Luis A. Villa
1212719,Lang Vo
1279903,Luc Vandeurzen
1289202,LUIS E. VILA
1297061,L. Vieille
1297143,L. N. Virgin
1300126,L. Valois
1326471,Luis Valor
1332249,Luis S. Vargas
1338799,L. L. Vasiliev
1340785,Lakshmi Vijjappu
1344751,Luigi Verolino
1349710,Lisa Vogtlander
1389522,Lan Da Van
1393764,Leonardo Rey Vega
1402124,LIEVEN VANDENBERGHEy
1428647,L. Vogtlander
1429095,Lazar Vujanovic
1434469,Lucas J. Van Vliet
1448372,Liwen Qiu Vaughan
1454445,L. Vergani
1458302,Lena S. Valavani
1460107,Leslie Valiant
1466450,L. Vardapetyan
1469046,L. Visintini
1471258,L. Vasiu
1482020,Leo Vercauteren
1498040,Lea Viljanen
1549780,Louis C. Vroomen
1586499,L. G. Vorobiev
1591943,Linh Van
1610909,Lev Vygotsky
1615378,Loris Vendrame
1616848,Leo Ramesh Vijayasarathy
1616925,L. Vangelista
1630952,Lydia E. Volaitis
1636349,Luigi Villani
1651583,L. Vargas
1656391,Leo C. N. de Vreede
1670390,Lavanya Vasudevan
1701573,LLC Vienna
1718751,L. C. de Vicuna
1726680,Lev Vygotsky
1744569,L. Vintan
1751712,L. Vancaillie
1753780,Lise Vesterlund
1770459,Lorenzo Verdoscia
1770768,Luca Barbieri Viale
1786893,Lee H. Veneklasen
1805061,Luis Vicente
1805316,Lieven Vandenberghe
1810161,L. Vekas
1812692,Lu'is N. Vicente
1813967,L. De Vera
1815808,Lydia Vargova
1829971,L. E. Vorobjev
1836208,L. Vandi
1864650,L. D. Van
1874249,L. Velikovich
1888744,Luis M. Vidigal
1911676,Luiz Filipe M. Vieira
1933439,L. Vladutu
2010244,L. Vigotsky
2038424,Lars F. Villemoes
2083018,L. Vasanelli
2093377,L. Valdettaro
2109479,Luisa Verdoliva
2128059,Luiz Filipe M. Vieira
2128709,Luis Veiga
2129105,Leo I. Vaskelainen
2130642,Leonardo Rey Vega
2149822,L. M. Vallese
2150657,Lattices Varieties
2181820,Lorenzo Vecci
2191041,Luminita A. Vese
2232555,Lazar Vujanovic
2240430,L. Vitucci
2241339,Laurence Vignollet
2244008,L. Veron
