1377,Martin Visbeck
2125,M Vivet
15057,Martin Vetterliy
21396,Michael S. Venn
26356,M. Teresa Villalba
28803,Maryam Vahabi
30173,Martin Vögel
30435,Michel Valle
32997,Manuela Vasilescu
33494,Michel Veron
45731,M. Vanzi
47457,M. VILLAGRAN
50190,M. Indira Venkatesan
51708,M. I. Vercellone
56134,Martin Vohralik
58520,Maurizio Vincini
61394,M. K. Vamanamurthy
62594,Mauricio Navarro Villalobos
63806,Matti Vartiainen
65955,Maximilian Viermetz
68063,Mario Garcia Valderas
100468,Mettina Veenstra
100863,M. R. Viner
108131,M. Vaisset
114004,Manuel Vazquez Vazquez
121112,Murali Venkatrao
127571,Marcos Vescovi
129006,Mika Vuolle
130921,Manish Kumar Verma
132424,MOJTABA VAEZI
134056,M. Vie
148523,Marius Vollmer
149841,Michael W. Varner
152726,Marco Vianello
155904,M. Var
158537,M. Vignes
159984,M. Vahdati
160613,Mario P. Vecchi
162102,Marie France Valois
178731,Maria Cristina Vecchi
181756,Meg Systems Vrba
182458,M. N. Varvatsoulakis
185521,Meel Velliste
186707,Maria Vargas vera
191620,M. c. m. Vandesanden
194552,M. P. Vecchi
195687,M. D. Vernon
200261,Maria Vlasiou
215593,MARIANO J. VALDERRAMA
229101,Michael Vetter
239722,Mauricio Navarro Villalobos
243036,M. Vanmaele
245164,Mikko Valimaki
252673,M. Vaananen
254276,Michael S. Vaphiades
258451,Maria Angeles de Prada Vicente
265003,M. Vokkarane
271139,M. Vijayaraghavan
272437,M. F. Brezmes valdivieso
279729,Michael N. Vrahatis
284100,Mark S. Vin
286518,Michael Vrable
291416,Marina Vannucci
294467,M. M. Vaniglia
295536,Markus Vaalgamaa
297938,M. Vasilenko
299562,Maaike Verrips
312356,Miguel Villamon
314651,Martti Valtonen
315496,Michel M. Verstraete
317259,Michael S. Vitevitch
325418,Martin Vetterli
329679,Marcelo Villena
333729,Mika Vaihekoski
338433,Mikko Vesisenaho
346639,Mikas Vengris
355371,Michael Voigt
356805,Marie catherine Vilarem
357831,Mario Piattini Velthuis
361282,Mauro Valorani
361521,Miguel Angel Sotelo Vazquez
369204,Michael S. Vogelius
374222,Mladen Vouk
382022,Michael Vrable
383950,Marija Vrdoljak
387189,Manuela M. Veloso
388118,M. Venkatesan
393967,M. Vhaho
394804,Massimo Violante
395039,Michael B. Venditti
398831,Michelangelo Vassallo
410146,Massimo Vassalli
411973,Massimo Valentino
416834,Massimo Valla
416929,Michael J. Vrhel
420343,M. Vallino
443551,Martin Vetterli
444034,Maria Joao Vieira
471189,Martin Vetterliyx
478382,Massimo Vitale
484281,Mikko Varonen
497119,Michel van de Velden
503571,Michael Vanhilst
507792,Miguel Angel Vallejo
511145,Michel Vittot
512230,M. VLASIOU
516391,Moritz Meyer ter Vehn
521398,Mariano S. Viapiano
541440,Maria J. Vicent
553035,Multi fpga Architectures Vinoo
554410,María Teresa Varela
558709,Mohammad Reza Vaghar
562792,Mn Vrahatis
564048,Marie gabrielle Vallet
566603,Marta Vomlelov
569607,Maria esther Vidal
570794,Mark R. Vigder
571021,Moritz Meyer ter Vehn
572664,M. N. Vahia
572721,Megan Vazey
576723,Manuela M. Veloso
578582,Marcus Vetter
580173,Marco de Vivo
584499,M. V?lkel
584764,Martha VenkataSwamy
587484,Marcio de Morisson Valeriano
609078,Marcella Veneziani
614905,Milan Vlach
616546,M. Visvalingam
617276,Martin Vranken
628942,M. E. Villablanca
642890,Martin Verlage
645878,Mario Piattini Velthuis
646859,Marc Vandenhoute
653402,Matthew Ventura
653626,M. Alex O. Vasilescu
655570,Mauricio E. Vargas
660397,Mirko Viroli
674437,M. E. Verona
675143,Maria Vilkuna
679043,Marco Tulio De Oliveira Valente
680845,Mladen A. Vouk
686454,M. Vukoli'c
699884,Mario Van Vliet
704341,M. M. Veloso
707657,Marcos Augusto M. Vieira
709759,M. da Silva Vilela
715842,M. Verreault
723346,M. A. Verschell
728060,Mario Garcia valderas
731600,Martin Vetterli
742230,Mankuan Michael Vai
750679,Marcelo J. Villena
758369,Marco Vieira
764718,Maria Virvou
765369,Marc Vivet
771126,Mats Viberg
777189,Massimo Vassalli
785014,Mojtaba Vaezi
785483,M. Voss
792372,Malicious John Viega
805043,MARIO VIGNOLO
807660,Mario Piattini Velthius
810345,Methods Robertj Vanderbei
812020,M. Vujosevic
814211,M. Voas
821764,Mikas Vengris
826381,Michel Las Vergnas
826690,Matteo Vaccari
827335,Marcel Valon
831132,Mobile Food Van
831149,Matti Vainio
836880,Maxim I. Vashkevich
837721,Meta M. Voelker
838485,Martin Vetterliz
852201,M. Vincent
868486,M. Victoria
869560,Michele Vindigni
869780,Mike Valvo
881925,M. Ceu Viana
900687,M. Van
901754,Martin Van Velsen
904871,Massimiliano Vasile
914599,Michael Vilot
924934,Mark Versteyhe
926799,Martin Vogt
936303,Method For Viscous
939520,Mikhail V. Volkov
943432,Marian Vittek
955480,M. Vescovi
969254,Michel Valadier
971925,M. P. Vasilevskii
975246,M. H. Vaudaine
977967,Mw Vogel
983545,Michael Y. Vaiman
983974,Martnez Barber Valds
987503,Marina Valdinoci
987741,Massimo Villari
995358,M. Vtreberg
997047,Myriam Valero
1010163,Mario Veloso
1011469,M. Valcarel
1015406,Michele A. Visciola
1029612,Maria Teresa Valderrama
1016977,M. Versaci
1017712,Marlon Erthal Righi Vieira
1021945,MAX VASQUEZ
1023802,Michele Vendruscolo
1028542,M VANDENTEMPEL
1028887,Marta Villegas
1041212,Maxime de Villepin
1042644,M. Viens
1059823,M. Valenca
1063539,Mathias Vanwolleghem
1065760,Mehran Vafaee
1067069,Ming Li Paul Vit'anyi
1067441,MARIO DI VINCENZO
1072389,Mario Verdiccchio
1077788,M. g. Valentini
1080958,Miroslava Vrbova
1099284,Marco Varoli
1104297,Marion Valkenburg
1109913,Maria Elena Valcher
1110055,M. Vardi
1115521,M. J. M. van der Vorst
1121331,Marco Vala
1124304,Mark VOLANTHEN
1128984,Michal Vieth
1131656,Marc Goovaerts David Vyncke
1133400,M. Vanttinen
