48138,N. g. Voglis
54173,N. Vasilonikolidakis
66822,N. N. Vorozov
78110,Nguyen Quoc Bao Vo
89681,N. A. Vahtinski
115355,Nicolas Villain
136579,Nikolaos Vourdas
147445,Noel Veraverbeke
156256,Nikolaos Vourdas
189464,N. Voronin
203101,N. V¨olker
218075,Namrata Vaswani
232316,Nestor Garay Vitoria
236976,Nyuk Yoong Voo
237408,Nguyen Ai Viet
294961,Nicolas Valentin
301020,Nishath K. Verghese
313324,Nalini Venkatasubramanian
331682,Nikolaos Voulvoulis
333153,Nederlands Initiatief Voor
351254,Nic Volanschi
411535,Nghia Van Vo
422897,Nuno Veiga
427016,Nicolas Vandapel
440216,New Version
452930,Nikos S. Voros
476078,NARESH K. VERMA
482917,Nicolas Villar
501170,Norbert Volker
501727,Norbert Volny
512454,Networks Kumar Viswanath
538925,N. A. Vovos
608688,N. Vergamini
612095,N. Volfovsky
613716,Nicolas Varopoulos
614440,Nico J. Voogd
628938,Nikolay K. Vuchkov
649268,Napa Valley
654772,N. Vemuri
667698,N. Villamagna
677209,Naveen Verma
704437,Nikolaos Vlachantonis
707938,N. Vijayarangan
710837,Natana Valiveti
746547,Nicolas Vandewalle
750249,Nathan A. Vanderhorn
798161,N. Vettas
863308,New York Springer verlag
889625,Nathalie Villa
918324,Narayanan Vijaykrishnan
930759,N. A. Vakhtinsky
938511,Nino Vidovic
949153,Nikolaos Voulvoulis
953715,Nicolas Vaucher
974103,N. A. M. Verhoeckx
974220,N Vorozov
992670,N. x. h. Viet
1029078,Nelayev Vladislav
1057392,Norbert Volker
1116671,Nestor Garay Vitoria
1119224,N. Varnica
1139221,Nikolaos Voulvoulis
1174159,N. Vink
1177528,N Vladimir
1180972,N. Vijay
1192729,Nathalie Virag
1215828,Nithya N. Vijayakumar
1252949,NPJ Vogtlander
1285621,N. Viswanadham
1299499,Nikolai Vereshagin
1307526,N. Vourdas
1333745,Noel Verhoeven
1402110,Natesan Venkateswaran
1403764,N. Venkataramani
1409857,Nils P. J. Vogtlander
1421259,N. Valles Villarreal
1434891,N. Vorozov
1444852,Nimrod Vazquez
1522386,Nitin Vaidya
1533773,N. Vacelet
1534275,Nico Verlinden
1564660,Nicole P. Vogt
1620388,Norman G. Vinson
1683169,Nguyen Xuan Vinh
1727227,Nederveen. G. A. Van
1749644,Nagesh Venkataramaiah
1753235,Naveen Verma
1760401,Noise Removal Via
1818606,N. C. Voulgaris
1829496,Nikolai K. Vereshchagin
1863185,Nora D. Volkow
1875402,Nikolaos Vassilopoulos
1881232,N. Vasanthavada
1887526,Nils P. J. Vogtlander
1898842,Nagarajan Vaidehi
1918957,Nicholas Villars
1972623,Nikolaos Vourdas
1978341,Norman L. Vandenberg
1995781,Nikolaos Voulvoulis
2011202,Nadja Victor
2025823,Natalia Vladimirova
2153038,Neil Vachharajani
2206779,Nathanial B. VanKirk
2240774,Nancy J. Vye
2283726,Niranjan Damera venkata
2285473,N. I Vogel
