7778,Roger A. Villecco
9741,R. Vankoughnett
10019,R. P. Veltuizen
12683,Rene Vestergaard
19916,Richard M. Vogel
24888,Ron Versteegh
35800,R. Volpe
49975,Rodrigo De Freitas Vale
54969,Richard J. Viken
57283,Robertt A. Fontes Valente
71168,Rafael Villafuerte
72164,RON D. VENTER
78587,R. Vincent
87967,Richard B. Vilim
88786,Rajiv Vijayan
91784,Rhonda J. Vickery
92026,R. E. Vaughn
141732,R. A. Vols
142619,R. K. Verma
148845,R. Vio
152270,Robert M. del Vecchio
158642,Rick Verhoef
161096,R. Vig'ario
162806,R. Vazquez
166081,R. Vreeker
166720,Robert Valette
177981,Rakesh Vallishayee
178529,Raymond Veldhuis
191778,Roberto Viola
193379,Rafael Vergara
201157,Rafael Villar
209092,Roel Vertegaal
212602,Richard E Vesley
220089,Rolf D. Vogt
232033,Robert W. Vishny
239079,Remmert Remmerts De Vries
243405,Richard A. Venditti
246320,R. Bley vroman
252861,Randal J. Verbrugge
268337,R. Vaionoras
268760,Raman Venkat
273159,Raoul D. Viollier
283938,Rdiger Verfrth
302315,Raquel Frizera Vassallo
303370,R. B. Vaganov
316330,R. V. Villasana
332971,R. k. Varma
340670,Rodrigo O. Valdes
352407,Robert A. Veltre
365813,Raf Vandebril
368616,Robert J. Vokurka
376579,Ron Vreeker
380739,Raouf Veliev
387987,Randall T. Voland
400348,Rene Vidalz
408925,Robert L. Veroff
409303,RAJENDRA G. VYAS
425951,Richard Verhoeven
438093,Ricard Villa
440375,R. Venugopal
446723,Robert D. Vincent
447205,R. Vautier
460313,R. G. Voss
461211,R. H. Van Velthoven
479954,Robert Veillette
489137,Richard J. Varey
490100,Rosa M. Figueras I Ventura
513852,Rodrigo A. Vivanco
514082,Ramana Venkata
516906,R. Vierra
524546,Rodolfo Venegas
535370,Rosa Maria Viccari
552211,R. G. Voioht
567428,R Vergnaud
575861,R. P. H. Veth
578576,R. C. Voigt
594064,Rob A. Vingerhoeds
610103,Robert W. Vishny
613132,R. Vollmar
623688,Regina Verdin
625582,Ricardo A. Villalaz
628389,Ravikiran Vatrapu
635708,Ron Vreeker
638086,Richard M. Voyles
660909,Richard J Varey
661378,Rosanna Verde
677497,Rafael Vergara
687766,Robert W. Vishny
699130,Raymond Ve
701107,Riccardo Viale
703070,Roel Vermeulen
710544,Raffaele Vitolo
713308,Ramarathnam Venkatesan
721225,Ralph Steiner Vanha
721461,Riccardo Valentini
745580,Route Views
752071,Rob J. M. Vaessens
756417,R. J. Vidmar
769362,R. del Villar
770193,R. R. J. Vanoppen
776615,Raymond G. Vickson
779424,R. Burciaga Valdez
793148,Rosanna Verde
804654,Richard J Varey
811821,Roberto Vaccaro
817353,Reynaldo Victoria
825250,Ren'e Vestergaard
826449,Resonance Using Various
856212,R. Vaughan
869465,R. Viannu
876241,Rimas Donatas Vaisnoras
877118,Reports Vicksburg
885415,Radionuclide Data Validation
892732,R. Vanrenesse
914506,Robert P. Velthuizen
915162,Rita Vincenti
927846,R. Vyas
934467,Robert D. Van Valin
951016,Rene Vidal
953213,Robertus van der Vorst
956336,Ricardo Valdivia
973893,Ricardo URIBE VARGAS
974702,Richard Frederick Voss
975177,R. Vanlangevelde
977519,Rui J. M. T. Valadas
983709,Rimas Viselga
984728,R. Viswanathan
990952,R. r. Vanfleet
993001,Regine W. Vroom
1006862,Rob Vreeker
1013664,R. VISHWANATH
1014364,R. W. Vook
1024143,R. W. Vest
1035714,Robert L. Vienneau
1043171,Rob Vreeker
1055172,R. Vetter
1061009,Richard C. Vernon
1069993,Rein Vos
1073946,Rimantas Vaitkus
1076501,Renata Vieira
1077595,Ranko Vujosevic
1078828,Representation Noor Van
1087601,Rob Vreeker
1090292,R J M van de Veerdonk
1094171,Robert H. M. Van Veldhoven
1095836,Rodney D. Vanderploeg
1096632,Rajanikanth Vadigepalli
1103687,Richard J Varey
1115141,Rodolphe Vuilleumier
1119301,Ranga Vemuri
1122505,Richard L. Venezky
1123254,RAYMOND L. VEENKANT
1123493,R VANGRONDELLE
1132090,R. F. Viotti
1141853,Ricardo Vilata
1148490,R. Vicen
1156503,R. e. Va
1164635,Robert J. Vanderbei
1169232,Roberto Antonio Vazquez
1174969,Rimas D. Vaisnoras
1176159,R. Vaidyanathan
1180346,Reinaldo A. Valenzuela
1184583,R. Verdolin
1184749,R. n. Vrtis
1193143,Robert L. Vaught
1207099,Richard J. Viken
1219648,Rehabilitation Robots Versluis
1220983,Randall Harry Victora
1229856,R. VETTER
1231334,Roberto Valentini
1244216,Robert Vautard
1258095,R. D. Vardeman
1270354,Raman Venkataramani
1277113,R. Valeggi
1281936,Ricardo Vig¨¢rio
1282617,Richard H. Veith
1289732,Ralf Vogel
1299763,R. Vaisnoras
1307279,Rigoberto Carbajal Valdez
1313277,R. M. Vasu
1325358,Reportrapport Verificatio
1329834,R. S. Varqa
1345251,R. Venkatesh
1351574,Romulus Dan Vlasie
1355452,Richard Hoagland Virginia
1364977,Ross E. Vaughn
1378842,R. Vatne
1378944,Rency S. Varghese
1381831,Roel C. De Vrijer
1387353,Rivarol Vergin
1394390,Rao Vemuri
1398333,Raghu Vallurupalli
1419428,Robert E. Veiga
1432039,R. Vanderby
1433186,R. Valentine
1439511,Renate Valtin
1440160,Rimantas Vaitkus
1456297,Richard W. Vuduc
1458991,Ramachandran Vignesh
1461328,RUSSELL L. DE VALOIS
1468119,Robert Venturi
1470767,Rule based Approach Vernika
1472259,Ravichandar Vaidyanathan
1475386,R. Vilsmeier
1490980,Romain Vuillemot
1494091,Ramiro Velazquez
1502836,Richard Varey
1506040,Rob Vreeker
1514524,R. A. La Violette
1516436,Rolf Verleger
1528293,Roberto Vivo
1537743,Radhaselvi Venkatesan
1546170,R. Valtonen
1558148,R. Paul Voroney
1559370,Remco de Vries
1561030,Robert D. Van Valin
1625268,Robert D. Vincent
1629676,Rudolph R. Verderber
1632283,ROBERT J. VANDERBEI
1638979,R. c. Vogel
1648623,Renu Vig
1648993,R. r. Vemuri
1654433,Rolland Vida
1660482,R. Vishnoi
1664635,R. Vijayaraghavan
1667021,R. Vandewalle
1682094,R VANGRONDELLE
1702740,Rob J. H. M. van der Veeren
1723849,Rolf Vogt
1743153,Robert E. Verrecchia
1758617,Roberto Antonio Vazquez
1763619,R. Vandriel
1768354,Rossano Vergassola
1772484,R VenkataSubramanian
1779864,Ron Vreeker
1782318,R. Vaarandi
1783524,Radhakrishna S. Valiveti
1786331,Roberto Valle
1794114,Rodrigo M. M. Ventura
1802064,Rustam M. Vahidov
1802915,Rodica Voicu
1804236,R. de Vogelaere
1831098,Ravi K. Venkatesan
1834629,R. Versari
1836930,Romain Vuillemot
1847722,Robert St?ark. Call by value
1851990,Russell Vaught
1852661,Renza Vento
1852675,Robert J. Valenza
1888893,Rajiv Vaidyanathan
1917859,Ravi Varadarajan
1919312,Richard J. Varey
1935685,Ricardo Vilalta
1942887,R. P. Vallone
1947693,R Volkel
1967227,R. Vlach
1972387,Rob Vreeken
1980039,Ram Venkataraman
1982061,R. de Vries
1992057,Robert Vero
2004590,Riccardo Valdettaro
2018286,Robert J. Van Vark
2018303,Ramakrishna Vetury
2031060,Richard W. Vuduc
2043307,Robert C. A. M. VanderVorst
2048881,Roberto Vezzani
2058466,Raul Moreira Vidal
2067440,Rolando E. Vega
2070813,R. Venturelli
2085649,R. Vrijen
2087830,R. Vollmeyer
2089251,Roberto López valcarce
2091624,Rob J. H. M. van der Veeren
2097418,Rudi Vander Vennet
2100466,R. A. Venters
2103179,R VANGRONDELLE
2104801,Robert Vojak
2106058,R. F. C. Vessot
2106262,Rob J. H. M. van der Veeren
2108467,Regis Vaillant
2130133,Rudi Vernik
2130833,Raymond S. VanderBok
2138808,Rafael Veras
2173089,R. j. Van Der Vleuten
2176188,Radek Vingralek
2178975,Ralph Vandusseldorp
2213523,RAM L. P. VIMAL
2213601,Richard M. Venable
2228004,R. Villanueva
2228287,Rue N. Vauquelin
2228607,R. w. Vogel
2231215,R. C. Varshney
2232264,Rodolfo Villarroel
2239914,Rangarajan Vasudevan
2248396,Rudimentary Uml Virtual
2259266,Richard W. Valachovic
2260968,R. C. Vaughan
2266331,Renata Vieira
2276733,Rob van der Veeren
2280509,Rex W. Vedder
2281896,Ruth De Villiers
2291807,Ricardo Vilaca
