26040,Urmas Valdek
294976,Umesh Vazirani
310742,Université De Versailles
414487,Universite de Marne la Vallee
511443,Ulrich Vollmer
512759,U. Vazirani
527293,Urska Vrhovsek
599956,U. Veismann
633768,U. Volland
760337,Uwe Volckers
788805,Urska Vrhovsek
850633,Universitat De Val`encia
892998,Ugo Vaccaro
919791,Ulrike Vogelgesang
950796,Universit'e Paris Vii
981198,U. Valbusa
1030754,Urska Vrhovsek
1032980,U. E. Vincent
1156885,U VANSLOOTEN
1242102,Unmanned Air Vehicle
1262496,Uld Version III ibm Vienna
1302581,Uchechukwu E. Vincent
1346769,Uzi Vishne
1472756,Ubbo Visser
1509240,Umesh V. Vazirani
1512993,Universit`a Di Genova Via
1556686,Uresh Vahalia
1721641,U. Villano
1743127,Uw Vlsi
1849714,Usa Marvin M. Chun Vanderbilt
2088716,Universit'e D'evry val
2195507,Urska Vrhovsek
2202977,Urska Vrhovsek
2284201,U VANSLOOTEN
