7434,Diane Wilson
7915,Dirk Walther
8075,Deirdre Wilson
13917,D. De Wolf
15263,D. d. White
15653,Daniel C. Weeks
22573,Dina Wonsever
24182,David Wipf
28858,Daniel Wolfenzon
32689,David L. Waltz
33305,DANIEL VAN WASSENHOVE
35559,David Francis Walnut
43764,D. G. Willard
51742,David R. Wille
54108,Dieter Walz
55668,Don Wells
57006,David Ian Woodward
67651,Da Wei Wang
70111,Diane G. Wooley
74187,Duang Rudee Wonglumsom
79129,Deborah H. Walton
79769,David C. M. Wong
86493,David C. Wyland
87934,Damien Watkins
93679,D. De Wachter
94537,David L. Wehlau
94593,Daniel I. C. Wang
97860,Douglas R. Worsnop
104663,Daniel Weill
104834,D. Wessel
114142,D. j. Wilcox
119834,Duncan Whyatt
128194,Denis Fernando Wolf
128573,D. C. Whitehead
130730,D. P. Whitmire
133825,D. G. C. Walbridge
133934,Deliverable Appendix Written
138323,D. r. Wehner
138341,David Wentzlaff
146503,David M. Weimer
149888,David Welchew
159698,David L. Waring
161024,Dan Weber
163072,David Hyland Wood
164365,David O. Wren
168177,Der lor Way
172466,David Wu
180858,Dedicated To Wolfram
188988,Darryl J. Wrest
189849,David Wiley
190396,David Wilhite
193222,Douglas L. Wendell
195177,DANIEL S. WALSH
196394,Drew Wingard
196995,D. Weidner
197377,David Walker
198189,Don W. Weissenburger
198887,Dianne Watters
200275,Deirdre W. Wheeler
201725,Duncan Weathers
203482,Dc Winder
206427,Darren B. Ward
211842,Damien Wilmann
219065,D. o. Welch
220581,David Wooff
222369,Dao wen Wang
224247,David H. Weinberg
225435,Daniel L. B. Winkelman
225479,Dave Wooldridge
230215,Daniel J. Weyer
234003,Dajun Wang
237704,Dao Wei Wu
243131,D. A. Weber
247312,Douglas Wright
251143,Donald L. Waidelich
254310,Douglas A. Wardwell
257487,David Walsh
262519,Des Watson
264392,D. Walls
268717,Duncan M. Hank Walker
271310,D. E. Wood
277426,David Welford
280421,Douglas H. Werner
300736,Ding Wu
304200,Daniel R. Weinberger
313411,Daniel Watzenig
314261,Dan Wetklow
