908,M. Wojtowicz
1140,Michael Weisbach
2192,M. Wan
3404,Marcel Waldvoge
4583,Malcolm Waters
9504,Marie Wong
10646,M. A. White
14283,M. M. Wong
15989,Max Weber
16650,M. D. Wiesmeyer
20917,Matthew Wall
22989,Mark M. Wang
26624,Marilyn A. Walker
28786,Marco Wittmann
30244,Matthew J. Wakefield
30574,M. p. Wisniewski
31431,M. Wolters
34690,Multi rate Tdma Wireless
38768,Mark W. Williams
39768,Michael Werman
39826,Mohammad Sami Walid
46421,Ming Shae Wu
46706,Michele Wich
50417,Michael S. Weisbach
53418,M. J. Woltring
54437,Man hon Wong
56686,M. Weiss
64396,Matthias Woltering
70472,Margaret M. West
75178,Marjan W. van der Woude
77456,M. Woertz
79952,M. Weisbrod
80160,M. Wechs
82659,M. Wineberg
83768,M. S. Westphall
92702,Mohamed Mahmoud Abd El Wahab
93532,Moritz Wende
97517,Michael Wheeler
99314,Michael Westergaard
103084,M. Wichers
104010,Moira Wells
111854,Ma Weiming
112672,M. Wuilpart
114221,Milton K. Woo
118556,M. Wehner
118695,Michael D. Wilson
118944,Martin Wicke
121209,Matthias Wiesmann
127867,M. H. Wong
130551,M. Wancerz
132070,Melinda Wharton
133867,M. l. Willis
134856,Michael A. Wirth
134954,M. Wiser
135010,Marcin Wolski
138546,Matthew E. J. Wood
139521,Michael Wu
143258,M. Wolter
151716,M. Wajim
154210,M. Wusthoff
158932,M. Fanty L. f. a. Wessels
164878,Michael D. Wilson
169625,M. R. Waszak
171328,Max Weber
171465,marcy Whitebook
171917,Marco Winckler
171991,Matthew L. Welborn
173001,Matthias Witt
174423,M. A. Wallach
174511,Michael Walfish
174549,Martin Wachutka
176875,Michael D. Weiss
177517,M. Willatzen
177661,Maurice V. Wilkes
178679,M. g. f. Wilson
182173,Mao jin Wang
185958,M. Wise
186149,Michael L. Wiggins
187013,Michael D. Weiss
187356,M. Whitmore
199315,M. F. Webster
200387,Michael Wolf
202337,Martin Winter
205641,M. Wechsberg
217288,Mark Walkley
217379,Marcel Waldvogel
217940,Maria Womack
218448,M. Weyer
221598,Mark G. Wolfire
223136,Mike Wozny
227860,M. Z. Wu
236890,Markus Werner
242947,Ming Wang
243735,M. S. Weiss
245226,Monika Woszczyna
248947,Miles Wilkins
248987,Marc Weber
253074,Measurement System With
256564,Martin Weckerle
261774,Michael M. Walker
262724,Malcolm Wilson
265987,Martin Weber
267497,Marvin C. Wunderlich
267515,M. R. J. WYLLIE
270266,Mark Weder
278019,Mitchell F. Wyle
279267,Marceli Wein
281403,Manfred Weiler
282305,Michael Waldman
283787,Murray Wood
285762,M. P. H. Weenink
289368,M. GORDON WOLMAN
291851,Matthew K. Waldor
293489,M. W¨urker
295617,Mats Waltré
296448,M. Weiser
299378,M. Walther
300398,M. E. Knutt Wehlau
301141,Mau Lin Wu
304687,M. G. Wade
305830,Mario Werneck
307058,Matthias Wolff
307343,Mark Watson
309680,M. E. Wiegand
309996,Mingliang Wei
313215,Michael S. Wolfe
318293,Mark K. De Weger
321320,M. Wei?
322235,Michael Winkler
326312,M. Wakeley
326773,Mason Woo
329413,Markus R Wagner
337124,Moira A Wilson
340602,Massimo Warglien
344443,M. H. Wu
347648,M. N. Abdel Wahab
348725,Marilyn Domas White
350771,Martin R. Waszak
351092,Mike Williamson
352780,Michael H. Wigler
353415,Microsoft's Net Web
353703,Marty G. Woldorff
357801,Martin Wolf
358661,M. F. Wesela
362285,Mike Whitfield
365859,Michael W. Wolff
366834,Moritz Grosse wentrup
369457,Martin B. Van Der Weyden
370332,M. Rahmat Widyanto
371650,Mark Wolfson
379597,M. J. Wooliscoft
387448,Matthias WERMKE
391993,Matthew W. J. Webb
394888,Mary C. Whitton
396745,Mark A. van de Wiel
401922,Marek S. Wartak
407143,Molly Wilson
415695,M. Wing
417552,Marian G. Williams
417690,Mark L. Winston
421911,Magnus Willander
428830,M. A. Wongsam
439748,Monique Winters
441291,MARGARET A. WHITNEY
443117,M. Wolf
443454,M. F. Warlum
448274,Michael W. Wiemer
455104,Mike W. T. Wong
455328,Marsha N. Wittink
456550,Mort D. Webster
457247,Matt Webster
458095,Management Kuansan Wang
461682,Matthew R. Wordeman
463387,Mark C. T. Wilson
464612,Mireille Weijers
471979,Masayo Wakabayashi
474052,Manfred Wurz
475020,M. D. Wohlers
482717,M. D. Wilde
483371,Michael W. Whitt
492379,M. p. Wortel
497223,Michelle L. Wachs
498044,Michael E. Wyde
501249,Mitch Weintraub
503737,M. Wall
504231,M. Wurzel
504275,Margaret M. Wiecek
505910,Mark Wahrenburg
508777,Martin L. Weitzman
509535,Michael Willis
510403,Michael Weinberg
512580,Masataka Watanabe
514439,Mike Worboys
516636,Mingming Wu
520019,Marjory F. Weiss
526215,Michael T. Williams
535308,Multilevel Window
541610,Manfred Warmuth
550147,M. c. Weisskopf
550282,Mark Ward
552325,Martin Wibbels
552349,Michael P. Wright
557413,M. I. Wanas
558856,Matthew Whiting
563998,Michael D. Waters
564317,Markus Wasserschaff
569620,M. Wald'en
569825,M. Worobey
570854,Mark Whitsey
575022,Michael E. Weber
576876,Martin Waldburger
577253,Monica Zubritzky Weiland
580803,Michael Wagner
582392,Marc Waelti
583752,Mark Woon
589468,MARY P. WINSOR
597004,Michael Weber
597830,Mireille Weijers
598115,MICHAEL WINTON
598140,Margaret E. Daube Witherspoon
599815,M. L. Waugh
609635,M. I. Weinstein
620701,Matthew Wingate
626226,Marc Weeber
628602,Michael P. Wiper
629158,Michael Weiss
630342,Michael A. Wooldridge
632055,M. Warmuth
637655,Mary L. Westbrook
639626,Martin ForsterMartin Walsh
641580,M. R. Whalley
649606,M. Whindham
652507,M. Weidenbach
653253,Ming Hsien Wu
653534,M. G. Windal
657716,Manuel Wasinger
661758,M. J. Werner
667871,Marinus P. N. van Wesenbeeck
668909,Marsha N. Wittink
669059,Michael R. Williams
669420,Matti Weckstrom
672777,Michael Wandel
674206,Marian Wagner
677243,M. d. Wu
679612,Martin Wehr
680834,M. KEITH WILKERSON
688158,Marcel W. Wijlaars
695374,Michelle J. White
699968,Mahmoud M. Noor Wali
703553,M. Wyler
703791,Michael J. Werter
712922,M. Worsman
716415,Michael J. Winckler
716435,Mingchang Wang
716672,M. Watson
719419,Matthew Y. Wang
719887,Maurice V. Wilkes
720485,Meng Fan Wang
721101,Marcus O. Watson
721283,Markus M. Wenzel
728547,Michaela Wenzlaff
733213,Marvin White
737308,M. A. Winter
737659,Martin Wohl
738938,Mieke Weegels
741853,M. W¨ahlisch
743956,Matthew West
762968,Martin Whittle
765714,Michael Woodworth
773517,Mattias Wennstr
775908,M. Wieler
777976,Mark J. Wierman
780184,MATTHEW K. WALDOR
785742,Michael Yung Chung Wei
786260,M. Wösle
791851,Matthias O. Will
793473,Ming Mao Wong
794373,M. H. Woskow
795367,Merridee A Wouters
801063,Mark G. Wales
801516,Michael S. Weisbach
805114,Melanie Weis
806435,Miriam Windsor
809365,Miriam M. Wiley
810166,Mingzhong Wu
812480,M. A. Welsh
812661,Murray Wood
821699,Merridee A. Wouters
825853,M. L. Wolbarsht
827606,Maria G. Wadlow
827784,M. Won
831446,Malte Westerhoff
831916,M. Wilcox
834134,Martin BH Weiss
837836,Mayer Elihu Wantman
839656,Mitchell Whitelaw
841923,M. Mitchell Waldrop
844170,Michael Wimmer
844857,Mary Winston
851077,Mingfeng Wang
852037,Magdalena Wolska
852042,Mitchel Weintraub
866348,Margaret Ripley Wolfe
867339,Martin Weber
868180,M. w. t Wong
868718,Melinda Wharton
870693,Martin Wilkens
872058,Michael Wooldridge
874522,Ming Ming Wu
880004,Mark R. Woodroffe
881398,Matthew J. Weinstein
883623,Michael Wambsganss
893616,Mutsumi Watanabe
896558,Mireille Weijers
902777,Mark Winey
907670,Michael Yu Wang
919107,Michael Weber
923058,Markus Wagner
926568,Mark West
930808,Mei Cheng Wang
932747,Mark Witkowski
935537,Max Weber
942193,Marco A. Wiering
945852,Marie Levine West
947045,Marjan van der Woude
950355,Mark O. Wenig
952312,Mark G. Wallace
954737,M. A. Wolfe
955241,M. Wiesinger
960821,M. T. Walter
961152,M. Wakita
965790,M. Weingarten
967785,M. M. Wasko
969789,Michael J. Wiltberger
973048,Myrna Holtz Wooders
977878,Michael T. Weber
979951,Michael W. Watzke
988207,Marc M. Wefers
989640,Markus Wacker
989993,Mark Bennett Williams
994969,Martin Witting
999011,Maurice Wilkes
1012297,Mantissa Bit width
1012552,Matthew Walker
1013533,M. T. Wengler
1014912,M. Wewel
1015251,Marnix C. M. Weusten
1016783,M. V. Wilkes
1017555,Mark J. Willis
1020567,Mark Wilson
1021710,Marc Waldman
1023910,Max Wardetzky
1026635,Michael Wilson
1035584,Mick Wallis
1043067,Mariusz Wodzicki
1044188,Martin T. Wells
1047498,Michael Nlle Wolfgang
1048275,M. Wentink
1048981,M. Wisniewska
1049240,Maurice V. Wilkes
1054857,Michael J. Wooldridge
1060108,Meng Chyi Wu
1063141,M. Wraga
1065926,Michael L. Walker
1068318,Michael J. Ward
1068685,Michael Wellman
1069899,Martijn Van Welie
1070542,Mark A. Wicks
1073677,Martin Walker
1074694,Michael A. Weintraub
1075661,Mathias Winterhalter
1075884,Matthew J. Walker
1077568,Mary K. Wicksten
1077793,Mu zhong WANG
1084107,Martin L. Weitzman
1088587,M. D. Woodley
1092820,Michael B. Walters
1099205,Mats Wiren
1099945,Martin Wessner
1101051,Mark Allen Weiss
1102101,Marten H. Wegkamp
1108935,Michael Wasson
1111041,Mabel Wong
1112517,M. Weidemuller
1113095,Mieke van Wijck
1114882,Ming Sheng Wang
1114938,M. Waroquier
1117241,Mary Mcgee Wood
1118405,Mike Welcome
1120845,Michael Wurm
1122692,M. Walker
1123681,Michael D. Wasserman
1123709,Mija M. Van Der Wege
1124241,Mark Warschauer
1128211,Matthew Wolenetz
1137692,Mariusa Warpechowski
1146548,Manfred K. Warmuth
1148575,Martin Wattenberg
1157143,Michael Winklhofer
1160063,Matti Weckstrom
1167837,Mang Hui Wang
1169112,Michael J. Wester
1169157,Myrna Wooders
1169953,Masashi Wakamatsu
1170282,Malcolm Williamson
1171516,Michael Wottawa
1171647,Michael Waterson
1177300,Marnie Wheatley
1183479,M. Waldner
1184492,Miao ling Wang
1188977,Man yuen Wong
1193493,Matthias Wolfrum
1195781,Mark Wistey
1201550,Michael Drmota Wojciech
1206293,M Wilinska
1209345,M. S. Willet
1212017,Miroslaw Wlas
1212924,Marx Wartofsky
1220633,M. Waltham
1225189,Matthias Wilm
1225271,Mechtild Wallrath
1225603,Mark W. Wiggins
1226602,Matthew C. Wyant
1232496,Max Weber
1235302,Margaret Taylor Wooley
1236819,Malcolm A. Weiss
1237412,Michael Weber
1239544,M. D. Werst
1242256,Merrill S. Wise
1244076,M. Q. Wang
1245844,M. K. Warby
1248729,Machiel Westerdijk
1248871,M. Watson
1251528,Michael Weber
1251933,M. a. Wickett
1254563,Matthew C. Wiener
1255339,M. E. Wadsworth
1257894,MARK WIMAN
1259152,M. Wataze
1262466,Mingjun Wei
1262548,Michael J. West
1263363,Mattias Wennstrom
1264905,M. Wolfshtein
1265373,Mario Wolczko
1266444,Matthew K. Wright
1268223,M. P. Weidman
1272701,Mohd Helmy Abd Wahab
1278201,Matthias Wimmer
1282935,Mike K. Weisberg
1284561,Matthew Wood
1285963,M. B. Woods
1288483,Markus Weinhardt
1290829,Marvin Whiteley
1294050,M. WOOb
1294637,Michael Wigler
1301358,Mark J. Weal
1304046,M. Weislogel
1305584,Mark Ware
1307270,Mike Williams
1308371,Mary C. Whitton
1313280,Markus Westphalen
1313885,Mary anne Williams
1320017,MARK H. M. WINANDS
1321214,Markus Will
1324438,Marc Waelkens
1325000,Martin Wunderli
1325629,Mingming Wu
1326866,Marianne Wurtele
1328833,M. D. Wybo
1329171,Max Weber
1337111,Michael B. Walters
1337261,Martin Wurzer
1340337,Melissa Wiggins
1344050,Markus Wild
1347700,Martin Weigel
1349066,Marion Wiesmann
1350784,Michael Walsh
1354745,Mike Webb
1355860,Makoto Waseda
1362000,M. H. Wigler
1364313,Michael Wachter
