1324,Paul Willmann
2894,Philip Warren
11877,Patrick D. Wolf
12660,Paul Wouters
24086,P. Wentges
33701,P. Wan
33798,Pieter Walstra
39133,Patrick Henry Winston
55042,Peter Waldow
62331,P. Wroblewski
63594,PER OLOF H. WIKSTROM
71138,P. k. Watson
71899,P. Pernambuco Wise
75266,Paul Williams
76915,P. Watt
77179,Pieter Van Winsen
79527,Priyank Ramesh Warkhede
84325,Peder Worning
98195,Philippe Wegner
101806,PW Wilson
104446,PETER WAGNER
126248,P. O. H. Wikstrom
142695,Paul F. Wysocki
143689,Peter Y. H. Wong
146848,P. S. Wyckoff
147293,Peter Weiflgerber
156798,P. Wellstead
167422,Pierre Henri Wuilemin
167607,Per Willenius
181981,Peizhong Peter Wang
182485,Ping Wu
194254,Priyantha Wijayatunga
195486,Pd Wilson
200033,Peter Wolynes
202007,PETER WALLEY
218568,P. J. Wierenga
222579,Peter H. J. Wolfs
233359,Paul N. Weissler
238330,Peter Wilders
247746,Peter Wilikai
251172,P. F. Wilk
254192,Pei Pei Wang
254400,P. K. A. Wai
263681,Planning Workgroup
265191,Peter J. Wilcoxen
266409,Paul Cockshott Wpc
279745,Patricia A. Wenner
279925,Peter Wilf
290847,Peter Willet
300138,Protocol For Wireless
309330,Paul Watson
312015,Paul Conal Winters
312325,Pawel Wozny
321079,Parris S. Wellman
335855,Peter Wakker
338572,P. Weiterstein
339649,PER OLOF H. WIKSTROM
346618,P. C. Wason
348358,P Wenham
360967,Peter Wakker
368480,P. Waker
371702,Paul Witherell
384225,Paul Webster
389966,Pierre H. Woerlee
401139,P. van der Weide
402705,Philip Whiting
410277,Patricia S. Worthington
415659,Peter B. Winson
418674,Pei Kuen Wei
433260,Paul R. White
438956,Perry F. Wilson
441481,Paul N. Worsey
444656,Phillip Wolff
449848,Peter L. Wizinowich
452635,P. A. Wilford
460595,Per Ake Wedin
482955,Pierre Wellner
488413,Peter Williamson
489059,Patrick H. Worley
489106,Patrick M. Wood
490543,Petra Wohlmacher
504986,Peng Wu
506517,Per H. Westby
519380,Peter Wavish
519486,P. w. Webb
521651,Ping Chuan Wang
527441,PAUL WHITE
532419,Paul Wouters
532816,PATRICK J. WALSH
541487,P. Wasilewski
542845,Paul J. Wahlbeck
552950,Parkson Wong
556288,Philip A. Wilsey
564551,P. A. Weiss
581958,Peter D. Washabaugh
587341,PATRICK CHIU YAT WOO
594036,Patrick Wincker
594714,Patrick Wong
595717,Perry Williams
597656,Paul E. Wakely
615995,Ping Kong Alex Wai
616507,Paul Weene
624366,Peter Wakker
638214,Philip Woodall
645455,Philip Winterbottom
649402,Patricia Woolf
655897,Peter P. Wakker
666128,Paul Walther
669636,Peter Weissgerber
681854,P. Theorems For Free Wadler
692277,Paul O. Wennberg
695669,Paul S. Wesson
699627,PETER WEISS
702059,Patricia Te Arapo Wallace
705534,P. Wallich
731592,Philip H. Winne
733501,P. Wodon
734754,Pm Wise
740452,Paul P. Wang
741236,P. Ed Wegner
753774,Paulo Roberto Wille
758327,Paul F. Whelan
759632,P. White
761856,P. Wolfram
762329,Paul M. Weaver
770573,Pat Walls
772334,Paul Woskoboinikow
773506,Peiheng Wu
773641,Ph. Walrave
787098,Paul Winser
788985,P. Windle
795062,P. Li Kam Wa
804725,Peter Walden
812223,P. I. Williams
827712,Phil M. E. Waite
833379,Paul Wernick
835476,P. k. Wang
836086,P. Watson
838892,Piotr Dembiski Warszawa
842835,Peter W. Wolniansky
847304,Paul Waldo
865660,Paul Witherell
872712,P. Walstra
879241,Patrick Henry Winston
883124,Peter L. Williams
894655,Poh Kam Wong
897931,Peter Wittenburg
899873,Paul J. Werbos
910443,Paul J. Wagner
913823,Philippe Waelti
916122,Peter D. Wall
921825,Peter Wendt
931283,Paul Wojcieszak
943014,Peter Y. E Wu
946037,P R Woods
951899,Peter R. T. Wood
956498,Pieter Walstra
957201,P. Wortley
964419,P. J. D. Weeks
977699,Philip Wraith
983410,Philip Wolfe
988502,P. Warriner
988821,Peter J. Whitehouse
992711,Pierre Wolper
994855,Peter Warnecke
1003678,Pepper Williams
1007872,Pauline A. Wilcox
1008780,P. F. Wacker
1013233,Ph. Wolfe
1020531,Patrick Wilson
1029366,Philip A. Wisnewski
1039271,Pal Weihe
1043043,P. Wach
1052339,P. Willich
1061035,Peder Wolkoff
1072867,Per Olof H. Wikstrom
1073465,P. De Wolf
1077137,Peter S. White
1086414,Paul F. White
1086703,P. Wocjan
1095020,Per Weijnitz
1095817,Po Hao Wu
1097656,P. r. Wickliffe
1098752,Philip Willis
1102935,P. h. Wiebe
1114103,Patrick Wagler
1114322,Pavel Winternitz
1118971,P Wasserman
1124662,Phillip L. Williams
1126966,Peter Wyatt
1129411,Pierre Wodey
1131431,Peter Walter
1135139,Prof. Yingxu Wang
1141639,P. Womack
1149871,P. A. Wright
1152486,P. Webb
1174478,Phillipa Watson
1174848,Pierre Wellner
1186335,P. Wapperom
1192898,P. O. Wayland
1195237,Paul R. Woodward
1199112,Peter J. Wheatley
1200346,P. Weihrauch
1200732,Preference Elicitation With
1204744,P. A. Walterson
1205959,Peter Wilke
1208252,Ping kong Alexander Wai
1212121,P. J. Walsh
1212318,Patrick Wang
1221888,Patrick G. Webster
1241015,PAUL JOSEPH WALMSLEY
1243354,Pengyue Wen
1244003,Pascal Weil
1245217,P WALSTRA
1245537,P. Weythrauch
1249376,Patrick D. Wolf
1259816,Paul A. Warburton
1260992,Per A. Weinerfelt
1268213,P. Woodall
1270796,P. West
1273437,P. S. Walker
1274159,P. J. Y. Wong
1302192,Paul J. Withagen
1306305,Peter Wendorff
1310841,Peter Whaite
1312377,P. J. MacVicar Whelan
1313398,P. E. Wigen
1330397,Peter A. A. F. Wouters
1347586,Personalized Adaptive Web
1347819,P. Walker
1348237,Pawel Wiatr
1348615,Paul Wood
1348838,Paul Wouters
1354115,Patricia E. Wirth
1357989,Pantung Wijaya
1364253,Paul Wilmarth
1384154,Peter. Weill
1388249,P. F. Wercinski
1389768,Peter M. Winkler
1396700,Peter Wenner
1400651,P. Whiting
1400866,Patrick Henry Winston
1410947,Peter J. Werkhoven
1415516,P. A. P. Wendhausen
1419858,Petra H. Wirtz
1421055,Patrick Wagstrom
1423231,P Wilding
1429340,Peter Wallmeier
1430233,Patrick White
1430298,Philip Warwick
1430516,Paul Worthington
1431608,Pieter Walstra
1436089,Piotr Wozniak
1437534,Peng Ye Wang
1439176,Patrick D. Wolf
1460316,Patrick Shen Pei Wang
1462202,Peter Wilkins
1469496,Paula V. Welander
1471175,P. B. Whalley
1471667,Peter H. M. Willemsen
1472450,P. Wolf
1478428,Phil Winterbottom
1478846,Patrik Werle
1488986,Peter J. A. Waddell
1491192,Peder Wolkoff
1495834,Peter H. N. De With
1506555,Paul D. Whitney
1510478,Phillip Jason White
1513615,Pawel T. Wojciechowski
1516793,P. Wira
1516880,Priya N. Werahera
1517311,P. N. T. Wells
1517586,Philip M. Woodward
1519915,Pauline E. Ward
1520671,Paul H. Wittke
1521363,Patrick Whitney
1523492,P. G. Woodman
1533567,Peter Wide
1538479,Peter Wilson
1539846,Peter Winker
1544704,P. Witomski
1547926,P. K. Wooster
1552328,Pieter Van Der Wolf
1560883,Peter Weber
1564376,Paula Winans
1570659,Pramod P. Wangikar
1571686,Pamela J. Woods
1585500,Peter T. H. Wong
1590385,Peter S. White
1591925,P. Wagh
1599054,Peter Weiner
1605915,Peter Shirley Changyaw Wang
1613754,Ping Fai Wong
1613880,Patrick Wirz
1617371,P. Wuechner
1623831,P. Waudby
1628407,Peter K. Weyl
1629036,Priscilla Wang
1632737,P. Westerhuijs
1648900,P. W. Wheeler
1648941,P. Wojtowicz
1650613,Paul Walsh
1650840,Peter C. Wainwright
1651883,Peter Wriggers
1652070,Peter H. Westerink
1654843,P. L. Worthington
1655156,P. l. Woodworth
1655341,Patrick Wuchner
1664227,Peter T. Waltenberg
1666176,P. Wormington
1677929,Paul Weiler
1681250,Paul Wells
1687673,P. v. Wells
1689915,Peter J. Weinberger
1700655,Peter J. Wyard
1702150,Pamela J. Waterman
1703667,P Wegenkittl
1713304,PHILIP C. WILLIAMS
1722715,Phillip L. Williams
1738639,Putting The Web
1754754,Peter Walley
1759076,Pieter Walstra
1761846,Peter Wust
1776011,P. a. w. Walker
1776746,Prasad Yendluri Webmethods
1788487,PETTER WIBERG
1796663,Peter Walley
1799056,Philip H. Warren
1800257,Peter Wanger
1802470,P. Wheeler
1803428,Peter J. Walker
1815423,Paula A. Whitlock
1817455,Peter J. Warter
1818036,P. Wagner
1820944,P. Walczak
1826771,Paul V. Werme
1832304,Po hao Chang Wooyoung
1844807,Peter Werelius
1850895,Peter G. Wolynes
1854249,P. Withington
1857069,Philip Wickline
1866416,Paul O. Wennberg
1874526,Philip R. Westlake
1876238,P. Wachter
1877067,P. Wright
1889930,Phillip C. Wright
1900495,P. Wolniansky
1905744,Paul Wissenbach
1906630,Peter J. Winzer
1908349,Pawel Winter
1915432,Peter J. Whysall
1918646,Pathirage Gamini Wijayarathna
1919214,P. A. Withey
1923290,Patrick J. Wolfe
1940664,Pengcheng Wu Wuwu
1945199,P. Duane Walker
1948849,P. Waldenberger
1949166,P. b. Wong
1953811,Pawel Wozny
1963194,P. Wong
1970507,P. Wolper
1970936,P. Worfolk
1991330,Patrick Wambacq
1996964,Peter M. Winkler
1997529,Paul Stefan Williams
1998073,P. WALSTRA
2006537,P. A. Wade
2027856,Paul A. Warburton
2041739,P. Wankat
2042524,Plettenberg H. WOLF
2044884,Piran C. L. White
2066897,P. Waldteufel
2066985,Perry H. Wang
2070576,Peter P. Wakker
2072786,P. Walstra
2073007,P Walstra
2076049,Pete Whitelock
2076517,P. Wen
2079283,Patrick Wong
2081101,P. Wei
2098364,P. F. Wysacki
2102975,Peter Johannes Wild
