2169,Timothy S. Wilkinson
3152,Tobias Webel
3876,Tomas Werner
5086,Takahiro Wakao
13792,Titus Weider
15190,T. Wasilewski
20164,T. w. Webb
28439,T. J. Walters
31776,Theresa L. Windus
34999,Thomas Wasow
36689,T. Wiedman
36781,The Uniform Workbench
41697,Tsugihiro WATANABE
47115,T. T. Wilheit
49667,Thomas Wisniewski
50237,Till Westmann
60904,Thomas Wirth
86157,Tao Wang
89202,Trena L. Wilkerson
93913,T. Waish
94164,Thorsten Werther
100408,Thomas F. Wenisch
101401,T. Wichert
104919,TSUKA WA
107020,Ta Sun Wu
108383,Thomas S. Wikman
115264,Timothy C. Warburton
116844,T. Weis
123123,Teh Yee Whye
123308,T. Worz
125799,Tom'a S Werner
143367,Trevor D. Wooley
149019,Towards Characterizing When
150339,Tandy Warnow
150590,THEODORE L. WILLKE
178417,Tanja Weller
179323,T. Wada
187047,T. Welsh
191959,T. N. Washburn
197666,Thais Webber
198022,Thomas WIEDER
201543,T. Wallace
207564,Thomas J. Webb
213587,T. Winkelmann
216487,Thomas Wieder
218243,Tom S. Wailes
220622,T. H. Wu
231412,Tim Wilson
235998,Timothy A. Wheeler
239558,Taeha Woo
242631,Toon Witkam
245430,Theresa Wilson
247097,Thomas P. Weldon
255816,T. K. S. Wong
257530,Tilman Wolf
258464,Tim Watson
261657,THEODORE G. WEYAND
270198,Ting Kai Wang
271476,T. Wilderotter
272824,TREVOR I. WILLIAMS
273555,Thomas Willwacher
284799,Techmk Und Wzssenschaft
287555,Terry A. Wilson
294898,Type Inference With
295695,Tim Wright
297416,Torbjorn Wiberg
307551,T. Wakayama
310643,This Research Was
315514,T. M. Whitin
318530,T. Watari
319441,Tanya Y. Berger Wolf
322379,Thomas R. Webb
323931,Tsai Cheng Wang
329409,Tetsuyoh Watanabe
336775,Torben Wiedenhofer
337435,Thomas Wolle
339699,Terry White
340195,Thomas A. Wettergren
342385,Thomas Daniel Wilson
344345,Thorsten Wichmann
372985,Tony Wong
389060,T. Wienold
