9689,W. S. Warren
11399,W. N. Wisdom
12077,William J. Williams
20832,Wendy Wang
32196,William H. Weedon
33652,W. A. Walls
41481,William B. Wright
41690,William Welch
48606,Walter A. Wohlmuth
50081,Wirtschaftsuniversitt Wien
54356,W. D. Wilkens
54418,Wei Lung Wang
56427,William C. Wheaton
65370,Walter Weigel
80765,Wei nong Wang
92831,William Ka Kei Wu
95226,W. V. Wickerhauser
100395,W. Warthmann
100501,Wolfgang Wein
101814,W. Eric Wong
102234,Walter C. Willett
113030,W. Weigand
115414,WILLIAM H. WERTMAN
125646,W. Wiener
129501,William J. Watson
141213,W. B. Weinberger
146879,W. Wiszniewski
147286,William D. Winn
148949,Werner Westerkamp
157840,Wales Kin Fai Wong
163335,Wilhelm Wundt
163361,Wheelwright S. Wheelwright
163496,W. Winkler
184718,W. Weihl
188896,Wahyu Wibowo
204843,Warren Weaver
209803,With Real time Wavelet
211876,Wendelin Werner
222266,W. R. Wisehart
226221,Wolfgang R. Wasow
226704,W. Weterings
229520,Wieslaw Wolinski
236480,W. Eds Willinger
238163,Walter W. Wierwille
238490,WEN BING WANG
239808,Wolfgang Weck
241548,Wei pu Xuhui Wang
252529,William E. Ward
266007,Wj Wilson
269070,W. Gordon Woodington
278336,Wg Wang
282064,William C. Wylie
282695,W. Wannasuphoprasit
283210,William A. Wolovich
287119,WENDY C. WOLF
289017,W. James Waldman
290870,William F. Wright
294314,W. Wiegert
294911,William A. Wulf
295526,W. d. Wood
307623,W. Wright
311786,Wit Wisniewski
314471,W. E. Woodson
323336,Wansen Wang
327111,W. Weterings
333619,Wayne C. Westerman
337908,Wery P. M. van den Wildenberg
350832,Wayne Wong
353994,Wai tat Fu Wfu
359943,Wen dong Wang
364259,Wendie Wulff
370253,Wei Wen
371396,Woontack Woo
377245,William C. Wheaton
377731,When I use a word
382466,William E. Winner
388588,W. Wierwille
390089,W. P. Watker
391884,W. M. Wonham
397653,Werner Wirth
405186,Wally Welker
411499,Wen kai Wang
417561,William C. Wynn
427748,Wireless Lan Wlan
432674,Waisum Wong
437877,William Watkins
445303,Wolfgang Wokurek
454122,Walter W. Wager
456350,W. Waller
458938,W. Allan Walker
459963,Wen Wu
461579,Washburn Stephanie Weirich
467883,W. J. Waganaar
471128,William Walker
471260,Whang zhong Wu
474224,W. Keats Wilkie
475967,William W. Wadge
496905,Wendy Waddington
497036,W. A. Wickelgren
497675,Wojciech Wasniewski
521144,W. Bradford Wilcox
537324,W. y. Wu
544086,W. Zagozdzon Wosik
550160,W. P. Wheless
558864,W. Wenning
561298,Wolfgang Weber
578428,Wei Kang Wang
580516,Willard W. Wilson
587620,William G. Wood
594550,Wenjie Wang
598028,William Wehrs
601951,Wolfgang Walz
602729,William Walter
602916,Walter Winkelbauer
604742,Walter C. Willett
607328,W. van der Wel
610438,William H. Wilson
615289,W. C. Wake
616275,William D. Walker
626701,W. A. Worstell
626869,W. T. Woo
630122,W. Whalster
643049,W. Weingarten
653131,Wery P. M. van den Wildenberg
655511,Wen Yang Wang
665682,W. Wolfe
667071,Wei Li Wu
668792,W. Williams
671183,Wujie Wu
675168,William M. Wichman
675828,W. Winiwarter
676910,W. Von Wahl
693067,W. A. Wensink
694451,W. L. Wade
703101,Woodrow Wilson
703894,W. E. Weml
719543,Walter G. Wilson
721799,W. Weisser
725123,Wayne T. Wilner
730404,Wen Fa Wu
731017,Witold Wegner
738022,Weihsin Wang
738062,W. Wen
739939,Wolfgang Weitz
740451,W. Wan
743970,Wataru Wakamiya
745416,W. Williamson
749978,William F. Wall
753129,William H. Wolberg
757060,W. D. Wallis
760989,W. Winckelmann
761257,Wg Whitford
776795,William D. Wollyung
781956,WARREN WECKESSER
791034,W. Richard Webb
796409,William K. S. Walker
809126,W. Watt
809871,William E. Walden
816830,Woontack Woo
824374,Weifeng Wang
833422,Wilbert Windeln
836174,W. James Waldman
853033,W. l. Woo
863247,William G. Wee
867532,Wubao Wang
867953,Warren J. Windels
868524,Willie R. Watson
877853,Wumin Wang
890438,Wee Chong Wan
892173,Wolfgang Wonner
893490,Wei Kung Wang
895307,Wolfgang Woess
902641,W. E. Weresin
914778,W. Wolff
928620,Wouter C. A. Wijngaards
932314,W. Witt
934218,William M. Wright
945607,Wayne Wobcke
947112,Will Warren
960068,W. L. Weeks
965935,Wai Chiu Wong
972428,Wei Chung Wang
976244,W. A. Wulf
994965,Willie Wu
1014858,Wilson X. Wen
1032275,Weichen E. Wong
1042404,W. Whit
1042518,W. Wilbanks
1044087,W. Stephen Wilson
1045523,W. H. Wiesner
1049115,William R. White
1050172,W. Allan Walker
1055824,Walter C. Willett
1061818,William P. Winfree
1062778,Wei Hong Wang
1070398,W. X. Wang
1076644,W. Walkenhorst
1077632,Wilbert E. Wilhelm
1084588,W. Witko
1096163,Weifeng Wang
1099215,W. T. Weng
1101127,W. Walther
1104442,W. J. W. Welch
1108584,Wpi Worcester
1111792,Wing Lok Wan
1113706,Wibke Weber
1114803,William A. Wood
1118728,Wolfgang Windsteiger
1122568,W. Water
1124250,William O. Williams
1127727,Wayne H. Ward
1142885,WW West
1164132,W. s. Weiglhofer
1166049,Wai Choong Wong
1166177,W. Ward
1175428,W. Wagenaar
1176978,W. Wersing
1178874,W. Wheeler
1182382,Woon Yin Wong
1192708,W. Bradley Worthington
1200334,William E. Walsh
1201345,Wan Yan Wong
1202756,William T. Wood
1204097,W. Wigerinck
1204657,W. Waters
1223888,W. Murray Wonham
1226694,Willy Wriggers
1228247,Wendol E. Williams
1233195,W. Wilson
1239319,Wing Hong Onyx Wai
1241740,World Bank World
1254737,W Watson
1256851,William H. Wheeler
1257114,W. Weirauch
1261936,W. Wonham
1284227,Wolfgang Woerndl
1286048,Wei Chih Wang
1294517,Wubin Weng
1303006,Wei Chou Wang
1310042,Wun Der Wang
1324470,W. Whiteley
1332319,W. Weiguo
1338028,William J. Wiebold
1341916,Wilson Wong
1342430,Weng fai Wong
1352127,Wei Sheng Wu
1360299,William J. Whiten
1364294,Ward Whitt
1383489,W. Weng
1387770,Wim Wiegerinck
1389280,Weichao Wang
1399371,Wei Qiang Wang
1416920,W. E. Warner
1427814,W. Hugh Woodin
1431557,W. Wing
1437120,W S Wan
1442227,Walter Willmertinger
1444785,W. Woo
1462769,Walter D. Wallis
1469337,William A. Ward
1474048,William M. Wells
1476388,Wery van den Wildenberg
1478581,William Williams
1478705,Wenjie Weng
1484276,William E. Walker
1493253,William K. Wootters
1497845,W. L. Wendland
1498952,Walter G. Wesley
1513914,W. Walter
1518965,Warwick E. Wilson
1520103,Walter Willinger
1520935,Wayne Winder
1530611,Wagner R. Weinert
1534901,W. H. Wharran
1540362,Wen rong Wu
1546548,W. Win
1554156,W. Vincent Wilding
1570762,W. Webb
1575475,Wei Cheng Wang
1580666,W. Wawer
1582851,Wencheng Wu
1589321,W. L. Winston
1603208,Wai Yat Wong
1605429,William J. Weiland
1608483,Wilfred Hing Sang Wong
1611292,William E. Weideman
