51739,Georgios N. Yannakakis
111816,Ghassan Yassin
184068,Go Yamazaki
184146,George Yin
264424,George Yamoyany
266258,George W. Younkin
279167,Guan Yang
279410,GEORGETTE YETTER
307092,G. G. Yaratioglu
327308,Guang Yang
382012,G. Yoshihiko
393379,Guang Yu Yang
395945,Greg Yarwood
413908,Gary W. Yohee
418274,Gwo Lang Yan
436803,Go Yamamoto
448000,G. Alastair Young
449055,Gy Yang
477979,G. Ybarra
536624,George D. Yancopoulos
553116,Goichi Yokomizo
587855,Gong Tao Yan
604235,Gary W. Yohed
615831,Goksen G. Yaralioglu
705647,G. Michael Youngblood
743847,Gaku Yamamoto
775447,Gwo Ruey Yu
820647,Gun Chang Yang
834328,Greg Yarwood
839792,Gael Yvert
876894,G. Yukl
878905,G. Yang
896591,Guangqi Ye
968443,Geun Young Yeom
976667,George D. Yancopoulos
978480,George P. Yanev
1006763,G. L. Yang
1041084,Gary W. Yohe
1066981,Gideon Yoffe
1097551,Gwo jong Yu
1102208,Gary D. Yngve
1211768,Gab Seok Yang
1212235,G. Yeung
1212883,George Young
1222691,G. Yagil
1263556,Guowei Yang
1277995,Gen Hua Yue
1297458,Gwoing Tina Yu
1307181,Gary W. Yoke
1314631,Greg Young
1318568,G. S. Yadava
1356843,G. Yazaki
1428999,Geert Ysebaert
1497083,Ghassan Y. Yacoub
1505250,Golan Yona
1526619,Gal Ben Yehudah
1537591,George U. Yule
1540446,G. M. Yarkony
1558070,G. M. Yee
1569543,Gin Yee
1578679,Gokce I. Yayla
1588890,Gwo jeng Yu
1607254,Gregg R. Yost
1620623,G. W. Yu
1627081,G. Yanochko
1659627,Gang Yun
1664900,Gi Ho Yun
1698317,Guo Min Yang
1754234,Genane Youness
1765876,G. H. Yeoh
1801376,Gene J. Yusypchuk
1829023,Graeme P. Young
1836353,G. You
1849148,Gexin Yu
1868646,George P. Yanev
1890202,G. S. York
1891021,Guohui Yu
1955016,Gyuhan Yoon
1961816,Gloria Y. Yang
1963526,Ganning Yang
1993917,G. K. Yeap
2073185,GUO Min Yi
2110475,Gwang Sik Yoon
2128765,G. W. Yoon
2137618,Gregory K. Youngen
2179170,Gwoing Tina Yu
2243882,Guo Ben Yang
2261807,Guanhua Ye
2267954,Gitai Yahel
