22126,I. C. Yeh
23965,Ingrid Hsieh Yee
25715,I. Yonenaga
198174,Issa Yavariand
229808,Issa Yavari
318851,Itai Yanai
351473,Ian Theodore Young
369140,Il do Yoo
460019,Ilmi Yoon
528425,Ir Young
686204,I. M. Yurkin
700780,Irina A. Yehorchenko
747662,I Ping Yu
781128,In Young Yang
816827,Ichiro Yuyama
904839,Ibrahim Yavuz
910795,InSeon Yoo
911298,I S Yde
920007,In eung Young
935642,Irvin Ye
947906,I. Yaylali
987984,Ichiro Yamaguchi
1022343,In ki Yoon
1041086,Iwei Yeh
1108181,I. Yoneda
1151037,Ismail Yilmaz
1173233,I. K. Yoo
1192892,In sic Yang
1218661,I. Yahmadi
1303513,I?ing Yen
1331959,Ian A. Young
1353259,I. Yasuda
1366816,Itay Ben yaacov
1438608,I. Yamashita
1669092,I Ming Cheny Guilin Yangz
1701679,I. Young
1714572,I Ling Yen
1803524,Information Sources Yizhong
1811197,In Kwan Yuh
1816324,Insu Yi
1852544,Itheri Yahiaoui
1863307,I. A. Yazynin
1870810,Ihsan Yuksel
1896821,I. Ling Yen
1929553,I. Yoda
1946810,Iwao Yamazaki
2069558,Issa Yavari
2073054,I. Hakan Yetkiner
2079638,Irad Yavneh
2093114,I. Yu
2094152,I. Yagoda
2127412,In sang Yang
2144099,Itaru Yamamoto
2181054,Ibrahim Hakan Yetkiner
2217864,Ivan Yotov
