8790,Kun Hui Yi
46401,K. Yamasaki
65245,K. YODA
68286,K. Yam
72256,Kevin Y. Yip
80999,Kenji Yoshigoe
83525,Koji Yomogita
112100,K. Y. Yasumura
152359,Kwangkeun Yi
193700,Koichi Yamada
217903,Kai lun Yao
232635,K. Yanagawa
255252,K. t. Yan
260288,Kevin C. Yu
270764,Kazuki Yasumatsu
272313,Kazunari Yamamoto
273641,Kun Young Yun
278428,Kenji Yamamoto
282687,Kevin J. Yarema
296401,Koichiro Yonetake
307068,Kunio Yasue
324607,Kuk Jin Yoon
328233,Kohji Yamamoto
336896,K. Yata
338609,Kyung Lee Yoo
355462,Kun Yang
370199,K. Yonezawa
374245,Kyeonah Yu
380525,Kathy Yeliek
393556,Kuck Jong Yong
395617,Karl K. Young
399630,Kazuya YAMAMOTO
402023,Kazuo Yamamoto
411520,Ke hai Yuan
412717,Kenjiro Yamada
429264,Kikuji Yamaguchi
445819,Kazunori Yamamoto
471736,Koichiro Yamauchi
485653,K. Yacoben
489803,Kuo Chuan (Martin) Yeh
491089,Koujun Yamashita
508835,Kesong Yang
511718,Kenneth Ray Yeager
519082,Karim Younsi
534744,Kisong Yoon
548566,Kuo Yu
551706,K. Sigfrid Yngvesson
574596,Kung Yao
584420,Kei Yura
590783,Kenichi Yamazaki
600422,K. Yousef
624728,K. Yoshinobu
634015,K. Yamazaki
649507,K. Yi
650195,K. Yoshizumi
703114,K. Yamabana
711975,K. N. Yu
735851,Kane S. Yee
746647,K. d. Young
749132,Kenji Yanashima
751921,Katsutoshi Yada
770360,Kevin Kam Fung Yuen
774482,Kiyoshi Yoshizaki
775115,Kenji YOKOKURA
781189,K. Yasohama
789776,Katsuyuki Yasuda
795306,K. Yee
800927,Kojiro Yamaguchi
801152,K. Yasuna
804560,Kwang Moo Yi
807466,Kazuki Yoneyama
809756,K. Yoshimura
810233,K. Y. Yiang
836198,Kazuki Yoneyama
849898,Kazuki Yoshizoe
850155,KENNETH R. YEAGER
851937,K. Yotsuji
857196,K. E. Yount
859783,KY Yuen
863364,Kazunori Yamamoto
875734,K. Yanagisawa
883865,Ke Yin
893451,Ki hyung Yu
895161,Kamer Ali Yüksel
901707,K. k. Yu
904482,K. Yamanouchi
909723,Ki Hyun Yoon
910089,K. Yamamori
930221,Kyung Seung Yang
954852,Kevin J. Yarema
955814,Kenny Q. Ye
958390,K. Yajima
963046,Kane S. Yee
969270,Kenji Yoshida
975124,Ka Fai Cedric Yiu
981366,Kuniaki Yajima
982154,Kwan Jong Yoo
991026,Kunmin Yeo
1023291,Kyeong Ho Yang
1055713,K. Yoshioka
1064143,Kenneth Man kam Yip
1085385,Kaoru Yamamoto
1087013,K. Yanagi
1095149,Keith Yerex
1104040,Kazunori Yamaguchi
1106065,K. C. Yeh
1109640,K. Yonenaga
1113541,K. M. Yu
1119144,Ke Thia Yao
1134846,Karen Yorav
1135491,Kun Chang Yu
1137650,K. Ycagcr
1145955,Kazuto Yamagata
1146925,K. C. Burgess Yakemovic
1154293,Kin Choong Yow
1158545,Kuang Yao Yu
1158613,Kenneth R. Yenni
1203839,Kevin Yuk Lap Yip
1237270,Ke wei Yang
1243016,Kayhan Erciye¸s Y
1243984,Kei Yura
1247540,Kirk A. Yost
1269814,K. Yoshimoto
1278669,Kok Hoo Yeap
1279340,Ka Ping Yee
1283936,K. Yeung
1285007,K. Yamanaka
1291593,Kenichi Yajima
1298466,K. Young
1299457,K. Yiu
1320821,K. Yacef
1323995,Kenji Yoshimura
1324203,Katsutoshi Yuasa
1344313,K. Yazawa
1350383,K. Yagi
1352989,Ken Youssefi
1361629,Ki Hyun Yoon
1367465,Kenneth M. Young
1369683,K. Yau
1375827,Koshi Yamamoto
1381553,Katsuyuki Yugi
1393110,K. Yo
1396568,K. Yukawa
1413767,Kazuhiko YAMAMOTO
1443782,Kazuhiro Yasuda
1446572,Kamal Ya'Coub
1449420,Kang Yi
1462370,Kung Yaoy
1465214,Kiriyanov V. Yu
1472066,K. Yoshitomi
1474239,K. Cla Y
1485139,Kazumasa Yamazawa
1489973,K. Yoshida
1490154,Katherine A. Yelick
1506338,Kaoru Yokoya
1536901,Kai Jie Yang
1541010,Kazuhiko Yokosawa
1541534,Kwok yung Yuen
1549578,Kamil Yilmaz
1551794,K. Yasunari
1562975,Kamen Yotov
1563522,K. Yétongnon
1567716,Kai Yu
1573982,K. Ben Younes
1577782,K. w. Yeung
1609024,Kimio Yokota
1611955,K. Yeager
1618994,Kun Yang
1622851,Kuo Lung Yang
1634230,K. P. Yusko
1649806,Keiichi Yamazaki
1652661,Keping Yan
1656021,Kenji Yokoyama
1673826,Keiji Yamada
1709377,Kiyoko Yoneyama
1716525,Kazunari K. Yokoyama
1719315,Kuk jin Yoon
1743536,Kay Pong Yip
1744461,Ken ichi Yukimatsu
1760041,Kai Shing Yeung
1762113,K. Yamaki
1769096,K. Yoshikawa
1770238,Koichiro Yamamoto
1782561,Kazuo Yamaba
1811301,Kasumi Yasukawa
1822036,Kazuhiro Yamamoto
1822597,Kazutaka Yokota
1824494,Kohhei Yamaguchi
1825451,Kai Yu
1830789,Kuo Hsien Yeh
1865169,K. Yammamoto
1875311,Kuniaki YAJIMA
1886228,K. Yasuura
1913861,K. C. Yang
1918120,Kenjiro Yanagi
1936675,Kuo Chuan Yeh
1940218,Kiat Seng Yeo
1949354,K. Yamanaka
1966898,Kai Yang
1973165,Keiichiro Yamaguchi
1994758,Kwan Lawrence Yeung
2026707,Kenshin Yamada
2029210,K. Y. Yau
