14563,Psychophysical Evidence Yael
15515,Parviz Yegani
26386,P. Yannopoulos
46687,Peiyan Yuan
57255,Poochi Yeh
72070,Patrick Young
85117,Peter Yeh
132604,P. Yu
185952,Pei hao Yeh
297256,P. Brunovsk Y
299212,P Yan
325319,Penicillin Fermentation Yuan
369521,P. D. Yehsakul
430924,P. g. Yock
437381,P. Yakovenko
439920,Paul Yarin
500151,P. Yevgen
520780,Parse Objects Yuko
534958,Ping Chin Yeh
538852,Philip S. Yu
592497,Por Ricardo Baeza Yates
596827,P. s. Yam
612382,Philip S. Yu
620166,Pyongwon Yim
620742,P. Yau
631349,Paula R. Yates
635757,Phil C. C. Yeh
649912,Pei Chuan Yeh
655962,P. Yl?anttila
659923,P. W. Young
711455,P. S. T. Yuen
752989,Peter C. Young
759610,Phillip M. Yelland
779539,P. Yew
781463,Precomputation Joshua Yi
802430,Pinhas Z. Bar Yoseph
803746,P. K. Yeung
885208,P. A. Yotopoulos
965544,Paul Young
972777,Po Ching Yang
991296,P. M. Yiu
1033114,Pigment Ching Yuan
1109782,P. Ye
1135951,Phillip Chung Ming Yang
1147725,Peyton H. Young
1170875,Pen chung Yew
1195888,Peter Yianilos
1205333,Pingtao Yan
1220930,Pei Chen Yu
1233280,P. A. Yecko
1241734,Pinar Yolum
1286916,Pieda Ye
1337754,Patricia M. Yaeger
1349183,Paul J. Yoder
1378697,Pen Shu Yeh
1393253,Peter Yule
1406733,Peng yeng Yin
1407448,Petr Holick Y
1492403,Policing Youth
1503946,Prakash P. She Y
1515091,P. Yvernault
1518115,Pengyi Yang
1525627,Pey ching Yang
1526701,P. Young
1575217,Paul Yee
1579531,Peida Ye
1587597,P. g. Young
1599498,Paul R. Young
1619994,Phillip M. Yolland
1630701,P. T. Yang
1695682,Peter Yakutis
1752469,Pai Chuan Yang
1762467,Pascal Yiou
1781479,Philip S. Yu
1830173,Pao ta Yu
1858859,Paul Yap
1868366,Philip S. Yu
1881866,P. s. Yeung
1888700,Ping fan Yan
1974655,Paulo S. YOUNG
1981594,P A Young
2066267,P. R. Young
2067424,Plamen Y. Yalamov
2076089,P. p. Yip
2104002,P. C. Young
2104150,Pai Ling Yin
2106497,Peter Yanker
2116168,P. c. h. Yen
2131918,Path Diversity Yi
2134553,P. D. Yeates
2143266,Pengyi Yang
2166140,Patricia L. Youngblood
2180614,Paul A. Yushkevich
2184806,Patrick R. Amestoy Yanqing
2189367,Po Cheung Yue
2206094,Plateaued Function Yuriy
2206923,Prie Yannick
2227635,P. Yeh
